Date,STZ
2000-01-03,5.2608513832092285
2000-01-04,5.062826156616211
2000-01-05,5.234447956085205
2000-01-06,5.439074516296387
2000-01-07,5.59749174118042
2000-01-10,5.386266231536865
2000-01-11,5.326858997344971
2000-01-12,5.373063087463379
2000-01-13,5.4324727058410645
2000-01-14,5.4786763191223145
2000-01-18,5.518282413482666
2000-01-19,5.643698692321777
2000-01-20,5.670101165771484
2000-01-21,5.5050811767578125
2000-01-24,5.353263854980469
2000-01-25,5.386266231536865
2000-01-26,5.491880416870117
2000-01-27,5.439074516296387
2000-01-28,5.379666328430176
2000-01-31,5.4786763191223145
2000-02-01,5.571089267730713
2000-02-02,5.590892791748047
2000-02-03,5.584292411804199
2000-02-04,5.386266231536865
2000-02-07,5.557887554168701
2000-02-08,5.439074516296387
2000-02-09,5.557887554168701
2000-02-10,5.650298595428467
2000-02-11,5.5512871742248535
2000-02-14,5.643698692321777
2000-02-15,5.6172943115234375
2000-02-16,5.498481273651123
2000-02-17,5.458874225616455
2000-02-18,5.2872538566589355
2000-02-22,5.511681079864502
2000-02-23,5.254250526428223
2000-02-24,5.241048336029053
2000-02-25,5.142035484313965
2000-02-28,5.188241004943848
2000-02-29,5.175039291381836
2000-03-01,5.247651100158691
2000-03-02,5.095829963684082
2000-03-03,5.2608513832092285
2000-03-06,5.2608513832092285
2000-03-07,4.937411785125732
2000-03-08,4.726184368133545
2000-03-09,4.70638370513916
2000-03-10,4.534762382507324
2000-03-13,4.66677713394165
2000-03-14,4.495156288146973
2000-03-15,4.811995983123779
2000-03-16,5.247651100158691
2000-03-17,4.930810928344727
2000-03-20,4.825195789337158
2000-03-21,4.977016448974609
2000-03-22,5.043023586273193
2000-03-23,5.20804500579834
2000-03-24,5.109032154083252
2000-03-27,5.095829963684082
2000-03-28,5.1486358642578125
2000-03-29,5.062826156616211
2000-03-30,5.1486358642578125
2000-03-31,5.386266231536865
2000-04-03,5.439074516296387
2000-04-04,5.366462707519531
2000-04-05,5.491880416870117
2000-04-06,5.439074516296387
2000-04-07,5.498481273651123
2000-04-10,5.293853759765625
2000-04-11,5.359862327575684
2000-04-12,5.709706783294678
2000-04-13,5.531485080718994
2000-04-14,5.20804500579834
