Date,HBAN
2000-01-03,7.8998122215271
2000-01-04,7.65775728225708
2000-01-05,7.459714889526367
2000-01-06,7.7237725257873535
2000-01-07,7.789788246154785
2000-01-10,7.459714889526367
2000-01-11,7.503722667694092
2000-01-12,7.503722667694092
2000-01-13,7.591739177703857
2000-01-14,7.7237725257873535
2000-01-18,7.459714889526367
2000-01-19,7.481719493865967
2000-01-20,7.349689960479736
2000-01-21,7.217655658721924
2000-01-24,7.096631050109863
2000-01-25,7.217655658721924
2000-01-26,7.3056745529174805
2000-01-27,7.239659786224365
2000-01-28,6.931589603424072
2000-01-31,7.591739177703857
2000-02-01,7.481719493865967
2000-02-02,7.437705993652344
2000-02-03,7.7237725257873535
2000-02-04,7.481719493865967
2000-02-07,7.349689960479736
2000-02-08,7.195651054382324
2000-02-09,7.3056745529174805
2000-02-10,7.547733783721924
2000-02-11,7.525724411010742
2000-02-14,7.4322099685668945
2000-02-15,7.591739177703857
2000-02-16,7.547733783721924
2000-02-17,7.437705993652344
2000-02-18,7.2616658210754395
2000-02-22,7.360690116882324
2000-02-23,7.32768440246582
2000-02-24,7.393696308135986
2000-02-25,7.3056745529174805
2000-02-28,7.481719493865967
2000-02-29,7.349689960479736
2000-03-01,7.107630729675293
2000-03-02,6.9976067543029785
2000-03-03,6.964598655700684
2000-03-06,6.887582302093506
2000-03-07,6.513492584228516
2000-03-08,6.271437168121338
2000-03-09,6.557504653930664
2000-03-10,6.535501956939697
2000-03-13,6.535501956939697
2000-03-14,6.4287285804748535
2000-03-15,6.9848432540893555
2000-03-16,7.713356018066406
2000-03-17,7.607696056365967
2000-03-20,7.229533672332764
2000-03-21,7.518715858459473
2000-03-22,7.474228382110596
2000-03-23,7.718918800354004
2000-03-24,7.518715858459473
2000-03-27,7.340761184692383
2000-03-28,7.540961742401123
2000-03-29,7.785653114318848
2000-03-30,7.518715858459473
2000-03-31,7.963614463806152
2000-04-03,8.141571998596191
2000-04-04,8.074836730957031
2000-04-05,7.896877765655518
2000-04-06,7.830142021179199
2000-04-07,7.540961742401123
2000-04-10,7.674428939819336
2000-04-11,7.69667387008667
2000-04-12,8.141571998596191
2000-04-13,7.652187824249268
2000-04-14,7.251779556274414
2000-04-17,6.9848432540893555
2000-04-18,7.229533672332764
2000-04-19,6.762396335601807
2000-04-20,6.829131603240967
2000-04-24,6.873621940612793
2000-04-25,7.096065998077393
2000-04-26,6.873621940612793
2000-04-27,6.606684684753418
2000-04-28,6.495459079742432
2000-05-01,6.495459079742432
2000-05-02,6.495459079742432
2000-05-03,6.4287285804748535
2000-05-04,6.117302417755127
2000-05-05,6.2062764167785645
2000-05-08,6.273011207580566
2000-05-09,6.00607442855835
2000-05-10,5.872607231140137
2000-05-11,5.961587429046631
2000-05-12,6.139540195465088
2000-05-15,6.1895976066589355
2000-05-16,6.139540195465088
2000-05-17,6.072810649871826
2000-05-18,6.384235858917236
2000-05-19,6.161789417266846
2000-05-22,6.384235858917236
2000-05-23,6.584439754486084
2000-05-24,6.69566011428833
2000-05-25,6.56219482421875
2000-05-26,6.762396335601807
2000-05-30,6.740151405334473
2000-05-31,6.895864486694336
2000-06-01,7.096065998077393
2000-06-02,7.274024486541748
2000-06-05,6.962601184844971
2000-06-06,6.762396335601807
2000-06-07,6.962601184844971
2000-06-08,6.806886196136475
2000-06-09,6.69566011428833
2000-06-12,6.78463888168335
2000-06-13,6.717905521392822
2000-06-14,6.660571575164795
2000-06-15,6.2727437019348145
2000-06-16,6.205292224884033
2000-06-19,6.115364074707031
2000-06-20,6.070397853851318
2000-06-21,6.025430679321289
2000-06-22,5.913017749786377
2000-06-23,6.00294828414917
2000-06-26,6.025430679321289
2000-06-27,6.00294828414917
2000-06-28,6.115364074707031
2000-06-29,5.755636692047119
2000-06-30,5.688185214996338
2000-07-03,6.09288215637207
2000-07-05,6.227779865264893
2000-07-06,6.340191841125488
2000-07-07,6.407644271850586
2000-07-10,6.385157585144043
2000-07-11,6.47509241104126
2000-07-12,6.504317760467529
2000-07-13,6.281740665435791
2000-07-14,6.504317760467529
2000-07-17,6.331202030181885
2000-07-18,6.498135089874268
2000-07-19,6.553779602050781
2000-07-20,6.652706146240234
2000-07-21,6.578512191772461
2000-07-24,6.652706146240234
2000-07-25,6.62797737121582
2000-07-26,6.331202030181885
2000-07-27,6.430124759674072
2000-07-28,6.281740665435791
2000-07-31,6.207541465759277
2000-08-01,6.355929851531982
2000-08-02,6.4053955078125
2000-08-03,6.603243827819824
2000-08-04,6.776363372802734
2000-08-07,6.900018215179443
2000-08-08,6.776363372802734
2000-08-09,6.776363372802734
2000-08-10,6.776363372802734
2000-08-11,6.850554466247559
2000-08-14,6.92474889755249
2000-08-15,6.825827598571777
2000-08-16,6.70217227935791
2000-08-17,6.751631259918213
2000-08-18,6.578512191772461
2000-08-21,6.603243827819824
2000-08-22,6.726898193359375
2000-08-23,6.776363372802734
2000-08-24,6.652706146240234
2000-08-25,6.62797737121582
2000-08-28,6.529051780700684
2000-08-29,6.504317760467529
2000-08-30,6.529051780700684
2000-08-31,6.677439212799072
2000-09-01,6.652706146240234
2000-09-05,6.70217227935791
2000-09-06,6.726898193359375
2000-09-07,6.92474889755249
2000-09-08,7.196794509887695
2000-09-11,7.295716762542725
2000-09-12,7.394643306732178
2000-09-13,7.499634265899658
2000-09-14,7.199657440185547
2000-09-15,7.0996551513671875
2000-09-18,6.699679851531982
2000-09-19,6.924666404724121
2000-09-20,6.849671363830566
2000-09-21,6.699679851531982
2000-09-22,6.674679279327393
2000-09-25,6.824670791625977
2000-09-26,6.724676132202148
2000-09-27,6.849671363830566
2000-09-28,7.0496602058410645
2000-09-29,5.874717712402344
2000-10-02,6.099704265594482
2000-10-03,6.049708366394043
2000-10-04,5.9747114181518555
2000-10-05,5.924713134765625
2000-10-06,5.7247233390808105
2000-10-09,5.624730587005615
2000-10-10,5.524733066558838
2000-10-11,5.449736595153809
2000-10-12,5.3747406005859375
2000-10-13,5.299746036529541
2000-10-16,5.424736499786377
2000-10-17,5.324744701385498
2000-10-18,5.224747657775879
2000-10-19,5.3997392654418945
2000-10-20,5.27474308013916
2000-10-23,5.124753952026367
2000-10-24,5.299746036529541
2000-10-25,5.474737644195557
2000-10-26,5.424736499786377
2000-10-27,5.549733638763428
2000-10-30,5.874717712402344
2000-10-31,5.749721050262451
2000-11-01,5.649725914001465
2000-11-02,5.699726104736328
2000-11-03,5.7247233390808105
2000-11-06,5.8497185707092285
2000-11-07,5.774721622467041
2000-11-08,5.630977630615234
2000-11-09,5.7247233390808105
2000-11-10,5.7247233390808105
2000-11-13,5.655977725982666
2000-11-14,5.574728488922119
2000-11-15,5.449736595153809
2000-11-16,5.524733066558838
2000-11-17,5.599731922149658
2000-11-20,5.449736595153809
2000-11-21,5.524733066558838
2000-11-22,5.574728488922119
2000-11-24,5.7247233390808105
2000-11-27,5.624730587005615
2000-11-28,5.699726104736328
2000-11-29,5.924713134765625
2000-11-30,6.099704265594482
