Date,AMAT
2000-01-03,22.851743698120117
2000-01-04,21.72271728515625
2000-01-05,20.90980339050293
2000-01-06,20.943679809570312
2000-01-07,21.124326705932617
2000-01-10,22.829166412353516
2000-01-11,21.8243350982666
2000-01-12,22.9533634185791
2000-01-13,22.490463256835938
2000-01-14,24.500146865844727
2000-01-18,24.409826278686523
2000-01-19,25.719518661499023
2000-01-20,25.290481567382812
2000-01-21,25.51628875732422
2000-01-24,25.380794525146484
2000-01-25,26.092098236083984
2000-01-26,24.26304817199707
2000-01-27,24.477571487426758
2000-01-28,23.438859939575195
2000-01-31,24.7937068939209
2000-02-01,25.380794525146484
2000-02-02,25.979190826416016
2000-02-03,26.825965881347656
2000-02-04,26.26144790649414
2000-02-07,27.751785278320312
2000-02-08,29.10663604736328
2000-02-09,29.578001022338867
2000-02-10,31.567928314208984
2000-02-11,29.80666160583496
2000-02-14,29.0953311920166
2000-02-15,30.077606201171875
2000-02-16,31.31955337524414
2000-02-17,34.02924346923828
2000-02-18,32.10987091064453
2000-02-22,32.29899597167969
2000-02-23,32.69696807861328
2000-02-24,33.14858627319336
2000-02-25,31.127609252929688
2000-02-28,31.95180892944336
2000-02-29,33.04695510864258
2000-03-01,33.351829528808594
2000-03-02,32.60947036743164
2000-03-03,34.45827102661133
2000-03-06,33.238922119140625
2000-03-07,33.2614860534668
2000-03-08,32.4034309387207
2000-03-09,34.379241943359375
2000-03-10,34.876033782958984
2000-03-13,33.950191497802734
2000-03-14,32.290531158447266
2000-03-15,30.924386978149414
2000-03-16,31.771162033081055
2000-03-17,34.633270263671875
2000-03-20,33.961490631103516
2000-03-21,35.406681060791016
2000-03-22,37.84539794921875
2000-03-23,37.00991439819336
2000-03-24,38.59054946899414
2000-03-27,39.22283172607422
2000-03-28,36.87443161010742
2000-03-29,34.977630615234375
2000-03-30,33.60020446777344
2000-03-31,34.05183029174805
2000-04-03,32.245361328125
2000-04-04,35.45183563232422
2000-04-05,37.64216232299805
2000-04-06,38.545406341552734
2000-04-07,41.503501892089844
2000-04-10,37.3486213684082
2000-04-11,37.80021667480469
2000-04-12,35.24860763549805
2000-04-13,32.15503692626953
2000-04-14,29.016305923461914
2000-04-17,34.90989303588867
2000-04-18,36.49053955078125
2000-04-19,33.058258056640625
2000-04-20,33.64536666870117
2000-04-24,32.967960357666016
2000-04-25,34.435699462890625
2000-04-26,32.67439270019531
2000-04-27,36.24216079711914
2000-04-28,36.784088134765625
2000-05-01,36.10667037963867
2000-05-02,34.72923278808594
2000-05-03,34.142147064208984
2000-05-04,35.31635284423828
2000-05-05,36.806678771972656
2000-05-08,34.57117462158203
2000-05-09,32.74215316772461
2000-05-10,30.574384689331055
2000-05-11,30.80017852783203
2000-05-12,30.506629943847656
2000-05-15,32.15503692626953
2000-05-16,33.5776252746582
2000-05-17,32.38084411621094
2000-05-18,30.709890365600586
2000-05-19,28.971141815185547
2000-05-22,28.655014038085938
2000-05-23,25.9679012298584
2000-05-24,28.338884353637695
2000-05-25,27.706621170043945
2000-05-26,26.84854507446289
2000-05-30,30.687288284301758
2000-05-31,30.167926788330078
2000-06-01,31.703413009643555
2000-06-02,33.803443908691406
2000-06-05,33.826019287109375
2000-06-06,32.26792907714844
2000-06-07,33.803443908691406
2000-06-08,33.48731231689453
2000-06-09,34.27763748168945
2000-06-12,32.90019226074219
2000-06-13,33.28407287597656
2000-06-14,31.093748092651367
2000-06-15,31.95180892944336
2000-06-16,33.62278747558594
2000-06-19,34.86471939086914
2000-06-20,34.7518196105957
2000-06-21,35.38409423828125
2000-06-22,33.91632080078125
2000-06-23,32.78730773925781
2000-06-26,32.33567428588867
2000-06-27,31.83890151977539
2000-06-28,32.71955490112305
2000-06-29,32.1776237487793
2000-06-30,32.74215316772461
2000-07-03,33.442134857177734
2000-07-05,30.145355224609375
2000-07-06,31.31955337524414
2000-07-07,32.358280181884766
2000-07-10,32.01955032348633
2000-07-11,31.432443618774414
2000-07-12,32.15503692626953
2000-07-13,31.703413009643555
2000-07-14,32.04214096069336
