Date,PCG
2000-01-03,11.473756790161133
2000-01-04,11.980484962463379
2000-01-05,12.776766777038574
2000-01-06,12.885350227355957
2000-01-07,12.885350227355957
2000-01-10,12.631987571716309
2000-01-11,12.451013565063477
2000-01-12,12.740569114685059
2000-01-13,12.740569114685059
2000-01-14,12.631987571716309
2000-01-18,12.668182373046875
2000-01-19,12.957741737365723
2000-01-20,12.740569114685059
2000-01-21,12.993937492370605
2000-01-24,12.957741737365723
2000-01-25,12.523406028747559
2000-01-26,12.740569114685059
2000-01-27,12.487208366394043
2000-01-28,12.233844757080078
2000-01-31,12.704377174377441
2000-02-01,12.849161148071289
2000-02-02,12.776766777038574
2000-02-03,13.174917221069336
2000-02-04,12.885350227355957
2000-02-07,12.885350227355957
2000-02-08,12.776766777038574
2000-02-09,12.776766777038574
2000-02-10,12.378631591796875
2000-02-11,12.559600830078125
2000-02-14,12.668182373046875
2000-02-15,12.631987571716309
2000-02-16,12.631987571716309
2000-02-17,13.39207935333252
2000-02-18,13.030131340026855
2000-02-22,12.993937492370605
2000-02-23,12.668182373046875
2000-02-24,12.052870750427246
2000-02-25,11.618539810180664
2000-02-28,12.016676902770996
2000-02-29,11.944289207458496
2000-03-01,11.546150207519531
2000-03-02,12.161458969116211
2000-03-03,12.595795631408691
2000-03-06,12.197649002075195
2000-03-07,11.727118492126465
2000-03-08,11.763313293457031
2000-03-09,11.944289207458496
2000-03-10,12.306241035461426
2000-03-13,12.262181282043457
2000-03-14,12.225464820861816
2000-03-15,12.886302947998047
2000-03-16,13.290149688720703
2000-03-17,13.069867134094238
2000-03-20,12.555890083312988
2000-03-21,12.482460975646973
2000-03-22,12.40903091430664
2000-03-23,12.372318267822266
2000-03-24,12.519172668457031
2000-03-27,12.445748329162598
2000-03-28,12.29888916015625
2000-03-29,12.372318267822266
2000-03-30,12.482460975646973
2000-03-31,12.33560848236084
2000-04-03,12.519172668457031
2000-04-04,12.886302947998047
2000-04-05,12.702738761901855
2000-04-06,12.445748329162598
2000-04-07,12.40903091430664
2000-04-10,12.996444702148438
2000-04-11,13.216716766357422
2000-04-12,13.804125785827637
2000-04-13,14.134549140930176
2000-04-14,13.840848922729492
2000-04-17,14.244696617126465
2000-04-18,13.950987815856934
2000-04-19,14.061120986938477
2000-04-20,14.428260803222656
2000-04-24,15.34607982635498
2000-04-25,15.896775245666504
2000-04-26,16.227195739746094
2000-04-27,15.933492660522461
2000-04-28,15.235942840576172
2000-05-01,15.309369087219238
2000-05-02,15.19923210144043
2000-05-03,14.942234992980957
2000-05-04,15.309369087219238
2000-05-05,15.015666961669922
2000-05-08,15.272653579711914
2000-05-09,15.162518501281738
2000-05-10,15.382792472839355
2000-05-11,15.603073120117188
2000-05-12,15.34607982635498
2000-05-15,15.309369087219238
2000-05-16,15.19923210144043
2000-05-17,14.832098960876465
2000-05-18,14.97895622253418
2000-05-19,14.97895622253418
2000-05-22,15.566359519958496
2000-05-23,15.309369087219238
2000-05-24,15.492938995361328
2000-05-25,15.125808715820312
2000-05-26,15.34607982635498
2000-05-30,15.125808715820312
2000-05-31,15.235942840576172
2000-06-01,15.309369087219238
2000-06-02,15.162518501281738
2000-06-05,14.575102806091309
2000-06-06,15.19923210144043
2000-06-07,15.015666961669922
2000-06-08,14.97895622253418
2000-06-09,15.235942840576172
2000-06-12,15.45622444152832
2000-06-13,15.560211181640625
2000-06-14,15.040292739868164
2000-06-15,15.634474754333496
2000-06-16,15.411660194396973
2000-06-19,15.26311206817627
2000-06-20,15.188836097717285
2000-06-21,15.26311206817627
2000-06-22,15.411660194396973
2000-06-23,15.485930442810059
2000-06-26,15.597335815429688
2000-06-27,15.040292739868164
2000-06-28,15.578767776489258
2000-06-29,15.15169906616211
2000-06-30,14.631790161132812
2000-07-03,15.040292739868164
2000-07-05,14.92888069152832
2000-07-06,15.15169906616211
2000-07-07,15.485930442810059
2000-07-10,15.485930442810059
2000-07-11,15.634474754333496
2000-07-12,15.300250053405762
2000-07-13,15.300250053405762
2000-07-14,15.188836097717285
2000-07-17,15.411660194396973
2000-07-18,15.4487943649292
2000-07-19,15.931568145751953
2000-07-20,15.70875072479248
2000-07-21,15.634474754333496
2000-07-24,15.4487943649292
2000-07-25,15.671607971191406
2000-07-26,15.337384223937988
2000-07-27,15.4487943649292
2000-07-28,15.70875072479248
2000-07-31,15.374524116516113
2000-08-01,15.894431114196777
2000-08-02,16.414342880249023
2000-08-03,17.12922477722168
2000-08-04,16.897119522094727
2000-08-07,17.16636085510254
2000-08-08,17.11993408203125
2000-08-09,16.924970626831055
2000-08-10,16.795001983642578
2000-08-11,16.971389770507812
2000-08-14,17.08280372619629
2000-08-15,17.342756271362305
2000-08-16,17.20349884033203
2000-08-17,17.157073974609375
2000-08-18,17.16636085510254
2000-08-21,17.08280372619629
2000-08-22,17.00852394104004
2000-08-23,17.08280372619629
2000-08-24,16.822845458984375
2000-08-25,16.60002326965332
2000-08-28,16.971389770507812
