Date,AMP
2005-09-15,24.61493682861328
2005-09-16,24.342256546020508
2005-09-19,24.408761978149414
2005-09-20,24.408761978149414
2005-09-21,24.20923614501953
2005-09-22,24.74131202697754
2005-09-23,25.06056022644043
2005-09-26,25.107112884521484
2005-09-27,24.774559020996094
2005-09-28,24.60828971862793
2005-09-29,24.342256546020508
2005-09-30,23.8101863861084
2005-10-03,23.07859230041504
2005-10-04,22.54651641845703
2005-10-05,22.3802433013916
2005-10-06,22.19401741027832
2005-10-07,22.346975326538086
2005-10-10,21.96788215637207
2005-10-11,21.947933197021484
2005-10-12,21.79496955871582
2005-10-13,21.648649215698242
2005-10-14,21.542236328125
2005-10-17,21.602087020874023
2005-10-18,21.56884002685547
2005-10-19,22.054344177246094
2005-10-20,22.33368492126465
2005-10-21,22.613014221191406
2005-10-24,24.136085510253906
2005-10-25,24.728015899658203
2005-10-26,24.60828971862793
2005-10-27,24.129426956176758
2005-10-28,24.6747989654541
2005-10-31,24.754615783691406
2005-11-01,24.315654754638672
2005-11-02,24.549131393432617
2005-11-03,24.962738037109375
2005-11-04,24.795961380004883
2005-11-07,24.69590187072754
2005-11-08,24.655874252319336
2005-11-09,25.26959991455078
2005-11-10,25.9633731842041
2005-11-11,25.956710815429688
2005-11-14,26.243553161621094
2005-11-15,26.156831741333008
2005-11-16,26.5704402923584
2005-11-17,26.683849334716797
2005-11-18,26.630475997924805
2005-11-21,27.737855911254883
2005-11-22,28.11811065673828
2005-11-23,28.998647689819336
2005-11-25,28.985336303710938
2005-11-28,29.28551483154297
2005-11-29,28.384931564331055
2005-11-30,28.051380157470703
2005-12-01,28.89193344116211
2005-12-02,28.83855628967285
2005-12-05,29.03200340270996
2005-12-06,29.092065811157227
2005-12-07,28.92527961730957
2005-12-08,29.11875343322754
2005-12-09,29.192129135131836
2005-12-12,28.77185821533203
2005-12-13,28.571718215942383
2005-12-14,27.70450210571289
2005-12-15,27.47767448425293
2005-12-16,28.19146728515625
2005-12-19,27.557735443115234
2005-12-20,27.731182098388672
2005-12-21,27.717838287353516
2005-12-22,27.971345901489258
2005-12-23,27.971345901489258
2005-12-27,27.28424072265625
2005-12-28,27.384300231933594
2005-12-29,27.244192123413086
2005-12-30,27.350940704345703
2006-01-03,28.084741592407227
2006-01-04,28.96530532836914
2006-01-05,29.30552864074707
2006-01-06,29.08539390563965
2006-01-09,30.0793514251709
2006-01-10,29.792510986328125
2006-01-11,29.48564910888672
2006-01-12,29.45897674560547
2006-01-13,29.27217674255371
2006-01-17,29.038684844970703
2006-01-18,28.23151397705078
2006-01-19,28.418306350708008
2006-01-20,28.151451110839844
2006-01-23,29.018674850463867
2006-01-24,29.005332946777344
2006-01-25,28.825212478637695
2006-01-26,28.885255813598633
2006-01-27,28.284889221191406
2006-01-30,27.717838287353516
2006-01-31,27.216176986694336
2006-02-01,27.590755462646484
2006-02-02,28.433513641357422
2006-02-03,28.493730545043945
2006-02-06,28.981996536254883
2006-02-07,29.129146575927734
2006-02-08,29.303054809570312
2006-02-09,29.37663459777832
2006-02-10,29.142532348632812
2006-02-13,28.68100357055664
2006-02-14,29.390005111694336
2006-02-15,28.941862106323242
2006-02-16,29.048873901367188
2006-02-17,29.44352149963379
2006-02-21,29.37663459777832
2006-02-22,30.406688690185547
2006-02-23,31.048803329467773
2006-02-24,30.941776275634766
2006-02-27,31.302963256835938
2006-02-28,30.42005157470703
2006-03-01,30.694293975830078
2006-03-02,29.811405181884766
2006-03-03,29.430133819580078
2006-03-06,28.60743522644043
2006-03-07,29.1960506439209
2006-03-08,28.988697052001953
2006-03-09,28.981996536254883
2006-03-10,28.961931228637695
2006-03-13,29.29637336730957
2006-03-14,30.119075775146484
2006-03-15,30.359867095947266
2006-03-16,30.801305770874023
2006-03-17,30.701000213623047
2006-03-20,30.333105087280273
2006-03-21,29.37663459777832
2006-03-22,29.59735870361328
2006-03-23,29.463577270507812
2006-03-24,29.59735870361328
2006-03-27,29.73781967163086
2006-03-28,28.848236083984375
2006-03-29,28.701082229614258
2006-03-30,29.96522331237793
2006-03-31,30.139148712158203
2006-04-03,29.871606826782227
2006-04-04,30.0990047454834
2006-04-05,30.16588592529297
2006-04-06,30.05218505859375
2006-04-07,29.563913345336914
2006-04-10,30.353181838989258
2006-04-11,30.299657821655273
2006-04-12,30.466880798339844
2006-04-13,30.42005157470703
2006-04-17,30.31972885131836
2006-04-18,31.302963256835938
2006-04-19,31.871509552001953
2006-04-20,31.603958129882812
2006-04-21,31.517005920410156
2006-04-24,31.37654685974121
2006-04-25,31.583900451660156
2006-04-26,32.60726547241211
2006-04-27,33.44334030151367
2006-04-28,32.801231384277344
2006-05-01,32.6005744934082
2006-05-02,32.172489166259766
2006-05-03,32.19253921508789
2006-05-04,32.3062629699707
2006-05-05,32.473487854003906
2006-05-08,32.93605041503906
2006-05-09,33.23771667480469
2006-05-10,32.97626495361328
2006-05-11,32.41313934326172
2006-05-12,31.84330940246582
2006-05-15,32.11146545410156
2006-05-16,31.74275779724121
2006-05-17,30.45563316345215
2006-05-18,30.133848190307617
2006-05-19,30.066801071166992
2006-05-22,29.47015953063965
2006-05-23,29.61762809753418
2006-05-24,29.476856231689453
2006-05-25,29.77852439880371
2006-05-26,29.81874656677246
2006-05-30,29.8522891998291
2006-05-31,30.683565139770508
2006-06-01,31.266794204711914
2006-06-02,31.15952491760254
2006-06-05,30.314849853515625
2006-06-06,30.30814552307129
2006-06-07,30.401994705200195
2006-06-08,30.28131103515625
2006-06-09,29.885807037353516
2006-06-12,29.24222755432129
2006-06-13,27.727153778076172
2006-06-14,27.94167709350586
2006-06-15,28.1226863861084
2006-06-16,28.15620231628418
2006-06-19,28.290281295776367
2006-06-20,28.243337631225586
2006-06-21,28.37743377685547
2006-06-22,28.15620231628418
2006-06-23,28.115970611572266
2006-06-26,28.598651885986328
2006-06-27,28.06233787536621
2006-06-28,28.323806762695312
2006-06-29,29.65116310119629
2006-06-30,29.94613265991211
2006-07-03,30.314849853515625
2006-07-05,29.041107177734375
2006-07-06,29.4299373626709
2006-07-07,28.6053466796875
2006-07-10,28.64557456970215
2006-07-11,28.538318634033203
2006-07-12,28.015422821044922
2006-07-13,27.84111213684082
2006-07-14,27.680234909057617
