Date,GEV
2024-03-27,130.7644805908203
2024-03-28,136.244140625
2024-04-01,141.49464416503906
2024-04-02,139.4821014404297
2024-04-03,136.8319549560547
2024-04-04,125.59366607666016
2024-04-05,122.24609375
2024-04-08,129.479248046875
2024-04-09,131.68106079101562
2024-04-10,137.85813903808594
2024-04-11,136.06480407714844
2024-04-12,133.5043182373047
2024-04-15,131.2626190185547
2024-04-16,129.58883666992188
2024-04-17,134.25152587890625
2024-04-18,136.71237182617188
2024-04-19,134.60025024414062
2024-04-22,136.18435668945312
2024-04-23,147.28314208984375
2024-04-24,145.6392364501953
2024-04-25,147.76136779785156
2024-04-26,152.5037841796875
2024-04-29,158.42176818847656
2024-04-30,153.1414031982422
2024-05-01,151.10891723632812
2024-05-02,153.2609405517578
2024-05-03,165.64495849609375
2024-05-06,168.51429748535156
2024-05-07,166.74090576171875
2024-05-08,163.39332580566406
2024-05-09,165.78443908691406
2024-05-10,166.65122985839844
2024-05-13,160.93246459960938
2024-05-14,165.0172882080078
2024-05-15,167.2489776611328
2024-05-16,165.78443908691406
2024-05-17,162.01841735839844
2024-05-20,160.35459899902344
2024-05-21,163.3235626220703
2024-05-22,163.24388122558594
2024-05-23,161.07192993164062
2024-05-24,176.7736358642578
2024-05-28,177.43118286132812
2024-05-29,176.66404724121094
2024-05-30,174.4323272705078
2024-05-31,175.24928283691406
2024-06-03,169.73974609375
2024-06-04,162.43687438964844
2024-06-05,162.8852081298828
2024-06-06,159.71697998046875
2024-06-07,161.4804229736328
2024-06-10,166.0235595703125
2024-06-11,167.60765075683594
2024-06-12,176.86331176757812
2024-06-13,175.518310546875
2024-06-14,169.54049682617188
2024-06-17,168.13571166992188
2024-06-18,178.90573120117188
2024-06-20,176.52456665039062
2024-06-21,175.07994079589844
2024-06-24,177.4810333251953
2024-06-25,180.77877807617188
2024-06-26,179.33413696289062
2024-06-27,175.6278839111328
2024-06-28,170.8755340576172
2024-07-01,166.90028381347656
2024-07-02,169.1818389892578
2024-07-03,172.04122924804688
2024-07-05,175.5780792236328
2024-07-08,173.72496032714844
2024-07-09,172.34010314941406
2024-07-10,179.0651397705078
2024-07-11,176.0463409423828
2024-07-12,179.782470703125
2024-07-15,176.78359985351562
2024-07-16,182.06399536132812
2024-07-17,165.216552734375
2024-07-18,160.89260864257812
2024-07-19,162.73574829101562
2024-07-22,166.1431121826172
2024-07-23,169.85931396484375
2024-07-24,162.29737854003906
2024-07-25,159.40811157226562
2024-07-26,172.46961975097656
2024-07-29,171.41354370117188
2024-07-30,162.09814453125
2024-07-31,177.58065795898438
2024-08-01,173.38621520996094
2024-08-02,164.12062072753906
2024-08-05,161.63983154296875
2024-08-06,163.74205017089844
2024-08-07,165.45567321777344
2024-08-08,176.55447387695312
2024-08-09,178.44740295410156
2024-08-12,175.7872772216797
2024-08-13,178.9854278564453
2024-08-14,183.47874450683594
2024-08-15,188.1215362548828
2024-08-16,183.37908935546875
2024-08-19,184.7141571044922
2024-08-20,183.3193359375
2024-08-21,183.57838439941406
2024-08-22,185.3119354248047
2024-08-23,182.6119384765625
2024-08-26,181.4562530517578
2024-08-27,184.8636016845703
2024-08-28,183.3193359375
2024-08-29,190.652099609375
2024-08-30,200.25645446777344
2024-09-03,191.8377227783203
2024-09-04,198.8915252685547
2024-09-05,197.70591735839844
2024-09-06,197.59632873535156
2024-09-09,201.06346130371094
2024-09-10,201.2626953125
2024-09-11,208.37631225585938
2024-09-12,214.47366333007812
2024-09-13,224.75547790527344
2024-09-16,229.07943725585938
2024-09-17,236.27272033691406
2024-09-18,234.79820251464844
2024-09-19,243.5457000732422
2024-09-20,244.55198669433594
2024-09-23,250.5995330810547
2024-09-24,254.53494262695312
2024-09-25,254.10650634765625
2024-09-26,250.29067993164062
2024-09-27,248.9357147216797
2024-09-30,254.03675842285156
2024-10-01,255.58102416992188
2024-10-02,251.35670471191406
2024-10-03,253.73785400390625
2024-10-04,264.6075439453125
2024-10-07,261.56884765625
2024-10-08,263.2923889160156
2024-10-09,265.61376953125
2024-10-10,263.64111328125
2024-10-11,265.9027099609375
2024-10-14,268.5030517578125
2024-10-15,265.3746032714844
2024-10-16,273.7535400390625
2024-10-17,270.9938049316406
2024-10-18,271.7111511230469
2024-10-21,275.40740966796875
2024-10-22,275.3974609375
2024-10-23,278.84466552734375
2024-10-24,295.9013366699219
2024-10-25,292.4541015625
2024-10-28,288.16009521484375
2024-10-29,297.6647644042969
2024-10-30,296.4991149902344
2024-10-31,300.5440673828125
2024-11-01,299.9761657714844
2024-11-04,294.3670349121094
2024-11-05,314.6018981933594
2024-11-06,335.055908203125
2024-11-07,335.5341796875
2024-11-08,339.91790771484375
2024-11-11,348.1473083496094
2024-11-12,322.51251220703125
2024-11-13,332.0272216796875
2024-11-14,324.83392333984375
2024-11-15,328.5401306152344
2024-11-18,324.1663818359375
2024-11-19,338.7422790527344
2024-11-20,341.5019836425781
2024-11-21,338.5928039550781
2024-11-22,347.8683776855469
2024-11-25,327.7630310058594
2024-11-26,337.63641357421875
2024-11-27,334.0895080566406
2024-11-29,332.884033203125
2024-12-02,336.2913513183594
2024-12-03,330.692138671875
2024-12-04,342.4783630371094
2024-12-05,346.8421936035156
2024-12-06,345.2281799316406
2024-12-09,334.00982666015625
2024-12-10,326.1789245605469
2024-12-11,342.5281982421875
2024-12-12,328.6896057128906
2024-12-13,330.7818298339844
2024-12-16,336.460693359375
2024-12-17,327.12542724609375
2024-12-18,315.9468994140625
2024-12-19,331.5688781738281
2024-12-20,341.6490783691406
2024-12-23,343.9024353027344
2024-12-24,346.2654113769531
2024-12-26,342.057861328125
2024-12-27,332.815185546875
2024-12-30,329.2856750488281
2024-12-31,327.95953369140625
2025-01-02,337.9400329589844
2025-01-03,352.98553466796875
2025-01-06,370.2245178222656
2025-01-07,367.4327697753906
2025-01-08,365.3988342285156
2025-01-10,366.0169372558594
2025-01-13,365.727783203125
2025-01-14,381.13226318359375
2025-01-15,385.88818359375
2025-01-16,389.8464660644531
2025-01-17,400.2257385253906
2025-01-21,414.772705078125
2025-01-22,425.8399658203125
2025-01-23,436.4186096191406
2025-01-24,419.2494201660156
2025-01-27,329.0263977050781
2025-01-28,354.07232666015625
2025-01-29,352.20782470703125
2025-01-30,381.81024169921875
2025-01-31,371.7799377441406
2025-02-03,360.6428527832031
2025-02-04,355.47808837890625
2025-02-05,366.8445129394531
2025-02-06,373.7241516113281
2025-02-07,376.8548583984375
2025-02-10,383.8641357421875
2025-02-11,371.7998352050781
2025-02-12,368.5594482421875
2025-02-13,369.21746826171875
2025-02-14,366.5055236816406
2025-02-18,372.1488342285156
2025-02-19,374.09307861328125
2025-02-20,358.6188659667969
2025-02-21,326.91265869140625
2025-02-24,314.97796630859375
2025-02-25,316.75274658203125
2025-02-26,334.2509460449219
2025-02-27,325.3173828125
2025-02-28,334.19110107421875
2025-03-03,315.0478210449219
2025-03-04,312.1463623046875
2025-03-05,315.8653259277344
2025-03-06,292.344970703125
2025-03-07,288.44647216796875
2025-03-10,269.33306884765625
2025-03-11,283.3714904785156
2025-03-12,297.79876708984375
2025-03-13,299.3542175292969
2025-03-14,312.7046813964844
2025-03-17,330.9805603027344
2025-03-18,317.9890441894531
2025-03-19,334.8092956542969
2025-03-20,335.83624267578125
2025-03-21,332.88494873046875
2025-03-24,342.5563659667969
2025-03-25,335.2081298828125
2025-03-26,316.7627258300781
2025-03-27,302.1060791015625
2025-03-28,302.0362854003906
2025-03-31,304.37933349609375
2025-04-01,314.70880126953125
2025-04-02,329.8240051269531
2025-04-03,296.7818603515625
2025-04-04,270.6790771484375
2025-04-07,285.2260437011719
2025-04-08,286.0436096191406
2025-04-09,325.8458557128906
2025-04-10,309.03558349609375
2025-04-11,320.481689453125
2025-04-14,321.34912109375
2025-04-15,327.5906677246094
2025-04-16,327.19183349609375
2025-04-17,322.84136962890625
2025-04-21,312.394287109375
2025-04-22,325.3558654785156
2025-04-23,335.3539123535156
2025-04-24,359.700439453125
2025-04-25,371.6043701171875
2025-04-28,369.24951171875
2025-04-29,370.3770446777344
2025-04-30,370.00787353515625
2025-05-01,381.4527587890625
2025-05-02,395.4520263671875
2025-05-05,400.2215576171875
2025-05-06,400.35125732421875
2025-05-07,405.9190368652344
2025-05-08,393.1371154785156
2025-05-09,398.3855895996094
2025-05-12,415.717529296875
2025-05-13,432.3809509277344
2025-05-14,431.89202880859375
2025-05-15,426.03485107421875
2025-05-16,427.12249755859375
2025-05-19,445.62188720703125
2025-05-20,449.0543518066406
2025-05-21,452.03778076171875
2025-05-22,457.81512451171875
2025-05-23,463.3729553222656
2025-05-27,470.4773254394531
2025-05-28,483.94775390625
2025-05-29,470.1380920410156
2025-05-30,471.9441223144531
2025-06-02,484.0974426269531
2025-06-03,491.8903503417969
2025-06-04,487.06097412109375
2025-06-05,483.2492980957031
2025-06-06,483.9377746582031
2025-06-09,478.94873046875
2025-06-10,464.2909240722656
2025-06-11,482.4111328125
2025-06-12,486.6019592285156
2025-06-13,477.4021301269531
2025-06-16,486.8114929199219
2025-06-17,487.58978271484375
2025-06-18,489.1164245605469
2025-06-20,485.89349365234375
2025-06-23,498.7851867675781
2025-06-24,509.7211608886719
2025-06-25,501.5691223144531
2025-06-26,505.7000427246094
2025-06-27,518.5217895507812
2025-06-30,527.9911499023438
2025-07-01,504.89178466796875
2025-07-02,503.96380615234375
2025-07-03,515.9075927734375
2025-07-07,529.1187133789062
2025-07-08,528.8392333984375
2025-07-09,534.5966186523438
2025-07-10,538.1787109375
2025-07-11,537.979248046875
2025-07-14,553.8242797851562
2025-07-15,558.3843383789062
2025-07-16,559.9409790039062
2025-07-17,568.9212646484375
2025-07-18,573.341552734375
2025-07-21,564.9163818359375
2025-07-22,548.0260620117188
2025-07-23,627.9255981445312
2025-07-24,622.8744506835938
2025-07-25,643.458251953125
2025-07-28,646.5227661132812
2025-07-29,631.5591430664062
2025-07-30,653.8499755859375
2025-07-31,659.130615234375
2025-08-01,655.3473510742188
2025-08-04,661.6063232421875
2025-08-05,648.5792236328125
2025-08-06,663.3831787109375
2025-08-07,644.7260131835938
2025-08-08,647.9503784179688
2025-08-11,649.617431640625
2025-08-12,656.2857055664062
2025-08-13,633.1962280273438
