Date,T
2000-01-03,6.186147212982178
2000-01-04,5.824192523956299
2000-01-05,5.914682865142822
2000-01-06,5.800083160400391
2000-01-07,5.849794864654541
2000-01-10,5.932654857635498
2000-01-11,5.849794864654541
2000-01-12,5.543221950531006
2000-01-13,5.410641670227051
2000-01-14,5.568076133728027
2000-01-18,5.45207405090332
2000-01-19,5.377504348754883
2000-01-20,5.435502052307129
2000-01-21,5.700648784637451
2000-01-24,5.568076133728027
2000-01-25,5.302929878234863
2000-01-26,5.302929878234863
2000-01-27,5.170356750488281
2000-01-28,5.2034993171691895
2000-01-31,5.684078693389893
2000-02-01,5.617790699005127
2000-02-02,5.634361267089844
2000-02-03,5.568076133728027
2000-02-04,5.568076133728027
2000-02-07,5.551506042480469
2000-02-08,5.576361656188965
2000-02-09,5.650935649871826
2000-02-10,5.584648609161377
2000-02-11,5.3609299659729
2000-02-14,5.418930530548096
2000-02-15,5.394073486328125
2000-02-16,5.178641319274902
2000-02-17,5.302929878234863
2000-02-18,5.070927143096924
2000-02-22,4.838923454284668
2000-02-23,4.739495754241943
2000-02-24,4.706350326538086
2000-02-25,4.698062419891357
2000-02-28,4.905209541320801
2000-02-29,5.004637241363525
2000-03-01,5.568076133728027
2000-03-02,5.998941898345947
2000-03-03,6.040369510650635
2000-03-06,5.75036096572876
2000-03-07,5.551506042480469
2000-03-08,5.518360614776611
2000-03-09,5.510076999664307
2000-03-10,5.568076133728027
2000-03-13,5.791792392730713
2000-03-14,5.584648609161377
2000-03-15,5.634361267089844
2000-03-16,5.982369899749756
2000-03-17,6.065227508544922
2000-03-20,5.891223907470703
2000-03-21,5.998941898345947
2000-03-22,5.7420806884765625
2000-03-23,5.77522087097168
2000-03-24,5.700648784637451
2000-03-27,5.725507736206055
2000-03-28,5.634361267089844
2000-03-29,5.601219654083252
2000-03-30,5.518360614776611
2000-03-31,5.584648609161377
2000-04-03,5.932654857635498
2000-04-04,6.098369598388672
2000-04-05,6.139799118041992
2000-04-06,6.224356651306152
2000-04-07,6.193055629730225
2000-04-10,6.1763596534729
2000-04-11,6.309903621673584
2000-04-12,6.276519298553467
2000-04-13,6.276519298553467
2000-04-14,5.692269325256348
2000-04-17,5.592110633850098
2000-04-18,5.54203462600708
2000-04-19,5.600457191467285
2000-04-20,5.500299453735352
2000-04-24,5.642188549041748
2000-04-25,6.001084327697754
2000-04-26,5.87589168548584
2000-04-27,5.775735378265381
2000-04-28,5.850850582122803
2000-05-01,5.95935583114624
2000-05-02,5.658884048461914
2000-05-03,5.600457191467285
2000-05-04,5.483608722686768
2000-05-05,5.742346286773682
2000-05-08,5.72565221786499
2000-05-09,5.650533676147461
2000-05-10,6.026126384735107
2000-05-11,6.084551811218262
2000-05-12,5.9885663986206055
2000-05-15,6.142975330352783
2000-05-16,6.10124397277832
2000-05-17,6.051164627075195
2000-05-18,5.90927791595459
2000-05-19,5.700614929199219
2000-05-22,5.675576686859131
2000-05-23,5.583766937255859
2000-05-24,5.75903844833374
2000-05-25,5.617146968841553
2000-05-26,5.692269325256348
2000-05-30,5.90927791595459
2000-05-31,5.834157466888428
2000-06-01,5.87589168548584
2000-06-02,6.009432792663574
2000-06-05,5.9176225662231445
2000-06-06,6.051164627075195
2000-06-07,6.193055629730225
2000-06-08,6.276519298553467
2000-06-09,6.426756381988525
2000-06-12,6.251475811004639
2000-06-13,6.410059928894043
2000-06-14,6.677145957946777
2000-06-15,6.5018744468688965
2000-06-16,6.309903621673584
2000-06-19,6.343292713165283
2000-06-20,6.301558017730713
2000-06-21,6.426756381988525
2000-06-22,6.560298442840576
2000-06-23,6.485178470611572
2000-06-26,6.326598644256592
2000-06-27,6.218095302581787
2000-06-28,5.998999118804932
2000-06-29,6.084551811218262
2000-06-30,5.87589168548584
2000-07-03,6.218095302581787
2000-07-05,6.109592914581299
2000-07-06,5.868951320648193
2000-07-07,6.011892318725586
2000-07-10,6.0287089347839355
2000-07-11,5.969851970672607
2000-07-12,6.045525550842285
2000-07-13,6.154834747314453
2000-07-14,6.104383945465088
2000-07-17,5.8227081298828125
2000-07-18,5.852135181427002
2000-07-19,5.868951320648193
2000-07-20,5.801684856414795
2000-07-21,5.784871578216553
2000-07-24,5.81009578704834
2000-07-25,5.919402122497559
2000-07-26,5.801684856414795
2000-07-27,5.759645938873291
2000-07-28,5.717606067657471
2000-07-31,5.726008892059326
2000-08-01,5.877360820770264
2000-08-02,5.961442947387695
2000-08-03,5.919402122497559
2000-08-04,5.910992622375488
2000-08-07,5.969851970672607
2000-08-08,5.717606067657471
2000-08-09,5.608295917510986
2000-08-10,5.692378997802734
2000-08-11,5.726008892059326
2000-08-14,5.633522033691406
2000-08-15,5.6503400802612305
2000-08-16,5.5578484535217285
2000-08-17,5.314008712768555
2000-08-18,5.288784980773926
2000-08-21,5.389682769775391
2000-08-22,5.330826759338379
2000-08-23,5.406498432159424
2000-08-24,5.448541641235352
2000-08-25,5.541031360626221
2000-08-28,5.667157173156738
2000-08-29,5.692378997802734
2000-08-30,5.667157173156738
2000-08-31,5.618809223175049
2000-09-01,5.776463508605957
2000-09-05,5.81009578704834
2000-09-06,5.76805305480957
2000-09-07,5.751236915588379
2000-09-08,6.062338352203369
2000-09-11,6.180057525634766
2000-09-12,6.13801383972168
2000-09-13,6.104383945465088
2000-09-14,6.037117004394531
2000-09-15,5.953036785125732
2000-09-18,6.020299434661865
2000-09-19,6.121201515197754
2000-09-20,5.978262424468994
2000-09-21,6.280957221984863
2000-09-22,6.4491190910339355
2000-09-25,6.52479362487793
2000-09-26,6.499570846557617
2000-09-27,6.381856441497803
2000-09-28,6.684553623199463
2000-09-29,6.709777355194092
2000-10-02,6.735002517700195
2000-10-03,6.718182563781738
2000-10-04,6.96202278137207
2000-10-05,7.252995491027832
2000-10-06,7.219144821166992
2000-10-09,7.100659370422363
2000-10-10,6.8975396156311035
2000-10-11,6.652108669281006
2000-10-12,6.753666400909424
2000-10-13,6.787519454956055
2000-10-16,6.8721513748168945
2000-10-17,7.100659370422363
2000-10-18,7.134510040283203
2000-10-19,7.0498785972595215
2000-10-20,6.8721513748168945
2000-10-23,7.32916259765625
2000-10-24,7.295314788818359
2000-10-25,7.422263145446777
2000-10-26,7.371480941772461
2000-10-27,7.625378131866455
2000-10-30,7.870814323425293
2000-10-31,7.81157112121582
2000-11-01,7.591523170471191
2000-11-02,7.583064079284668
2000-11-03,7.7438645362854
2000-11-06,7.659232139587402
2000-11-07,7.7269392013549805
2000-11-08,7.769257068634033
2000-11-09,7.803103446960449
2000-11-10,7.735400676727295
2000-11-13,7.853885650634766
2000-11-14,7.7607951164245605
2000-11-15,7.7607951164245605
2000-11-16,7.8623504638671875
2000-11-17,7.583064079284668
2000-11-20,7.718475341796875
2000-11-21,7.710009574890137
2000-11-22,7.921592712402344
2000-11-24,7.6846208572387695
2000-11-27,7.506892204284668
2000-11-28,7.549211025238037
2000-11-29,7.47304105758667
2000-11-30,7.439190864562988
2000-12-01,7.066806793212891
2000-12-04,7.176829814910889
2000-12-05,7.2360711097717285
2000-12-06,7.346088886260986
2000-12-07,7.346088886260986
2000-12-08,6.999100208282471
2000-12-11,6.880613327026367
2000-12-12,7.075267791748047
2000-12-13,7.2360711097717285
2000-12-14,7.396872043609619
2000-12-15,7.269923210144043
2000-12-18,7.219144821166992
2000-12-19,6.305112361907959
2000-12-20,5.96658182144165
2000-12-21,6.076606750488281
2000-12-22,6.212021350860596
2000-12-26,6.338964462280273
