Date,GD
2000-01-03,14.204947471618652
2000-01-04,14.802098274230957
2000-01-05,15.815446853637695
2000-01-06,15.86972713470459
2000-01-07,16.28593635559082
2000-01-10,16.141162872314453
2000-01-11,15.92402458190918
2000-01-12,15.412220001220703
2000-01-13,15.412220001220703
2000-01-14,15.521268844604492
2000-01-18,15.066899299621582
2000-01-19,14.757925987243652
2000-01-20,14.344452857971191
2000-01-21,14.358080863952637
2000-01-24,13.503870010375977
2000-01-25,13.685614585876465
2000-01-26,13.649262428283691
2000-01-27,13.667441368103027
2000-01-28,13.740133285522461
2000-01-31,13.703791618347168
2000-02-01,14.049105644226074
2000-02-02,13.812836647033691
2000-02-03,13.44934368133545
2000-02-04,13.249414443969727
2000-02-07,12.940447807312012
2000-02-08,12.50425910949707
2000-02-09,12.140758514404297
2000-02-10,12.267984390258789
2000-02-11,12.049887657165527
2000-02-14,12.086233139038086
2000-02-15,12.013538360595703
2000-02-16,12.086233139038086
2000-02-17,12.54060173034668
2000-02-18,12.177104949951172
2000-02-22,12.50425910949707
2000-02-23,12.54060173034668
2000-02-24,12.286162376403809
2000-02-25,12.486072540283203
2000-02-28,12.522431373596191
2000-02-29,12.576952934265137
2000-03-01,12.322510719299316
2000-03-02,11.95901107788086
2000-03-03,11.304713249206543
2000-03-06,10.995749473571777
2000-03-07,10.75947380065918
2000-03-08,10.904869079589844
2000-03-09,11.577339172363281
2000-03-10,11.431946754455566
2000-03-13,11.359241485595703
2000-03-14,11.66821575164795
2000-03-15,12.61330509185791
2000-03-16,13.12220287322998
2000-03-17,13.30394458770752
2000-03-20,13.394819259643555
2000-03-21,13.522041320800781
2000-03-22,13.358469009399414
2000-03-23,13.503870010375977
2000-03-24,14.030937194824219
2000-03-27,13.903709411621094
2000-03-28,13.703791618347168
2000-03-29,13.685614585876465
2000-03-30,14.049105644226074
2000-03-31,14.467127799987793
2000-04-03,14.794266700744629
2000-04-04,15.10324764251709
2000-04-05,14.868706703186035
2000-04-06,14.941778182983398
2000-04-07,14.832184791564941
2000-04-10,14.832184791564941
2000-04-11,14.960044860839844
2000-04-12,15.28883171081543
2000-04-13,15.416691780090332
2000-04-14,15.014835357666016
2000-04-17,14.740846633911133
2000-04-18,14.686044692993164
2000-04-19,15.197494506835938
2000-04-20,15.654151916503906
2000-04-24,16.9510555267334
2000-04-25,17.33464813232422
2000-04-26,16.622268676757812
2000-04-27,17.352916717529297
2000-04-28,17.097196578979492
2000-05-01,17.225055694580078
2000-05-02,16.71359634399414
2000-05-03,16.31174659729004
2000-05-04,16.31174659729004
2000-05-05,16.658790588378906
2000-05-08,16.384803771972656
2000-05-09,16.804935455322266
2000-05-10,16.293474197387695
2000-05-11,16.512672424316406
2000-05-12,16.49440574645996
2000-05-15,16.640541076660156
2000-05-16,16.43960189819336
2000-05-17,15.964683532714844
2000-05-18,16.275209426879883
2000-05-19,16.604001998901367
2000-05-22,16.421329498291016
2000-05-23,16.640541076660156
2000-05-24,17.042388916015625
2000-05-25,16.69533348083496
2000-05-26,16.49440574645996
2000-05-30,16.98758888244629
2000-05-31,17.261587142944336
2000-06-01,17.645179748535156
2000-06-02,17.13371467590332
2000-06-05,16.768402099609375
2000-06-06,16.914533615112305
2000-06-07,16.786663055419922
2000-06-08,16.20214080810547
2000-06-09,16.129087448120117
2000-06-12,16.129087448120117
2000-06-13,15.818550109863281
2000-06-14,16.18387794494629
2000-06-15,16.43960189819336
2000-06-16,16.08341407775879
2000-06-19,15.70895004272461
2000-06-20,15.782021522521973
2000-06-21,15.526288986206055
2000-06-22,15.361897468566895
2000-06-23,15.836816787719727
2000-06-26,15.818550109863281
2000-06-27,15.90988540649414
2000-06-28,15.63132381439209
2000-06-29,15.434962272644043
2000-06-30,15.270564079284668
2000-07-03,15.325363159179688
2000-07-05,15.343632698059082
2000-07-06,15.252297401428223
2000-07-07,15.361897468566895
2000-07-10,15.380167007446289
2000-07-11,15.562823295593262
2000-07-12,15.804394721984863
2000-07-13,15.694252967834473
2000-07-14,15.74932861328125
