Date,PGR
2000-01-03,3.0051681995391846
2000-01-04,2.896228551864624
2000-01-05,2.9653120040893555
2000-01-06,2.9546854496002197
2000-01-07,3.0051681995391846
2000-01-10,2.9467129707336426
2000-01-11,2.938741445541382
2000-01-12,2.9520277976989746
2000-01-13,3.0343971252441406
2000-01-14,2.9839107990264893
2000-01-18,2.959998369216919
2000-01-19,2.9254565238952637
2000-01-20,2.8271448612213135
2000-01-21,2.7846291065216064
2000-01-24,2.803230047225952
2000-01-25,2.7208597660064697
2000-01-26,2.715545892715454
2000-01-27,2.7500882148742676
2000-01-28,2.6411478519439697
2000-01-31,2.6464624404907227
2000-02-01,2.6358349323272705
2000-02-02,2.5986337661743164
2000-02-03,2.5587778091430664
2000-02-04,2.561434030532837
2000-02-07,2.561434030532837
2000-02-08,2.5295495986938477
2000-02-09,2.436552047729492
2000-02-10,2.3727805614471436
2000-02-11,2.2957258224487305
2000-02-14,2.2160134315490723
2000-02-15,2.378095865249634
2000-02-16,2.42060923576355
2000-02-17,2.4524943828582764
2000-02-18,2.378095865249634
2000-02-22,2.42060923576355
2000-02-23,2.4232664108276367
2000-02-24,2.3594958782196045
2000-02-25,2.3196394443511963
2000-02-28,2.412637948989868
2000-02-29,2.5295495986938477
2000-03-01,2.5082926750183105
2000-03-02,2.3754382133483887
2000-03-03,2.348867416381836
2000-03-06,2.2585270404815674
2000-03-07,2.223985195159912
2000-03-08,2.1655619144439697
2000-03-09,2.1336374282836914
2000-03-10,2.1176750659942627
2000-03-13,2.096392869949341
2000-03-14,2.2214303016662598
2000-03-15,2.4555459022521973
2000-03-16,2.7109429836273193
2000-03-17,2.6736981868743896
2000-03-20,2.559300422668457
2000-03-21,2.812037706375122
2000-03-22,2.8093783855438232
2000-03-23,2.9344167709350586
2000-03-24,2.9450583457946777
2000-03-27,2.8599255084991455
2000-03-28,2.966341018676758
2000-03-29,3.102022171020508
2000-03-30,3.3254945278167725
2000-03-31,3.237701654434204
2000-04-03,3.3308169841766357
2000-04-04,3.3494391441345215
2000-04-05,3.2935705184936523
2000-04-06,3.274946928024292
2000-04-07,3.2243995666503906
2000-04-10,3.2137584686279297
2000-04-11,3.2403628826141357
2000-04-12,3.2935705184936523
2000-04-13,3.2589855194091797
2000-04-14,2.9902851581573486
2000-04-17,2.9530396461486816
2000-04-18,3.0727572441101074
2000-04-19,2.6869988441467285
2000-04-20,2.6231510639190674
2000-04-24,2.7481892108917236
2000-04-25,2.9796438217163086
