Date,MA
2006-05-25,4.166727066040039
2006-05-26,4.069805145263672
2006-05-30,3.9855635166168213
2006-05-31,4.070708274841309
2006-06-01,4.30350399017334
2006-06-02,4.256398677825928
2006-06-05,4.452052593231201
2006-06-06,4.375059604644775
2006-06-07,4.311655044555664
2006-06-08,4.322524070739746
2006-06-09,4.327958106994629
2006-06-12,4.2527756690979
2006-06-13,4.121434688568115
2006-06-14,4.0870137214660645
2006-06-15,4.162195682525635
2006-06-16,4.077956199645996
2006-06-19,4.016358852386475
2006-06-20,3.9873735904693604
2006-06-21,4.103318214416504
2006-06-22,4.221072673797607
2006-06-23,4.2527756690979
2006-06-26,4.302596569061279
2006-06-27,4.285387992858887
2006-06-28,4.253682613372803
2006-06-29,4.347886562347412
2006-06-30,4.347886562347412
2006-07-03,4.284478664398193
2006-07-05,4.311655044555664
2006-07-06,4.2391886711120605
2006-07-07,4.1775946617126465
2006-07-10,4.211108207702637
2006-07-11,4.198428153991699
2006-07-12,4.125964164733887
2006-07-13,4.050780296325684
2006-07-14,3.981034994125366
2006-07-17,3.9846572875976562
2006-07-18,3.9765069484710693
2006-07-19,4.101505756378174
2006-07-20,4.125964164733887
2006-07-21,4.101505756378174
2006-07-24,4.076143741607666
2006-07-25,4.173971176147461
2006-07-26,4.2283220291137695
2006-07-27,4.213827133178711
2006-07-28,4.193899631500244
2006-07-31,4.154948711395264
2006-08-01,4.076143741607666
2006-08-02,4.5308613777160645
2006-08-03,4.528143405914307
2006-08-04,4.5335774421691895
2006-08-07,4.628688335418701
2006-08-08,4.761842727661133
2006-08-09,4.787206649780273
2006-08-10,4.851518154144287
2006-08-11,4.862388610839844
2006-08-14,4.91220760345459
2006-08-15,4.935756683349609
2006-08-16,4.915830135345459
2006-08-17,4.842458724975586
2006-08-18,4.841551303863525
2006-08-21,4.914923667907715
2006-08-22,5.002786159515381
2006-08-23,4.945719242095947
2006-08-24,5.04083251953125
2006-08-25,4.9819560050964355
2006-08-28,4.983765602111816
2006-08-29,5.013655185699463
2006-08-30,5.0046000480651855
2006-08-31,5.063477039337158
2006-09-01,5.122353553771973
2006-09-05,5.149528503417969
2006-09-06,5.333408832550049
2006-09-07,5.445725917816162
2006-09-08,5.412213325500488
2006-09-11,5.604244709014893
2006-09-12,5.6250786781311035
2006-09-13,5.557143211364746
2006-09-14,5.687577724456787
2006-09-15,5.885046482086182
2006-09-18,5.898631572723389
2006-09-19,5.873273849487305
2006-09-20,6.028164863586426
2006-09-21,6.254614353179932
2006-09-22,5.972005367279053
2006-09-25,5.833413600921631
2006-09-26,5.9783453941345215
2006-09-27,6.145012855529785
2006-09-28,6.218386173248291
2006-09-29,6.372372627258301
2006-10-02,6.337047100067139
2006-10-03,6.311681747436523
2006-10-04,6.306247234344482
2006-10-05,6.583784103393555
2006-10-06,6.815972328186035
2006-10-09,6.60283088684082
2006-10-10,6.522111892700195
2006-10-11,6.303525924682617
2006-10-12,6.386061191558838
2006-10-13,6.357039928436279
2006-10-16,6.466782569885254
2006-10-17,6.303525924682617
2006-10-18,6.389692306518555
2006-10-19,6.560202598571777
2006-10-20,6.459528923034668
2006-10-23,6.371548652648926
2006-10-24,6.457713603973389
2006-10-25,6.416900157928467
2006-10-26,6.5484113693237305
2006-10-27,6.588317394256592
2006-10-30,6.579249382019043
2006-10-31,6.720739841461182
2006-11-01,7.715695381164551
2006-11-02,7.945165157318115
2006-11-03,8.118398666381836
2006-11-06,8.734237670898438
2006-11-07,8.3895845413208
2006-11-08,8.021353721618652
2006-11-09,7.999579906463623
2006-11-10,8.090278625488281
2006-11-13,8.75691032409668
2006-11-14,8.634469032287598
2006-11-15,8.643538475036621
2006-11-16,8.57279109954834
2006-11-17,8.597282409667969
2006-11-20,8.724262237548828
2006-11-21,9.124238014221191
2006-11-22,9.36550235748291
2006-11-24,9.566849708557129
2006-11-27,8.978218078613281
2006-11-28,9.137845993041992
2006-11-29,8.997264862060547
2006-11-30,9.228541374206543
2006-12-01,9.17594051361084
2006-12-04,9.077077865600586
2006-12-05,9.001803398132324
2006-12-06,8.990915298461914
2006-12-07,9.040800094604492
2006-12-08,9.078893661499023
2006-12-11,8.988197326660156
2006-12-12,8.684355735778809
2006-12-13,8.68616771697998
2006-12-14,8.67075252532959
2006-12-15,8.724262237548828
2006-12-18,8.42586898803711
2006-12-19,8.834005355834961
2006-12-20,8.84398365020752
2006-12-21,8.6807279586792
2006-12-22,8.738774299621582
2006-12-26,8.629032135009766
2006-12-27,9.012682914733887
2006-12-28,8.975502014160156
2006-12-29,8.932868003845215
2007-01-03,8.744214057922363
2007-01-04,9.173219680786133
2007-01-05,9.165962219238281
2007-01-08,9.167776107788086
2007-01-09,9.59042739868164
2007-01-10,9.507827758789062
2007-01-11,9.57681941986084
2007-01-12,9.554119110107422
2007-01-16,9.622200965881348
2007-01-17,9.898160934448242
2007-01-18,9.303577423095703
2007-01-19,9.534149169921875
2007-01-22,9.768350601196289
2007-01-23,9.840972900390625
2007-01-24,10.114205360412598
2007-01-25,9.791956901550293
2007-01-26,9.850955963134766
2007-01-29,9.961702346801758
2007-01-30,10.053384780883789
2007-01-31,10.126002311706543
2007-02-01,10.159592628479004
2007-02-02,10.072446823120117
2007-02-05,10.008000373840332
2007-02-06,10.035229682922363
2007-02-07,10.157774925231934
2007-02-08,10.415575981140137
2007-02-09,9.404338836669922
2007-02-12,9.266361236572266
2007-02-13,9.50328540802002
2007-02-14,9.805563926696777
2007-02-15,9.807382583618164
2007-02-16,9.832805633544922
2007-02-20,9.7874174118042
2007-02-21,9.739303588867188
2007-02-22,9.613125801086426
2007-02-23,9.492393493652344
2007-02-26,9.44609546661377
2007-02-27,9.349876403808594
2007-02-28,9.729317665100098
2007-03-01,9.64852523803711
2007-03-02,9.35532283782959
2007-03-05,9.162877082824707
2007-03-06,9.43974494934082
2007-03-07,9.052128791809082
2007-03-08,9.328091621398926
2007-03-09,9.291776657104492
2007-03-12,9.372565269470215
2007-03-13,9.427943229675293
2007-03-14,9.57681941986084
2007-03-15,9.555027961730957
2007-03-16,9.55593490600586
2007-03-19,9.702994346618652
2007-03-20,9.757455825805664
2007-03-21,10.048846244812012
2007-03-22,9.946270942687988
2007-03-23,9.972593307495117
2007-03-26,9.84732723236084
2007-03-27,9.735672950744629
2007-03-28,9.68392562866211
2007-03-29,9.730223655700684
2007-03-30,9.6439847946167
2007-04-02,9.709342956542969
2007-04-03,9.851861953735352
2007-04-04,9.745511054992676
2007-04-05,9.818231582641602
2007-04-09,9.848227500915527
2007-04-10,10.000029563903809
2007-04-11,9.981856346130371
2007-04-12,9.982762336730957
2007-04-13,9.944581985473633
2007-04-16,9.944581985473633
2007-04-17,9.96730899810791
2007-04-18,9.92731761932373
2007-04-19,9.938220024108887
2007-04-20,10.008212089538574
2007-04-23,10.00275993347168
2007-04-24,9.826409339904785
2007-04-25,9.939127922058105
2007-04-26,9.868226051330566
2007-04-27,10.371819496154785
2007-04-30,10.151838302612305
2007-05-01,10.439990997314453
2007-05-02,11.485359191894531
2007-05-03,12.255290031433105
2007-05-04,12.240743637084961
2007-05-07,12.190749168395996
2007-05-08,12.458001136779785
2007-05-09,12.685254096984863
2007-05-10,12.61889362335205
2007-05-11,12.61980152130127
2007-05-14,12.303466796875
2007-05-15,12.311646461486816
2007-05-16,12.379827499389648
2007-05-17,12.370735168457031
2007-05-18,12.548901557922363
2007-05-21,12.681612968444824
2007-05-22,12.610711097717285
2007-05-23,12.7379732131958
2007-05-24,12.633440017700195
2007-05-25,12.641621589660645
2007-05-29,13.095215797424316
2007-05-30,13.374277114868164
2007-05-31,13.594264030456543
2007-06-01,13.735157012939453
2007-06-04,13.748793601989746
2007-06-05,13.562445640563965
2007-06-06,13.364279747009277
2007-06-07,12.672526359558105
2007-06-08,13.051586151123047
2007-06-11,12.87159538269043
2007-06-12,13.208843231201172
2007-06-13,13.662439346313477
2007-06-14,13.661530494689941
2007-06-15,14.330560684204102
2007-06-18,14.964140892028809
2007-06-19,15.023226737976074
2007-06-20,14.858699798583984
2007-06-21,14.970512390136719
2007-06-22,15.31047534942627
2007-06-25,14.721440315246582
2007-06-26,14.709620475769043
2007-06-27,14.819607734680176
2007-06-28,14.978687286376953
2007-06-29,15.091501235961914
2007-07-02,15.119709014892578
2007-07-03,14.758504867553711
2007-07-05,14.713011741638184
2007-07-06,14.730299949645996
2007-07-09,14.66843032836914
2007-07-10,14.407307624816895
2007-07-11,14.225337028503418
2007-07-12,15.273477554321289
2007-07-13,15.395394325256348
2007-07-16,15.440889358520508
2007-07-17,15.398124694824219
2007-07-18,15.360818862915039
2007-07-19,15.233437538146973
2007-07-20,15.037818908691406
2007-07-23,15.248908996582031
2007-07-24,14.445521354675293
2007-07-25,14.657515525817871
2007-07-26,14.440969467163086
2007-07-27,14.014256477355957
2007-07-30,14.975049018859863
2007-07-31,14.630217552185059
2007-08-01,13.647594451904297
2007-08-02,12.976131439208984
2007-08-03,11.942553520202637
2007-08-06,12.521212577819824
2007-08-07,13.126251220703125
2007-08-08,13.467442512512207
2007-08-09,12.854208946228027
2007-08-10,12.592180252075195
2007-08-13,12.427495956420898
2007-08-14,12.148174285888672
2007-08-15,11.740571022033691
2007-08-16,11.827910423278809
2007-08-17,12.464798927307129
2007-08-20,12.546685218811035
2007-08-21,12.752307891845703
2007-08-22,13.17629623413086
2007-08-23,12.9461088180542
2007-08-24,12.722284317016602
2007-08-27,12.578535079956055
2007-08-28,12.020797729492188
2007-08-29,12.139081001281738
2007-08-30,12.052643775939941
2007-08-31,12.463894844055176
2007-09-04,12.577616691589355
2007-09-05,12.333783149719238
2007-09-06,12.261909484863281
2007-09-07,11.84701919555664
2007-09-10,11.801529884338379
2007-09-11,12.025348663330078
2007-09-12,12.449332237243652
2007-09-13,12.692256927490234
2007-09-14,12.542137145996094
2007-09-17,12.439325332641602
2007-09-18,13.266369819641113
2007-09-19,13.602097511291504
2007-09-20,13.603010177612305
2007-09-21,13.334606170654297
2007-09-24,12.943377494812012
2007-09-25,13.009793281555176
2007-09-26,12.997056007385254
2007-09-27,13.465622901916504
2007-09-28,13.462896347045898
2007-10-01,13.954206466674805
2007-10-02,13.918723106384277
2007-10-03,14.279020309448242
2007-10-04,14.69845962524414
2007-10-05,14.781249046325684
2007-10-08,14.772150039672852
2007-10-09,14.802177429199219
2007-10-10,14.995973587036133
2007-10-11,14.724836349487305
2007-10-12,14.849485397338867
2007-10-15,14.367273330688477
2007-10-16,14.157100677490234
2007-10-17,14.080601692199707
2007-10-18,13.999547958374023
2007-10-19,13.806475639343262
2007-10-22,13.350207328796387
2007-10-23,13.508667945861816
2007-10-24,13.414870262145996
2007-10-25,13.78643798828125
2007-10-26,14.300994873046875
2007-10-29,14.330133438110352
2007-10-30,14.311921119689941
2007-10-31,17.29543685913086
2007-11-01,17.256271362304688
2007-11-02,17.307275772094727
2007-11-05,16.93297004699707
2007-11-06,18.159711837768555
2007-11-07,18.1669921875
2007-11-08,17.43477439880371
2007-11-09,17.576839447021484
2007-11-12,16.56412696838379
2007-11-13,17.195253372192383
2007-11-14,17.00946807861328
2007-11-15,16.837350845336914
2007-11-16,16.83643341064453
2007-11-19,16.56594467163086
2007-11-20,16.58599090576172
2007-11-21,16.476694107055664
2007-11-23,16.49309730529785
2007-11-26,16.503110885620117
2007-11-27,16.744447708129883
2007-11-28,17.81363868713379
2007-11-29,18.00852394104004
2007-11-30,18.273540496826172
2007-12-03,18.38555908203125
2007-12-04,17.830936431884766
2007-12-05,18.220731735229492
2007-12-06,18.76259994506836
2007-12-07,19.08863067626953
2007-12-10,19.622316360473633
2007-12-11,19.808107376098633
2007-12-12,19.48025131225586
2007-12-13,20.32720184326172
2007-12-14,19.72248649597168
2007-12-17,18.663333892822266
2007-12-18,18.375537872314453
2007-12-19,19.338165283203125
2007-12-20,18.829082489013672
2007-12-21,19.339088439941406
2007-12-24,19.31813621520996
2007-12-26,19.077701568603516
2007-12-27,19.127788543701172
2007-12-28,19.12506103515625
2007-12-31,19.598634719848633
2008-01-02,19.55128288269043
2008-01-03,19.31813621520996
2008-01-04,18.32273292541504
2008-01-07,18.26079559326172
2008-01-08,18.032203674316406
2008-01-09,17.916446685791016
2008-01-10,17.862682342529297
2008-01-11,16.329692840576172
2008-01-14,16.243112564086914
2008-01-15,15.949644088745117
2008-01-16,15.99794864654541
2008-01-17,16.12099266052246
2008-01-18,15.915003776550293
2008-01-22,16.60311508178711
2008-01-23,17.55279541015625
2008-01-24,17.47897720336914
2008-01-25,17.629358291625977
2008-01-28,17.22561264038086
2008-01-29,17.449813842773438
2008-01-30,17.22561264038086
2008-01-31,18.866146087646484
2008-02-01,19.633548736572266
2008-02-04,19.68640899658203
2008-02-05,18.84609603881836
2008-02-06,18.67931365966797
