Date,MPC
2011-06-24,12.182596206665039
2011-06-27,12.31341552734375
2011-06-28,12.656822204589844
2011-06-29,13.104874610900879
2011-06-30,13.539851188659668
2011-07-01,13.801491737365723
2011-07-05,13.804760932922363
2011-07-06,13.700106620788574
2011-07-07,13.664132118225098
2011-07-08,13.543123245239258
2011-07-11,13.114690780639648
2011-07-12,13.23896598815918
2011-07-13,13.068899154663086
2011-07-14,12.637199401855469
2011-07-15,12.807265281677246
2011-07-18,12.79417610168457
2011-07-19,12.99695110321045
2011-07-20,12.928271293640137
2011-07-21,13.114690780639648
2011-07-22,13.268403053283691
2011-07-25,13.530040740966797
2011-07-26,14.079488754272461
2011-07-27,13.75570011138916
2011-07-28,13.991180419921875
2011-07-29,14.321500778198242
2011-08-01,14.707418441772461
2011-08-02,13.844015121459961
2011-08-03,13.549665451049805
2011-08-04,12.565247535705566
2011-08-05,12.202218055725098
2011-08-08,10.573513984680176
2011-08-09,11.806492805480957
2011-08-10,11.485980033874512
2011-08-11,12.21203327178955
2011-08-12,12.23492431640625
2011-08-15,12.856371879577637
2011-08-16,12.777454376220703
2011-08-17,12.856371879577637
2011-08-18,12.037640571594238
2011-08-19,11.504972457885742
2011-08-22,10.709259986877441
2011-08-23,11.261655807495117
2011-08-24,11.781170845031738
2011-08-25,11.304398536682129
2011-08-26,11.465516090393066
2011-08-29,11.837071418762207
2011-08-30,11.84693431854248
2011-08-31,12.185602188110352
2011-09-01,12.169164657592773
2011-09-02,11.646358489990234
2011-09-06,11.508260726928711
2011-09-07,11.932427406311035
2011-09-08,12.405903816223145
2011-09-09,11.9521484375
2011-09-12,12.054083824157715
2011-09-13,11.6200590133667
2011-09-14,11.518122673034668
2011-09-15,11.646358489990234
2011-09-16,11.541138648986816
2011-09-19,11.03149127960205
2011-09-20,11.077520370483398
2011-09-21,10.653362274169922
2011-09-22,9.689956665039062
2011-09-23,9.709684371948242
2011-09-26,9.897104263305664
2011-09-27,9.808327674865723
2011-09-28,9.528840065002441
2011-09-29,9.153999328613281
2011-09-30,8.897527694702148
2011-10-03,8.927123069763184
2011-10-04,9.456501960754395
2011-10-05,10.350860595703125
2011-10-06,10.945999145507812
2011-10-07,10.390316009521484
2011-10-10,10.840781211853027
2011-10-11,10.899967193603516
2011-10-12,11.038067817687988
2011-10-13,11.103826522827148
2011-10-14,11.883103370666504
2011-10-17,11.488532066345215
2011-10-18,11.899541854858398
2011-10-19,11.705543518066406
2011-10-20,11.998183250427246
2011-10-21,12.28095817565918
2011-10-24,11.787745475769043
2011-10-25,10.840781211853027
2011-10-26,11.419483184814453
2011-10-27,12.274384498596191
2011-10-28,12.27109146118164
2011-10-31,11.804189682006836
2011-11-01,11.837071418762207
2011-11-02,12.603190422058105
2011-11-03,12.714982986450195
2011-11-04,12.698545455932617
2011-11-07,12.797187805175781
2011-11-08,12.530853271484375
2011-11-09,12.172454833984375
2011-11-10,12.396037101745605
2011-11-11,12.419059753417969
2011-11-14,12.15095043182373
2011-11-15,12.240321159362793
2011-11-16,10.803784370422363
2011-11-17,10.466164588928223
2011-11-18,10.863365173339844
2011-11-21,10.869986534118652
2011-11-22,11.095067977905273
2011-11-23,10.866674423217773
2011-11-25,10.681315422058105
2011-11-28,11.015623092651367
2011-11-29,10.979211807250977
2011-11-30,11.052033424377441
2011-12-01,11.237395286560059
2011-12-02,11.025553703308105
2011-12-05,11.386343002319336
2011-12-06,11.465779304504395
2011-12-07,11.419443130493164
2011-12-08,11.2605619430542
2011-12-09,11.545222282409668
2011-12-12,11.449234008789062
2011-12-13,11.237395286560059
2011-12-14,10.817023277282715
2011-12-15,10.767375946044922
2011-12-16,10.57870864868164
2011-12-19,10.572088241577148
2011-12-20,10.6581449508667
2011-12-21,10.813718795776367
2011-12-22,11.025553703308105
2011-12-23,11.098373413085938
2011-12-27,11.138094902038574
2011-12-28,10.969285011291504
2011-12-29,11.015623092651367
2011-12-30,11.018932342529297
2012-01-03,11.058653831481934
2012-01-04,11.174503326416016
2012-01-05,10.56546688079834
2012-01-06,10.47940444946289
2012-01-09,10.247708320617676
2012-01-10,10.535676002502441
2012-01-11,10.886533737182617
2012-01-12,10.803784370422363
2012-01-13,10.93287467956543
2012-01-17,11.1016845703125
2012-01-18,11.737197875976562
2012-01-19,11.866288185119629
2012-01-20,12.303207397460938
2012-01-23,12.534907341003418
2012-01-24,12.922175407409668
2012-01-25,12.829497337341309
2012-01-26,12.415749549865723
2012-01-27,12.422368049621582
2012-01-30,12.405815124511719
2012-01-31,12.650758743286133
2012-02-01,13.86220932006836
2012-02-02,14.087289810180664
2012-02-03,14.557308197021484
2012-02-06,14.702946662902832
2012-02-07,14.537445068359375
2012-02-08,14.878382682800293
2012-02-09,14.84196662902832
2012-02-10,14.590408325195312
2012-02-13,14.391805648803711
2012-02-14,14.654806137084961
2012-02-15,14.548274993896484
2012-02-16,14.678114891052246
2012-02-17,14.461718559265137
2012-02-21,14.584896087646484
2012-02-22,14.488356590270996
2012-02-23,14.544943809509277
2012-02-24,14.268630027770996
2012-02-27,14.185400009155273
2012-02-28,13.87246036529541
2012-02-29,13.832517623901367
2012-03-01,14.222025871276855
2012-03-02,14.042248725891113
2012-03-05,14.232011795043945
2012-03-06,13.978995323181152
2012-03-07,14.165427207946777
2012-03-08,14.528306007385254
2012-03-09,14.614863395690918
2012-03-12,14.574912071228027
2012-03-13,14.661465644836426
