Date,Q
2025-10-27,95.16678619384766
2025-10-28,94.60755920410156
2025-10-29,93.9085464477539
2025-10-30,93.2694320678711
2025-10-31,94.86720275878906
2025-11-03,96.8644027709961
2025-11-04,100.76893615722656
2025-11-05,99.51069641113281
2025-11-06,93.19953155517578
2025-11-07,92.18095397949219
2025-11-10,96.4649658203125
2025-11-11,96.39505767822266
2025-11-12,91.8314437866211
2025-11-13,85.77992248535156
2025-11-14,83.3633041381836
2025-11-17,81.34613037109375
2025-11-18,78.86959838867188
2025-11-19,79.50869750976562
2025-11-20,74.79529571533203
2025-11-21,75.69403839111328
2025-11-24,73.43719482421875
2025-11-25,77.90095520019531
2025-11-26,79.11924743652344
2025-11-28,81.03800964355469
2025-12-01,77.55024719238281
2025-12-02,79.6988754272461
2025-12-03,80.22853088378906
2025-12-04,83.406494140625
2025-12-05,81.9874038696289
2025-12-08,84.24595642089844
2025-12-09,85.03544616699219
2025-12-10,86.14473724365234
2025-12-11,84.74563598632812
2025-12-12,78.88939666748047
2025-12-15,76.58087158203125
2025-12-16,78.44967651367188
2025-12-17,76.21111297607422
2025-12-18,78.97933197021484
2025-12-19,79.6489028930664
2025-12-22,81.8375015258789
2025-12-23,83.1166763305664
2025-12-24,83.3165512084961
2025-12-26,84.15601348876953
2025-12-29,83.53640747070312
2025-12-30,83.95614624023438
