Date,OMC
2000-01-03,26.230411529541016
2000-01-04,25.367347717285156
2000-01-05,24.639646530151367
2000-01-06,24.775033950805664
2000-01-07,25.824264526367188
2000-01-10,26.975006103515625
2000-01-11,26.382720947265625
2000-01-12,26.2981014251709
2000-01-13,26.264253616333008
2000-01-14,25.959646224975586
2000-01-18,25.333505630493164
2000-01-19,26.348861694335938
2000-01-20,25.367347717285156
2000-01-21,25.705812454223633
2000-01-24,24.910429000854492
2000-01-25,24.487361907958984
2000-01-26,25.401199340820312
2000-01-27,25.231966018676758
2000-01-28,25.621185302734375
2000-01-31,25.367347717285156
2000-02-01,26.095029830932617
2000-02-02,25.655033111572266
2000-02-03,25.451948165893555
2000-02-04,25.384275436401367
2000-02-07,24.87659454345703
2000-02-08,25.688880920410156
2000-02-09,26.21348762512207
2000-02-10,26.111955642700195
2000-02-11,25.90888023376465
2000-02-14,25.705812454223633
2000-02-15,25.553489685058594
2000-02-16,24.16583251953125
2000-02-17,22.947378158569336
2000-02-18,24.13197135925293
2000-02-22,23.353532791137695
2000-02-23,25.587345123291016
2000-02-24,25.07964515686035
2000-02-25,24.04735565185547
2000-02-28,24.82581329345703
2000-02-29,25.502729415893555
2000-03-01,25.485811233520508
2000-03-02,25.045791625976562
2000-03-03,24.43657684326172
2000-03-06,22.50737953186035
2000-03-07,21.864315032958984
2000-03-08,21.67436981201172
2000-03-09,22.522348403930664
2000-03-10,22.708900451660156
2000-03-13,22.607145309448242
2000-03-14,22.674972534179688
2000-03-15,22.183162689208984
2000-03-16,23.16680908203125
2000-03-17,24.014793395996094
2000-03-20,24.47270393371582
2000-03-21,24.896697998046875
2000-03-22,25.76163101196289
2000-03-23,25.931228637695312
2000-03-24,26.74528694152832
2000-03-27,26.880970001220703
2000-03-28,26.99968719482422
2000-03-29,26.541780471801758
2000-03-30,25.676816940307617
2000-03-31,25.40547752380371
2000-04-03,25.795555114746094
2000-04-04,24.553251266479492
2000-04-05,25.880352020263672
2000-04-06,26.38913345336914
2000-04-07,26.3721866607666
2000-04-10,25.592029571533203
2000-04-11,25.303726196289062
2000-04-12,24.710145950317383
2000-04-13,23.98086166381836
2000-04-14,22.284910202026367
2000-04-17,23.065046310424805
2000-04-18,22.895458221435547
2000-04-19,22.624103546142578
2000-04-20,22.674972534179688
2000-04-24,23.149852752685547
2000-04-25,24.404869079589844
2000-04-26,25.015398025512695
2000-04-27,25.235876083374023
2000-04-28,24.710145950317383
2000-05-01,24.540538787841797
2000-05-02,24.523588180541992
2000-05-03,23.522960662841797
2000-05-04,23.505998611450195
2000-05-05,24.642297744750977
2000-05-08,24.014793395996094
2000-05-09,23.930004119873047
2000-05-10,23.539920806884766
2000-05-11,23.658634185791016
2000-05-12,23.86215591430664
2000-05-15,23.7943172454834
2000-05-16,24.404869079589844
2000-05-17,23.896080017089844
2000-05-18,23.2855167388916
2000-05-19,22.725852966308594
2000-05-22,22.776748657226562
2000-05-23,22.658018112182617
2000-05-24,22.844587326049805
2000-05-25,22.742822647094727
2000-05-26,22.284910202026367
2000-05-30,22.92937660217285
2000-05-31,22.776748657226562
2000-06-01,23.16680908203125
2000-06-02,24.082622528076172
2000-06-05,24.642297744750977
2000-06-06,24.811899185180664
2000-06-07,24.893457412719727
2000-06-08,24.009864807128906
2000-06-09,24.298736572265625
2000-06-12,24.052345275878906
2000-06-13,24.315723419189453
2000-06-14,24.213775634765625
2000-06-15,24.706546783447266
2000-06-16,25.895980834960938
2000-06-19,25.72605323791504
2000-06-20,25.929981231689453
2000-06-21,26.320798873901367
2000-06-22,26.337787628173828
2000-06-23,26.15088653564453
2000-06-26,24.604598999023438
2000-06-27,24.247760772705078
2000-06-28,24.404932022094727
2000-06-29,24.196767807006836
2000-06-30,24.213775634765625
2000-07-03,24.587596893310547
2000-07-05,24.3666934967041
2000-07-06,24.0268497467041
2000-07-07,23.109275817871094
2000-07-10,22.021787643432617
2000-07-11,23.56806755065918
2000-07-12,23.687013626098633
2000-07-13,22.684484481811523
2000-07-14,23.788969039916992
2000-07-17,23.389657974243164
2000-07-18,23.04131507873535
2000-07-19,23.109275817871094
2000-07-20,23.415145874023438
2000-07-21,23.126279830932617
2000-07-24,23.3471736907959
2000-07-25,24.264755249023438
2000-07-26,23.907913208007812
2000-07-27,23.602052688598633
2000-07-28,23.194246292114258
2000-07-31,23.109275817871094
2000-08-01,23.092304229736328
2000-08-02,23.04131507873535
2000-08-03,22.83741569519043
2000-08-04,23.024324417114258
2000-08-07,23.449127197265625
2000-08-08,23.856945037841797
2000-08-09,23.449127197265625
2000-08-10,23.36417007446289
2000-08-11,23.109275817871094
2000-08-14,23.075307846069336
2000-08-15,23.126279830932617
2000-08-16,22.6674861907959
2000-08-17,22.99033546447754
2000-08-18,22.83741569519043
2000-08-21,22.497568130493164
2000-08-22,21.81788444519043
2000-08-23,22.208702087402344
2000-08-24,21.851865768432617
2000-08-25,22.242687225341797
2000-08-28,22.038780212402344
2000-08-29,22.15771484375
2000-08-30,22.446596145629883
2000-08-31,22.68873405456543
2000-09-01,22.633512496948242
2000-09-05,22.276662826538086
2000-09-06,22.2257022857666
2000-09-07,21.749914169311523
2000-09-08,21.91982650756836
2000-09-11,21.91982650756836
2000-09-12,22.395612716674805
2000-09-13,22.15771484375
2000-09-14,22.191701889038086
2000-09-15,21.749914169311523
2000-09-18,20.815345764160156
2000-09-19,21.08721923828125
2000-09-20,20.4415225982666
2000-09-21,21.00226402282715
2000-09-22,20.93429946899414
2000-09-25,20.645416259765625
2000-09-26,19.82451629638672
2000-09-27,19.07513427734375
2000-09-28,20.216236114501953
2000-09-29,19.875608444213867
2000-10-02,20.062957763671875
2000-10-03,20.556867599487305
2000-10-04,20.556867599487305
2000-10-05,20.199201583862305
2000-10-06,19.80748176574707
2000-10-09,20.131074905395508
2000-10-10,20.556867599487305
2000-10-11,20.199201583862305
2000-10-12,20.18216896057129
2000-10-13,20.352489471435547
2000-10-16,20.6931095123291
2000-10-17,19.875608444213867
2000-10-18,20.062957763671875
2000-10-19,21.578744888305664
2000-10-20,22.038593292236328
2000-10-23,21.834217071533203
2000-10-24,23.230772018432617
2000-10-25,23.17969512939453
2000-10-26,23.418132781982422
2000-10-27,23.80985450744629
2000-10-30,24.44001007080078
2000-10-31,25.138301849365234
2000-11-01,24.61034393310547
2000-11-02,24.08234977722168
2000-11-03,23.89501190185547
2000-11-06,24.252660751342773
2000-11-07,23.418132781982422
2000-11-08,22.90719223022461
2000-11-09,21.91938018798828
2000-11-10,22.123750686645508
2000-11-13,21.783119201660156
2000-11-14,21.834217071533203
2000-11-15,22.038593292236328
2000-11-16,21.766090393066406
2000-11-17,21.91938018798828
2000-11-20,22.63469123840332
2000-11-21,21.340309143066406
2000-11-22,21.578744888305664
2000-11-24,22.021564483642578
2000-11-27,21.80015754699707
2000-11-28,22.089683532714844
2000-11-29,22.021564483642578
2000-11-30,21.42545509338379
2000-12-01,21.817188262939453
2000-12-04,23.196718215942383
2000-12-05,24.405935287475586
2000-12-06,24.252660751342773
2000-12-07,23.98016357421875
2000-12-08,23.96314239501953
2000-12-11,23.89501190185547
2000-12-12,23.69063377380371
2000-12-13,23.452199935913086
