Date,TRV
2000-01-03,17.324275970458984
2000-01-04,17.09459686279297
2000-01-05,16.963363647460938
2000-01-06,17.29146385192871
2000-01-07,17.980504989624023
2000-01-10,17.65239143371582
2000-01-11,17.455514907836914
2000-01-12,17.48833656311035
2000-01-13,17.849252700805664
2000-01-14,17.849252700805664
2000-01-18,17.193025588989258
2000-01-19,17.225847244262695
2000-01-20,17.12741470336914
2000-01-21,16.536806106567383
2000-01-24,16.864919662475586
2000-01-25,16.471189498901367
2000-01-26,16.99616241455078
2000-01-27,16.044635772705078
2000-01-28,15.749346733093262
2000-01-31,15.84777545928955
2000-02-01,15.388421058654785
2000-02-02,14.633764266967773
2000-02-03,13.977538108825684
2000-02-04,14.04316520690918
2000-02-07,13.977538108825684
2000-02-08,13.813486099243164
2000-02-09,13.354125022888184
2000-02-10,12.861967086791992
2000-02-11,12.796337127685547
2000-02-14,12.730716705322266
2000-02-15,12.763532638549805
2000-02-16,12.861967086791992
2000-02-17,12.927584648132324
2000-02-18,12.402608871459961
2000-02-22,12.533857345581055
2000-02-23,12.468223571777344
2000-02-24,11.943253517150879
2000-02-25,12.008869171142578
2000-02-28,12.1072998046875
2000-02-29,11.746386528015137
2000-03-01,11.844817161560059
2000-03-02,11.877628326416016
2000-03-03,11.844817161560059
2000-03-06,11.779195785522461
2000-03-07,11.582327842712402
2000-03-08,11.4182710647583
2000-03-09,11.943253517150879
2000-03-10,12.074495315551758
2000-03-13,11.812006950378418
2000-03-14,11.71357250213623
2000-03-15,12.533857345581055
2000-03-16,14.272839546203613
2000-03-17,13.977538108825684
2000-03-20,13.813486099243164
2000-03-21,14.469708442687988
2000-03-22,14.371273040771484
2000-03-23,14.83063793182373
2000-03-24,15.486849784851074
2000-03-27,15.486849784851074
2000-03-28,15.749346733093262
2000-03-29,15.859264373779297
2000-03-30,17.282957077026367
2000-03-31,18.07757568359375
2000-04-03,18.011356353759766
2000-04-04,17.48161506652832
2000-04-05,17.316076278686523
2000-04-06,17.084299087524414
2000-04-07,16.885643005371094
2000-04-10,17.018083572387695
2000-04-11,17.117414474487305
2000-04-12,17.21673583984375
2000-04-13,17.41539192199707
2000-04-14,15.892377853393555
2000-04-17,15.925485610961914
2000-04-18,16.35589599609375
2000-04-19,15.826155662536621
2000-04-20,16.256572723388672
2000-04-24,16.488338470458984
2000-04-25,17.48161506652832
2000-04-26,17.34917449951172
2000-04-27,17.614046096801758
2000-04-28,18.8721923828125
2000-05-01,18.673542022705078
2000-05-02,18.772869110107422
2000-05-03,17.81270408630371
2000-05-04,17.945144653320312
2000-05-05,17.845806121826172
2000-05-08,17.912031173706055
2000-05-09,18.011356353759766
2000-05-10,18.143795013427734
2000-05-11,18.673542022705078
2000-05-12,18.80597496032715
2000-05-15,19.633699417114258
2000-05-16,19.99789810180664
2000-05-17,19.468158721923828
2000-05-18,19.699928283691406
2000-05-19,19.26950454711914
2000-05-22,19.93169593811035
2000-05-23,20.031017303466797
2000-05-24,20.395214080810547
2000-05-25,20.064119338989258
2000-05-26,19.666812896728516
2000-05-30,20.031017303466797
2000-05-31,19.865474700927734
2000-06-01,20.329004287719727
2000-06-02,20.759414672851562
2000-06-05,20.52764892578125
2000-06-06,20.4614315032959
2000-06-07,20.59386444091797
2000-06-08,20.064119338989258
2000-06-09,20.295881271362305
2000-06-12,19.81580352783203
2000-06-13,20.097225189208984
2000-06-14,19.865474700927734
2000-06-15,19.99789810180664
2000-06-16,19.832365036010742
2000-06-19,20.097225189208984
2000-06-20,18.739761352539062
2000-06-21,18.507999420166016
2000-06-22,18.110685348510742
2000-06-23,18.541099548339844
2000-06-26,18.507999420166016
2000-06-27,18.574207305908203
2000-06-28,19.0019588470459
2000-06-29,19.419038772583008
2000-06-30,18.217866897583008
2000-07-03,18.484792709350586
2000-07-05,19.085372924804688
2000-07-06,18.985292434692383
2000-07-07,19.485769271850586
2000-07-10,19.552513122558594
2000-07-11,19.85280990600586
2000-07-12,20.686946868896484
2000-07-13,19.919523239135742
2000-07-14,19.986270904541016
2000-07-17,19.986270904541016
2000-07-18,20.253183364868164
2000-07-19,19.95290184020996
2000-07-20,20.15309715270996
2000-07-21,19.986270904541016
2000-07-24,20.01963996887207
2000-07-25,21.421003341674805
2000-07-26,22.70560073852539
2000-07-27,23.82335090637207
2000-07-28,23.890094757080078
2000-07-31,23.723262786865234
2000-08-01,23.623157501220703
2000-08-02,23.523067474365234
2000-08-03,24.056928634643555
2000-08-04,25.224740982055664
2000-08-07,25.758590698242188
2000-08-08,25.825321197509766
2000-08-09,25.358192443847656
2000-08-10,25.258098602294922
2000-08-11,25.491653442382812
