Date,AIG
2000-01-03,811.7139892578125
2000-01-04,770.2249755859375
2000-01-05,772.0554809570312
2000-01-06,795.6063842773438
2000-01-07,855.1546630859375
2000-01-10,840.0233154296875
2000-01-11,826.3566284179688
2000-01-12,851.2498168945312
2000-01-13,874.6790771484375
2000-01-14,890.7864379882812
2000-01-18,846.3690185546875
2000-01-19,829.7734375
2000-01-20,822.6959838867188
2000-01-21,811.7139892578125
2000-01-24,793.1655883789062
2000-01-25,803.904052734375
2000-01-26,823.9164428710938
2000-01-27,821.9641723632812
2000-01-28,796.5822143554688
2000-01-31,815.1302490234375
2000-02-01,799.5111694335938
2000-02-02,799.0227661132812
2000-02-03,791.2134399414062
2000-02-04,786.8204956054688
2000-02-07,762.4155883789062
2000-02-08,749.2365112304688
2000-02-09,759.9747314453125
2000-02-10,736.5460205078125
2000-02-11,740.4506225585938
2000-02-14,731.6651000976562
2000-02-15,753.1414184570312
2000-02-16,734.1052856445312
2000-02-17,723.3671875
2000-02-18,698.4736328125
2000-02-22,677.48583984375
2000-02-23,667.7235717773438
2000-02-24,649.1757202148438
2000-02-25,653.0803833007812
2000-02-28,680.9022216796875
2000-02-29,690.6642456054688
2000-03-01,699.8458862304688
2000-03-02,679.8223266601562
2000-03-03,682.7522583007812
2000-03-06,662.2406616210938
2000-03-07,636.35693359375
2000-03-08,648.5659790039062
2000-03-09,648.0778198242188
2000-03-10,648.5659790039062
2000-03-13,673.9618530273438
2000-03-14,670.054931640625
2000-03-15,714.4969482421875
2000-03-16,780.9166259765625
2000-03-17,760.892822265625
2000-03-20,773.5910034179688
2000-03-21,785.3119506835938
2000-03-22,777.4979248046875
2000-03-23,815.1032104492188
2000-03-24,840.9873046875
2000-03-27,813.6377563476562
2000-03-28,815.1032104492188
2000-03-29,831.7077026367188
2000-03-30,849.2891845703125
2000-03-31,855.6383056640625
2000-04-03,919.12744140625
2000-04-04,897.6388549804688
2000-04-05,858.5686645507812
2000-04-06,868.8246459960938
2000-04-07,849.7778930664062
2000-04-10,883.96435546875
2000-04-11,905.941650390625
2000-04-12,903.4993286132812
2000-04-13,885.9180297851562
2000-04-14,842.940673828125
2000-04-17,794.1030883789062
2000-04-18,821.9405517578125
2000-04-19,820.4751586914062
2000-04-20,846.8478393554688
2000-04-24,874.1968994140625
2000-04-25,898.6158447265625
2000-04-26,890.8016357421875
2000-04-27,863.9404296875
2000-04-28,857.1035766601562
2000-05-01,860.0338745117188
2000-05-02,875.17333984375
2000-05-03,856.126708984375
2000-05-04,859.545654296875
2000-05-05,871.7545776367188
2000-05-08,903.0111083984375
2000-05-09,890.8016357421875
2000-05-10,893.2435913085938
2000-05-11,902.0343627929688
2000-05-12,897.88330078125
2000-05-15,941.1043701171875
2000-05-16,958.6859130859375
2000-05-17,923.0344848632812
2000-05-18,926.941650390625
2000-05-19,909.3602294921875
2000-05-22,934.7559814453125
2000-05-23,887.3827514648438
2000-05-24,898.6158447265625
2000-05-25,895.6853637695312
2000-05-26,887.3827514648438
2000-05-30,889.3362426757812
2000-05-31,879.9554443359375
2000-06-01,916.5997924804688
2000-06-02,927.3489990234375
2000-06-05,904.8739624023438
2000-06-06,911.7138671875
2000-06-07,934.189697265625
2000-06-08,935.1668701171875
2000-06-09,919.04345703125
2000-06-12,934.4337768554688
2000-06-13,956.176025390625
2000-06-14,949.8242797851562
2000-06-15,963.5048217773438
2000-06-16,922.4629516601562
2000-06-19,919.531494140625
2000-06-20,899.4992065429688
2000-06-21,905.3621215820312
2000-06-22,901.4537353515625
2000-06-23,920.0202026367188
2000-06-26,919.531494140625
2000-06-27,933.212158203125
2000-06-28,942.86181640625
2000-06-29,956.6644897460938
2000-06-30,918.5545043945312
2000-07-03,926.3717651367188
2000-07-05,942.984619140625
2000-07-06,935.655029296875
2000-07-07,951.7789916992188
2000-07-10,950.3126831054688
2000-07-11,949.335205078125
2000-07-12,948.8472900390625
2000-07-13,940.05224609375
2000-07-14,937.1212158203125
2000-07-17,933.212158203125
2000-07-18,931.746337890625
2000-07-19,932.2350463867188
2000-07-20,952.755859375
2000-07-21,923.9288940429688
2000-07-24,932.2350463867188
2000-07-25,967.4138793945312
2000-07-26,976.2083740234375
2000-07-27,1014.318603515625
2000-07-28,1003.0811767578125
2000-07-31,1028.243896484375
2000-08-01,1031.9080810546875
2000-08-02,1005.5238037109375
2000-08-03,1014.318603515625
2000-08-04,1039.23681640625
2000-08-07,1043.634033203125
2000-08-08,1043.634033203125
2000-08-09,1028.976318359375
2000-08-10,1012.1198120117188
