Date,LIN
2000-01-03,15.540034294128418
2000-01-04,15.267060279846191
2000-01-05,15.540034294128418
2000-01-06,16.690427780151367
2000-01-07,16.709918975830078
2000-01-10,16.72943115234375
2000-01-11,17.002397537231445
2000-01-12,16.709918975830078
2000-01-13,16.475950241088867
2000-01-14,16.67091941833496
2000-01-18,15.94949722290039
2000-01-19,15.345052719116211
2000-01-20,14.779603958129883
2000-01-21,14.623625755310059
2000-01-24,15.208566665649414
2000-01-25,13.707202911376953
2000-01-26,13.39523696899414
2000-01-27,13.64871597290039
2000-01-28,12.732301712036133
2000-01-31,12.712800979614258
2000-02-01,12.790794372558594
2000-02-02,12.166849136352539
2000-02-03,12.634808540344238
2000-02-04,12.907783508300781
2000-02-07,13.102762222290039
2000-02-08,12.693304061889648
2000-02-09,12.28384017944336
2000-02-10,11.991374969482422
2000-02-11,11.73788833618164
2000-02-14,12.108352661132812
2000-02-15,12.556817054748535
2000-02-16,12.810297012329102
2000-02-17,12.751798629760742
2000-02-18,12.361837387084961
2000-02-22,12.322840690612793
2000-02-23,11.971866607666016
2000-02-24,11.211441993713379
2000-02-25,11.074952125549316
2000-02-28,11.016454696655273
2000-02-29,10.529006958007812
2000-03-01,10.3925199508667
2000-03-02,10.19753646850586
2000-03-03,10.696714401245117
2000-03-06,10.618350982666016
2000-03-07,10.050215721130371
2000-03-08,10.06980037689209
2000-03-09,9.971845626831055
2000-03-10,10.50080394744873
2000-03-13,10.46162223815918
2000-03-14,10.539986610412598
2000-03-15,11.67626953125
2000-03-16,12.557869911193848
2000-03-17,11.597909927368164
2000-03-20,11.911360740661621
2000-03-21,12.205227851867676
2000-03-22,11.79382038116455
2000-03-23,11.832998275756836
2000-03-24,12.166045188903809
2000-03-27,11.970137596130371
2000-03-28,12.146458625793457
2000-03-29,12.479510307312012
2000-03-30,12.98886775970459
2000-03-31,13.047645568847656
2000-04-03,13.067235946655273
2000-04-04,13.126021385192871
2000-04-05,12.85173225402832
2000-04-06,13.145597457885742
2000-04-07,12.969284057617188
2000-04-10,13.00845718383789
2000-04-11,13.968422889709473
2000-04-12,13.890056610107422
2000-04-13,13.439467430114746
2000-04-14,12.499095916748047
2000-04-17,12.518686294555664
2000-04-18,11.930953979492188
2000-04-19,12.068087577819824
2000-04-20,13.184783935546875
2000-04-24,13.22396183013916
2000-04-25,13.40027904510498
2000-04-26,13.635372161865234
2000-04-27,13.67455768585205
2000-04-28,13.929247856140137
2000-05-01,14.105562210083008
2000-05-02,14.654114723205566
2000-05-03,14.379836082458496
2000-05-04,14.262287139892578
2000-05-05,14.458206176757812
2000-05-08,14.321064949035645
2000-05-09,14.183926582336426
2000-05-10,13.850876808166504
2000-05-11,14.223109245300293
2000-05-12,14.085970878601074
2000-05-15,14.419017791748047
2000-05-16,14.262287139892578
2000-05-17,14.105562210083008
2000-05-18,14.262287139892578
2000-05-19,14.379836082458496
2000-05-22,14.575746536254883
2000-05-23,15.026334762573242
2000-05-24,14.791248321533203
2000-05-25,13.948832511901855
2000-05-26,13.184783935546875
2000-05-30,13.126021385192871
2000-05-31,13.16519546508789
2000-06-01,12.98886775970459
2000-06-02,12.812553405761719
2000-06-05,12.802327156066895
2000-06-06,12.743328094482422
2000-06-07,12.507343292236328
2000-06-08,12.409016609191895
2000-06-09,12.487675666809082
2000-06-12,12.428678512573242
2000-06-13,12.035368919372559
2000-06-14,12.369688034057617
2000-06-15,12.133695602416992
2000-06-16,12.133695602416992
2000-06-19,11.819042205810547
2000-06-20,12.035368919372559
2000-06-21,11.701042175292969
2000-06-22,11.740379333496094
2000-06-23,11.661713600158691
2000-06-26,11.50439167022705
2000-06-27,12.232024192810059
2000-06-28,12.143528938293457
2000-06-29,11.701042175292969
2000-06-30,11.779708862304688
2000-07-03,12.094367027282715
2000-07-05,12.074692726135254
2000-07-06,11.68138599395752
2000-07-07,11.484724044799805
2000-07-10,11.642056465148926
2000-07-11,11.878040313720703
2000-07-12,12.094367027282715
2000-07-13,12.369688034057617
2000-07-14,12.310689926147461
2000-07-17,12.133695602416992
2000-07-18,12.114022254943848
2000-07-19,12.153364181518555
2000-07-20,12.389347076416016
2000-07-21,12.507343292236328
2000-07-24,11.976370811462402
2000-07-25,12.074692726135254
2000-07-26,12.25168514251709
2000-07-27,12.33034896850586
2000-07-28,12.173026084899902
2000-07-31,12.448341369628906
2000-08-01,12.389347076416016
2000-08-02,12.369688034057617
2000-08-03,12.428678512573242
2000-08-04,12.487675666809082
2000-08-07,13.254630088806152
2000-08-08,13.549619674682617
2000-08-09,13.31363296508789
2000-08-10,13.175983428955078
2000-08-11,13.52995491027832
2000-08-14,13.785608291625977
2000-08-15,13.82493782043457
2000-08-16,14.041261672973633
2000-08-17,13.844602584838867
2000-08-18,13.687273979187012
2000-08-21,13.726612091064453
2000-08-22,14.041261672973633
2000-08-23,13.746274948120117
2000-08-24,13.746274948120117
2000-08-25,13.844602584838867
2000-08-28,13.844602584838867
2000-08-29,13.90359878540039
2000-08-30,13.628281593322754
2000-08-31,13.92818546295166
2000-09-01,13.923270225524902
2000-09-05,13.88393783569336
