Date,RSG
2000-01-03,5.907060146331787
2000-01-04,5.541135787963867
2000-01-05,5.436585426330566
2000-01-06,5.4104485511779785
2000-01-07,5.697961330413818
2000-01-10,5.724100112915039
2000-01-11,5.593411922454834
2000-01-12,5.61954927444458
2000-01-13,5.645686149597168
2000-01-14,5.61954927444458
2000-01-18,5.541135787963867
2000-01-19,5.436585426330566
2000-01-20,5.436585426330566
2000-01-21,5.436585426330566
2000-01-24,5.3059000968933105
2000-01-25,5.227487087249756
2000-01-26,4.9661149978637695
2000-01-27,5.018387794494629
2000-01-28,4.913836479187012
2000-01-31,4.913836479187012
2000-02-01,4.652463436126709
2000-02-02,4.678601264953613
2000-02-03,4.52177619934082
2000-02-04,4.809289932250977
2000-02-07,4.757014751434326
2000-02-08,4.730875492095947
2000-02-09,4.600186347961426
2000-02-10,4.338814735412598
2000-02-11,4.208128929138184
2000-02-14,4.3649516105651855
2000-02-15,4.574051380157471
2000-02-16,4.574051380157471
2000-02-17,4.809289932250977
2000-02-18,4.547915935516357
2000-02-22,4.730875492095947
2000-02-23,4.835423946380615
2000-02-24,4.730875492095947
2000-02-25,4.730875492095947
2000-02-28,4.469502925872803
2000-02-29,4.495639324188232
2000-03-01,4.443365573883057
2000-03-02,4.3649516105651855
2000-03-03,4.495639324188232
2000-03-06,4.443365573883057
2000-03-07,4.312677383422852
2000-03-08,4.338814735412598
2000-03-09,4.652463436126709
2000-03-10,4.574051380157471
2000-03-13,4.652463436126709
2000-03-14,4.338814735412598
2000-03-15,4.2865400314331055
2000-03-16,4.391091823577881
2000-03-17,4.3649516105651855
2000-03-20,4.495639324188232
2000-03-21,4.338814735412598
2000-03-22,4.417228698730469
2000-03-23,4.52177619934082
2000-03-24,4.312677383422852
2000-03-27,4.574051380157471
2000-03-28,4.547915935516357
2000-03-29,4.443365573883057
2000-03-30,4.443365573883057
2000-03-31,4.574051380157471
2000-04-03,4.992251873016357
2000-04-04,4.861566066741943
2000-04-05,4.887702465057373
2000-04-06,5.201351165771484
2000-04-07,5.4104485511779785
2000-04-10,5.4104485511779785
2000-04-11,5.332038879394531
2000-04-12,5.149075031280518
2000-04-13,5.227487087249756
2000-04-14,5.096801280975342
2000-04-17,5.201351165771484
2000-04-18,5.253626346588135
2000-04-19,5.122937202453613
2000-04-20,5.201351165771484
2000-04-24,5.279761791229248
2000-04-25,5.3059000968933105
2000-04-26,5.4627227783203125
2000-04-27,5.541135787963867
2000-04-28,5.724100112915039
2000-05-01,5.854783058166504
2000-05-02,5.854783058166504
2000-05-03,5.671823978424072
2000-05-04,5.724100112915039
2000-05-05,5.854783058166504
2000-05-08,5.802514553070068
2000-05-09,5.802514553070068
2000-05-10,5.854783058166504
2000-05-11,6.7957353591918945
2000-05-12,6.821870803833008
2000-05-15,6.7957353591918945
2000-05-16,6.638910293579102
2000-05-17,6.769598484039307
2000-05-18,6.560494899749756
2000-05-19,6.377537250518799
2000-05-22,6.246846675872803
2000-05-23,6.090020179748535
2000-05-24,6.142300605773926
2000-05-25,6.560494899749756
2000-05-26,6.9002838134765625
2000-05-30,6.978695392608643
2000-05-31,6.9002838134765625
2000-06-01,6.717320442199707
2000-06-02,6.717320442199707
2000-06-05,6.377537250518799
2000-06-06,6.090020179748535
2000-06-07,5.959335803985596
2000-06-08,6.063887119293213
2000-06-09,6.194572448730469
2000-06-12,6.168435096740723
2000-06-13,5.828648090362549
2000-06-14,5.933196544647217
2000-06-15,6.011611461639404
2000-06-16,5.880922317504883
2000-06-19,6.011611461639404
2000-06-20,5.9854736328125
2000-06-21,6.011611461639404
2000-06-22,5.880922317504883
2000-06-23,5.854783058166504
2000-06-26,5.959335803985596
2000-06-27,5.933196544647217
2000-06-28,6.011611461639404
2000-06-29,6.6127705574035645
2000-06-30,6.651978015899658
2000-07-03,6.743456840515137
2000-07-05,6.6911821365356445
2000-07-06,6.717320442199707
2000-07-07,6.874149799346924
2000-07-10,6.586633205413818
2000-07-11,6.482083320617676
2000-07-12,6.874149799346924
2000-07-13,6.7957353591918945
2000-07-14,6.926419258117676
2000-07-17,7.004830837249756
2000-07-18,7.135522365570068
2000-07-19,6.6911821365356445
2000-07-20,6.665043830871582
2000-07-21,6.821870803833008
2000-07-24,6.638910293579102
2000-07-25,7.004830837249756
2000-07-26,7.16165828704834
2000-07-27,6.9002838134765625
2000-07-28,7.004830837249756
