Date,RMD
2000-01-03,4.223603248596191
2000-01-04,4.204229354858398
2000-01-05,4.204229354858398
2000-01-06,4.21068811416626
2000-01-07,4.223603248596191
2000-01-10,4.275266647338867
2000-01-11,4.301100730895996
2000-01-12,4.223603248596191
2000-01-13,4.48192834854126
2000-01-14,4.385055065155029
2000-01-18,4.636921405792236
2000-01-19,4.740253925323486
2000-01-20,4.998575687408447
2000-01-21,5.631471157073975
2000-01-24,5.670221328735352
2000-01-25,5.160029888153076
2000-01-26,4.94691276550293
2000-01-27,4.62400484085083
2000-01-28,4.546509265899658
2000-01-31,4.443178653717041
2000-02-01,4.585259437561035
2000-02-02,4.417346954345703
2000-02-03,5.276276111602783
2000-02-04,5.637928485870361
2000-02-07,5.734801769256592
2000-02-08,5.786464691162109
2000-02-09,6.051248073577881
2000-02-10,6.303116321563721
2000-02-11,5.94146203994751
2000-02-14,5.960834980010986
2000-02-15,5.851049423217773
2000-02-16,5.844589710235596
2000-02-17,5.8768792152404785
2000-02-18,5.915627479553223
2000-02-22,6.135203838348389
2000-02-23,6.167494773864746
2000-02-24,7.091002464294434
2000-02-25,7.0393385887146
2000-02-28,7.646402835845947
2000-02-29,7.710981845855713
2000-03-01,8.169507026672363
2000-03-02,8.111385345458984
2000-03-03,8.020970344543457
2000-03-06,8.15658950805664
2000-03-07,7.975765228271484
2000-03-08,7.9693098068237305
2000-03-09,8.16304874420166
2000-03-10,7.775564193725586
2000-03-13,7.517240047454834
2000-03-14,6.199787616729736
2000-03-15,6.8714280128479
2000-03-16,7.5947346687316895
2000-03-17,7.543071746826172
2000-03-20,7.517240047454834
2000-03-21,7.633484363555908
2000-03-22,8.188880920410156
2000-03-23,8.16304874420166
2000-03-24,7.342870235443115
2000-03-27,7.026421070098877
2000-03-28,7.5107808113098145
2000-03-29,7.129751682281494
2000-03-30,7.187875747680664
2000-03-31,7.3751630783081055
2000-04-03,7.620571136474609
2000-04-04,6.535606384277344
2000-04-05,7.233082294464111
2000-04-06,6.8972601890563965
2000-04-07,7.065174102783203
2000-04-10,7.530153751373291
2000-04-11,6.8714280128479
2000-04-12,6.664769172668457
2000-04-13,6.018958568572998
2000-04-14,6.096455097198486
2000-04-17,6.0835394859313965
2000-04-18,7.103919982910156
2000-04-19,6.8714280128479
2000-04-20,6.574355125427246
2000-04-24,5.579807281494141
2000-04-25,6.29019832611084
2000-04-26,7.00059175491333
2000-04-27,7.00059175491333
2000-04-28,7.026421070098877
2000-05-01,7.865975379943848
2000-05-02,7.439741611480713
2000-05-03,5.760634422302246
2000-05-04,5.760634422302246
2000-05-05,5.94146203994751
2000-05-08,5.863964080810547
2000-05-09,5.734801769256592
2000-05-10,5.476475715637207
2000-05-11,5.1664862632751465
2000-05-12,4.985660552978516
2000-05-15,5.398979187011719
2000-05-16,5.101905822753906
2000-05-17,5.1664862632751465
2000-05-18,5.1664862632751465
2000-05-19,5.1664862632751465
2000-05-22,4.959827423095703
2000-05-23,4.908164024353027
2000-05-24,4.740253925323486
2000-05-25,4.572340488433838
2000-05-26,4.546509265899658
2000-05-30,4.933996200561523
2000-05-31,4.959827423095703
2000-06-01,5.037325382232666
2000-06-02,5.231068134307861
2000-06-05,5.553973197937012
2000-06-06,5.708969593048096
2000-06-07,5.4506449699401855
2000-06-08,5.360230445861816
2000-06-09,5.411894798278809
2000-06-12,5.256899833679199
2000-06-13,5.605639457702637
2000-06-14,6.199787616729736
2000-06-15,6.316030502319336
2000-06-16,5.993124961853027
2000-06-19,6.251447677612305
2000-06-20,6.316030502319336
2000-06-21,6.1868696212768555
2000-06-22,6.031874656677246
2000-06-23,4.959827423095703
2000-06-26,5.30856466293335
2000-06-27,5.502309799194336
2000-06-28,5.657303333282471
2000-06-29,5.528143882751465
2000-06-30,5.528143882751465
2000-07-03,5.347315788269043
2000-07-05,5.4506449699401855
2000-07-06,5.489394187927246
2000-07-07,5.489394187927246
2000-07-10,5.4506449699401855
2000-07-11,5.088989734649658
2000-07-12,5.192319869995117
2000-07-13,5.334397792816162
2000-07-14,5.424811363220215
2000-07-17,5.760634422302246
2000-07-18,5.8768792152404785
2000-07-19,5.708969593048096
2000-07-20,5.592723369598389
2000-07-21,5.489394187927246
2000-07-24,5.528143882751465
2000-07-25,5.812297344207764
2000-07-26,5.993124961853027
2000-07-27,5.928543567657471
2000-07-28,5.786464691162109
2000-07-31,5.734801769256592
2000-08-01,5.980209827423096
2000-08-02,6.328947067260742
2000-08-03,7.00059175491333
2000-08-04,7.00059175491333
2000-08-07,6.781015396118164
2000-08-08,6.613104820251465
2000-08-09,6.1868696212768555
2000-08-10,6.8714280128479
2000-08-11,7.2201642990112305
2000-08-14,6.987675666809082
