Date,CRH
2000-01-03,9.448494911193848
2000-01-04,9.236172676086426
2000-01-05,9.34233570098877
2000-01-06,9.236172676086426
2000-01-07,9.634282112121582
2000-01-10,9.475040435791016
2000-01-11,10.085474014282227
2000-01-12,9.528119087219238
2000-01-13,9.448494911193848
2000-01-14,9.501579284667969
2000-01-18,9.607744216918945
2000-01-19,9.156546592712402
2000-01-20,8.546112060546875
2000-01-21,8.493032455444336
2000-01-24,8.652276992797852
2000-01-25,8.386869430541992
2000-01-26,8.386869430541992
2000-01-27,8.386869430541992
2000-01-28,8.280709266662598
2000-01-31,8.015299797058105
2000-02-01,8.06838321685791
2000-02-02,8.06838321685791
2000-02-03,8.174543380737305
2000-02-04,8.121461868286133
2000-02-07,8.06838321685791
2000-02-08,7.802973747253418
2000-02-09,7.749889850616455
2000-02-10,7.643728256225586
2000-02-11,7.325239658355713
2000-02-14,7.21907377243042
2000-02-15,7.590646266937256
2000-02-16,7.431403160095215
2000-02-17,7.802973747253418
2000-02-18,7.909135818481445
2000-02-22,7.537564277648926
2000-02-23,7.962215423583984
2000-02-24,7.431403160095215
2000-02-25,7.378321647644043
2000-02-28,7.21907377243042
2000-02-29,7.431403160095215
2000-03-01,7.378321647644043
2000-03-02,7.5110273361206055
2000-03-03,7.537564277648926
2000-03-06,7.484482288360596
2000-03-07,7.484482288360596
2000-03-08,7.596179008483887
2000-03-09,7.596179008483887
2000-03-10,7.462444305419922
2000-03-13,7.275213718414307
2000-03-14,7.596179008483887
2000-03-15,7.275213718414307
2000-03-16,7.542684555053711
2000-03-17,8.719559669494629
2000-03-20,8.345099449157715
2000-03-21,8.238114356994629
2000-03-22,8.559075355529785
2000-03-23,8.131124496459961
2000-03-24,8.238114356994629
2000-03-27,8.02413272857666
2000-03-28,8.29160213470459
2000-03-29,8.238114356994629
2000-03-30,7.970639228820801
2000-03-31,7.917144298553467
2000-04-03,7.970639228820801
2000-04-04,8.077627182006836
2000-04-05,8.559075355529785
2000-04-06,8.773054122924805
2000-04-07,8.157873153686523
2000-04-10,7.756661415100098
2000-04-11,8.29160213470459
2000-04-12,8.131124496459961
2000-04-13,8.505581855773926
2000-04-14,8.39859390258789
2000-04-17,7.810159206390381
2000-04-18,8.131124496459961
2000-04-19,7.703168869018555
2000-04-20,7.489190101623535
2000-04-24,7.596179008483887
2000-04-25,7.542684555053711
2000-04-26,7.382201671600342
2000-04-27,7.275213718414307
2000-04-28,7.114730358123779
2000-05-01,7.275213718414307
2000-05-02,7.0612382888793945
2000-05-03,6.8205156326293945
2000-05-04,7.489190101623535
2000-05-05,7.489190101623535
2000-05-08,7.382201671600342
2000-05-09,7.275213718414307
2000-05-10,7.596179008483887
2000-05-11,7.622927188873291
2000-05-12,7.649673938751221
2000-05-15,7.917144298553467
2000-05-16,8.02413272857666
2000-05-17,7.810159206390381
2000-05-18,7.729915618896484
2000-05-19,7.729915618896484
2000-05-22,7.970639228820801
2000-05-23,7.703168869018555
2000-05-24,7.703168869018555
2000-05-25,7.703168869018555
2000-05-26,7.703168869018555
2000-05-30,7.863653182983398
2000-05-31,7.596179008483887
2000-06-01,7.328707218170166
2000-06-02,7.917144298553467
2000-06-05,7.810159206390381
2000-06-06,7.8903961181640625
2000-06-07,7.917144298553467
2000-06-08,7.917144298553467
2000-06-09,7.8903961181640625
2000-06-12,7.917144298553467
2000-06-13,7.970639228820801
2000-06-14,7.917144298553467
2000-06-15,7.596179008483887
2000-06-16,7.756661415100098
2000-06-19,7.328707218170166
2000-06-20,7.382201671600342
2000-06-21,7.435698509216309
2000-06-22,7.328707218170166
2000-06-23,7.542684555053711
2000-06-26,7.542684555053711
2000-06-27,7.382201671600342
2000-06-28,7.649673938751221
2000-06-29,7.435698509216309
2000-06-30,7.489190101623535
2000-07-03,7.756661415100098
2000-07-05,7.917144298553467
2000-07-06,7.917144298553467
2000-07-07,7.649673938751221
2000-07-10,7.596179008483887
2000-07-11,7.5694355964660645
2000-07-12,7.596179008483887
2000-07-13,7.729915618896484
2000-07-14,7.596179008483887
2000-07-17,7.5694355964660645
2000-07-18,7.649673938751221
2000-07-19,7.489190101623535
2000-07-20,7.5694355964660645
2000-07-21,7.382201671600342
2000-07-24,7.622927188873291
2000-07-25,7.596179008483887
2000-07-26,7.729915618896484
2000-07-27,7.596179008483887
2000-07-28,7.141478538513184
2000-07-31,7.141478538513184
2000-08-01,7.328707218170166
2000-08-02,7.435698509216309
2000-08-03,7.141478538513184
2000-08-04,7.275213718414307
2000-08-07,7.382201671600342
2000-08-08,7.275213718414307
2000-08-09,7.114730358123779
2000-08-10,7.1682257652282715
2000-08-11,7.034491062164307
2000-08-14,7.0612382888793945
2000-08-15,7.194972038269043
2000-08-16,7.1682257652282715
2000-08-17,7.275213718414307
2000-08-18,7.114730358123779
2000-08-21,7.2217206954956055
2000-08-22,7.382201671600342
2000-08-23,7.328707218170166
2000-08-24,7.462444305419922
2000-08-25,7.489190101623535
2000-08-28,7.489190101623535
2000-08-29,7.489190101623535
2000-08-30,7.388891696929932
2000-08-31,7.382201671600342
2000-09-01,7.328707218170166
2000-09-05,7.114730358123779
2000-09-06,7.114730358123779
2000-09-07,7.034491062164307
2000-09-08,7.0612382888793945
2000-09-11,6.6332831382751465
2000-09-12,6.900752067565918
2000-09-13,6.871978759765625
2000-09-14,6.845136642456055
2000-09-15,6.791447639465332
2000-09-18,6.845136642456055
2000-09-19,6.898821830749512
2000-09-20,6.845136642456055
2000-09-21,6.818291664123535
2000-09-22,6.9793572425842285
2000-09-25,6.925663948059082
2000-09-26,6.871978759765625
2000-09-27,6.710913181304932
2000-09-28,6.9793572425842285
2000-09-29,6.76460599899292
2000-10-02,6.845136642456055
2000-10-03,6.871978759765625
2000-10-04,6.603542327880859
2000-10-05,6.603542327880859
2000-10-06,6.603542327880859
2000-10-09,6.76460599899292
2000-10-10,6.871978759765625
2000-10-11,6.523010730743408
2000-10-12,6.120356559753418
2000-10-13,6.066668510437012
2000-10-16,6.6303863525390625
2000-10-17,6.335105895996094
2000-10-18,6.227730751037598
2000-10-19,6.227730751037598
2000-10-20,5.95929479598999
2000-10-23,5.851920127868652
2000-10-24,5.851920127868652
2000-10-25,6.281419277191162
2000-10-26,6.227730751037598
2000-10-27,6.442481994628906
2000-10-30,6.388794422149658
2000-10-31,6.549854755401611
2000-11-01,6.871978759765625
2000-11-02,6.818291664123535
2000-11-03,6.76460599899292
2000-11-06,6.925663948059082
2000-11-07,6.657228469848633
2000-11-08,6.818291664123535
2000-11-09,6.657228469848633
2000-11-10,6.603542327880859
2000-11-13,6.496163368225098
2000-11-14,6.335105895996094
2000-11-15,6.442481994628906
2000-11-16,6.281419277191162
2000-11-17,6.442481994628906
2000-11-20,6.388794422149658
2000-11-21,6.335105895996094
2000-11-22,6.200885772705078
2000-11-24,5.905606746673584
2000-11-27,5.851920127868652
2000-11-28,6.120356559753418
2000-11-29,6.174043655395508
2000-11-30,6.120356559753418
2000-12-01,6.066668510437012
2000-12-04,6.174043655395508
2000-12-05,6.549854755401611
2000-12-06,6.657228469848633
2000-12-07,6.871978759765625
2000-12-08,6.871978759765625
2000-12-11,7.059884071350098
2000-12-12,7.301474571228027
2000-12-13,7.1672587394714355
2000-12-14,6.871978759765625
2000-12-15,6.871978759765625
2000-12-18,6.871978759765625
2000-12-19,7.462540149688721
2000-12-20,7.569912910461426
2000-12-21,7.623600482940674
2000-12-22,7.5162248611450195
2000-12-26,7.623600482940674
2000-12-27,7.623600482940674
2000-12-28,7.677287578582764
2000-12-29,7.730975151062012
2001-01-02,7.94572639465332
2001-01-03,7.730975151062012
2001-01-04,8.16047477722168
2001-01-05,8.428912162780762
2001-01-08,8.214165687561035
2001-01-09,8.267851829528809
2001-01-10,8.133630752563477
2001-01-11,8.187322616577148
2001-01-12,8.053098678588867
