Date,SYF
2014-07-31,18.204959869384766
2014-08-01,18.204959869384766
2014-08-04,18.204959869384766
2014-08-05,18.204959869384766
2014-08-06,18.189119338989258
2014-08-07,18.149551391601562
2014-08-08,18.165376663208008
2014-08-11,18.149551391601562
2014-08-12,18.204959869384766
2014-08-13,18.347421646118164
2014-08-14,18.212871551513672
2014-08-15,18.204959869384766
2014-08-18,18.339515686035156
2014-08-19,19.320999145507812
2014-08-20,19.938385009765625
2014-08-21,20.0966854095459
2014-08-22,20.072938919067383
2014-08-25,19.882976531982422
2014-08-26,19.827571868896484
2014-08-27,20.16000747680664
2014-08-28,20.33414077758789
2014-08-29,20.413293838500977
2014-09-02,20.413293838500977
2014-09-03,20.413293838500977
2014-09-04,20.342056274414062
2014-09-05,20.3974666595459
2014-09-08,19.66135025024414
2014-09-09,19.81964874267578
2014-09-10,19.550540924072266
2014-09-11,19.51096534729004
2014-09-12,19.39223289489746
2014-09-15,19.11520004272461
2014-09-16,19.24184799194336
2014-09-17,19.43181037902832
2014-09-18,19.52678871154785
2014-09-19,20.112518310546875
2014-09-22,19.66135025024414
2014-09-23,19.45555877685547
2014-09-24,19.72467041015625
2014-09-25,19.495132446289062
2014-09-26,19.605945587158203
2014-09-29,19.550540924072266
2014-09-30,19.43181037902832
2014-10-01,19.170610427856445
2014-10-02,19.45555877685547
2014-10-03,19.6534366607666
2014-10-06,19.787996292114258
2014-10-07,19.669261932373047
2014-10-08,19.803821563720703
2014-10-09,19.43181037902832
2014-10-10,19.154781341552734
2014-10-13,19.360570907592773
2014-10-14,19.669261932373047
2014-10-15,19.40806770324707
2014-10-16,19.47138214111328
2014-10-17,19.613859176635742
2014-10-20,19.558454513549805
2014-10-21,19.92255210876465
2014-10-22,20.088764190673828
2014-10-23,20.429128646850586
2014-10-24,20.66658592224121
2014-10-27,20.9990177154541
2014-10-28,21.252304077148438
2014-10-29,21.37104034423828
2014-10-30,21.204816818237305
2014-10-31,21.38686180114746
2014-11-03,21.640151977539062
2014-11-04,21.378952026367188
2014-11-05,21.7430477142334
2014-11-06,21.83011245727539
2014-11-07,22.281286239624023
2014-11-10,22.772022247314453
2014-11-11,23.0411434173584
2014-11-12,22.97781753540039
2014-11-13,22.9461612701416
2014-11-14,22.9936466217041
2014-11-17,23.05696678161621
2014-11-18,22.914499282836914
2014-11-19,22.906587600708008
2014-11-20,23.144031524658203
2014-11-21,23.08863067626953
2014-11-24,22.930328369140625
2014-11-25,22.684961318969727
2014-11-26,22.795766830444336
2014-11-28,22.96198844909668
2014-12-01,22.85909080505371
2014-12-02,22.9936466217041
2014-12-03,22.954072952270508
2014-12-04,23.072797775268555
2014-12-05,23.151954650878906
2014-12-08,23.357746124267578
2014-12-09,23.365659713745117
