Date,CRM
2004-06-23,4.2377824783325195
2004-06-24,4.129373550415039
2004-06-25,3.8928463459014893
2004-06-28,3.9421234130859375
2004-06-29,4.040676593780518
2004-06-30,3.9593698978424072
2004-07-01,3.949514627456665
2004-07-02,4.183577537536621
2004-07-06,4.188506603240967
2004-07-07,4.0185017585754395
2004-07-08,3.878063440322876
2004-07-09,4.040676593780518
2004-07-12,4.1269097328186035
2004-07-13,3.961833953857422
2004-07-14,3.855888843536377
2004-07-15,3.779510498046875
2004-07-16,3.9421234130859375
2004-07-19,3.944587230682373
2004-07-20,3.9569060802459717
2004-07-21,2.8826773166656494
2004-07-22,3.198047399520874
2004-07-23,3.2128305435180664
2004-07-26,3.2719624042510986
2004-07-27,3.2374684810638428
2004-07-28,3.2005107402801514
2004-07-29,3.193120002746582
2004-07-30,3.2054390907287598
2004-08-02,3.156162738800049
2004-08-03,2.9886224269866943
2004-08-04,2.951664924621582
2004-08-05,2.6855714321136475
2004-08-06,2.6535418033599854
2004-08-09,2.7077457904815674
2004-08-10,2.710209846496582
2004-08-11,2.616584300994873
2004-08-12,2.461362838745117
2004-08-13,2.362809896469116
2004-08-16,2.3948402404785156
2004-08-17,2.7028183937072754
2004-08-18,2.944272994995117
2004-08-19,2.9984774589538574
2004-08-20,3.104421854019165
2004-08-23,3.0797836780548096
2004-08-24,3.1463074684143066
2004-08-25,3.193120002746582
2004-08-26,3.1783366203308105
2004-08-27,3.2399325370788574
2004-08-30,3.2448601722717285
2004-08-31,3.202974796295166
2004-09-01,3.2842812538146973
2004-09-02,3.422255754470825
2004-09-03,3.3877620697021484
2004-09-07,3.308919668197632
2004-09-08,3.2621066570281982
2004-09-09,3.2448601722717285
2004-09-10,3.510953426361084
2004-09-13,3.7450168132781982
2004-09-14,3.9199485778808594
2004-09-15,4.025892734527588
2004-09-16,4.006182670593262
2004-09-17,3.8608169555664062
2004-09-20,3.944587230682373
2004-09-21,4.030820846557617
2004-09-22,3.9593698978424072
2004-09-23,3.8706722259521484
2004-09-24,3.951978921890259
2004-09-27,3.8411061763763428
2004-09-28,3.695740222930908
2004-09-29,3.8805274963378906
2004-09-30,3.850961685180664
2004-10-01,4.102272033691406
2004-10-04,4.156476974487305
2004-10-05,4.163867473602295
2004-10-06,4.250101089477539
2004-10-07,4.558079719543457
2004-10-08,4.3412628173828125
2004-10-11,4.479238033294678
2004-10-12,4.530978202819824
2004-10-13,4.558079719543457
2004-10-14,4.432425498962402
2004-10-15,4.429961204528809
2004-10-18,4.506340980529785
2004-10-19,4.491556167602539
2004-10-20,4.471846580505371
2004-10-21,4.533441543579102
2004-10-22,4.2870588302612305
2004-10-25,4.471846580505371
2004-10-26,4.5457611083984375
2004-10-27,4.747795104980469
2004-10-28,4.964611530303955
2004-10-29,5.006495952606201
2004-11-01,5.346505165100098
2004-11-02,5.410563945770264
2004-11-03,5.339113235473633
2004-11-04,5.070556163787842
2004-11-05,5.139543056488037
2004-11-08,5.026206970214844
2004-11-09,4.811853408813477
2004-11-10,4.811853408813477
2004-11-11,4.932581424713135
2004-11-12,4.927654266357422
2004-11-15,5.124760627746582
2004-11-16,5.073019504547119
2004-11-17,5.134615421295166
2004-11-18,4.390539169311523
2004-11-19,4.373292922973633
2004-11-22,4.3412628173828125
2004-11-23,4.429961204528809
2004-11-24,4.43488883972168
2004-11-26,4.368365287780762
2004-11-29,4.311697006225586
2004-11-30,4.301841735839844
2004-12-01,4.173723220825195
2004-12-02,4.186042308807373
2004-12-03,4.097344398498535
2004-12-06,4.077633380889893
2004-12-07,3.954442262649536
2004-12-08,3.922412395477295
2004-12-09,4.006182670593262
2004-12-10,3.922412395477295
2004-12-13,3.966761827468872
2004-12-14,4.025892734527588
2004-12-15,4.011110305786133
2004-12-16,4.0357489585876465
2004-12-17,3.966761827468872
2004-12-20,3.7450168132781982
2004-12-21,3.966761827468872
2004-12-22,4.003718376159668
2004-12-23,4.092416286468506
2004-12-27,4.279667377471924
2004-12-28,4.232855319976807
2004-12-29,4.230391025543213
2004-12-30,4.154012680053711
2004-12-31,4.173723220825195
2005-01-03,4.08995246887207
2005-01-04,4.030820846557617
2005-01-05,4.422569751739502
2005-01-06,4.365901470184326
2005-01-07,4.324016094207764
2005-01-10,4.183577537536621
2005-01-11,4.0456037521362305
2005-01-12,3.720378875732422
2005-01-13,3.757335662841797
2005-01-14,3.695740222930908
2005-01-18,3.708059549331665
2005-01-19,3.6932766437530518
2005-01-20,3.5996508598327637
2005-01-21,3.560229778289795
2005-01-24,3.4247193336486816
2005-01-25,3.3828341960906982
2005-01-26,3.400081157684326
2005-01-27,3.3557324409484863
2005-01-28,3.3163108825683594
2005-01-31,3.3754429817199707
2005-02-01,3.3754429817199707
2005-02-02,3.2768900394439697
2005-02-03,3.2941367626190186
2005-02-04,3.4641411304473877
2005-02-07,3.3557324409484863
2005-02-08,3.4468941688537598
2005-02-09,3.2670345306396484
2005-02-10,3.220221996307373
2005-02-11,3.313847303390503
2005-02-14,3.363123655319214
2005-02-15,3.5134172439575195
2005-02-16,3.449357271194458
2005-02-17,3.4739959239959717
2005-02-18,3.9298038482666016
2005-02-22,3.9174845218658447
2005-02-23,3.8608169555664062
2005-02-24,3.9914002418518066
2005-02-25,4.057923316955566
2005-02-28,3.9569060802459717
2005-03-01,4.070242404937744
2005-03-02,4.1663312911987305
2005-03-03,4.144156455993652
2005-03-04,4.08995246887207
2005-03-07,4.060387134552002
2005-03-08,4.134301662445068
2005-03-09,4.011110305786133
2005-03-10,3.816467761993408
2005-03-11,3.8189315795898438
2005-03-14,3.828787326812744
2005-03-15,3.7622642517089844
2005-03-16,3.6834213733673096
2005-03-17,3.8189315795898438
2005-03-18,3.6982040405273438
2005-03-21,3.779510498046875
2005-03-22,3.720378875732422
2005-03-23,3.6464641094207764
2005-03-24,3.621825695037842
2005-03-28,3.5577661991119385
2005-03-29,3.5183446407318115
2005-03-30,3.5725488662719727
2005-03-31,3.6932766437530518
2005-04-01,3.695740222930908
2005-04-04,3.6834213733673096
2005-04-05,3.7597997188568115
2005-04-06,3.7622642517089844
2005-04-07,3.8041491508483887
2005-04-08,3.784438371658325
2005-04-11,3.7721190452575684
2005-04-12,3.850961685180664
2005-04-13,3.806612491607666
2005-04-14,3.7129874229431152
2005-04-15,3.555302381515503
2005-04-18,3.6711020469665527
2005-04-19,3.575012683868408
2005-04-20,3.5577661991119385
2005-04-21,3.7179148197174072
2005-04-22,3.5848684310913086
2005-04-25,3.449357271194458
2005-04-26,3.54544734954834
2005-04-27,3.636608600616455
2005-04-28,3.5700855255126953
2005-04-29,3.555302381515503
2005-05-02,3.5257365703582764
2005-05-03,3.5700855255126953
2005-05-04,3.690812349319458
2005-05-05,3.6982040405273438
2005-05-06,3.7819747924804688
2005-05-09,3.8041491508483887
2005-05-10,3.8189315795898438
2005-05-11,3.7671914100646973
2005-05-12,3.6932766437530518
2005-05-13,3.6661746501922607
2005-05-16,3.7055959701538086
2005-05-17,3.8583528995513916
2005-05-18,3.9027016162872314
2005-05-19,4.360973834991455
2005-05-20,4.55561637878418
2005-05-23,4.737939834594727
2005-05-24,4.829101085662842
2005-05-25,4.893159866333008
2005-05-26,4.9621477127075195
2005-05-27,4.893159866333008
2005-05-31,4.986786365509033
2005-06-01,4.967074871063232
2005-06-02,5.164181232452393
