Date,IR
2017-05-12,19.519834518432617
2017-05-15,20.370935440063477
2017-05-16,20.4449462890625
2017-05-17,20.4449462890625
2017-05-18,20.81499481201172
2017-05-19,21.018510818481445
2017-05-22,21.175783157348633
2017-05-23,21.693845748901367
2017-05-24,21.601333618164062
2017-05-25,20.82423973083496
2017-05-26,21.3052978515625
2017-05-30,21.23128890991211
2017-05-31,21.212787628173828
2017-06-01,21.212787628173828
2017-06-02,20.95375633239746
2017-06-05,20.93524932861328
2017-06-06,20.620716094970703
2017-06-07,20.130409240722656
2017-06-08,20.02865219116211
2017-06-09,20.805740356445312
2017-06-12,21.3052978515625
2017-06-13,21.730850219726562
2017-06-14,21.508819580078125
2017-06-15,21.268291473388672
2017-06-16,22.128643035888672
2017-06-19,22.128643035888672
2017-06-20,20.926006317138672
2017-06-21,19.168291091918945
2017-06-22,19.48282814025879
2017-06-23,18.937015533447266
2017-06-26,18.96476936340332
2017-06-27,19.69561195373535
2017-06-28,19.677104949951172
2017-06-29,19.825117111206055
2017-06-30,19.99163818359375
2017-07-03,20.66697120666504
2017-07-05,20.185914993286133
2017-07-06,19.39957046508789
2017-07-07,19.122041702270508
2017-07-10,19.741859436035156
2017-07-11,20.10265350341797
2017-07-12,20.472698211669922
2017-07-13,20.407941818237305
2017-07-14,20.42644500732422
2017-07-17,21.24979019165039
2017-07-18,21.314546585083008
2017-07-19,21.666095733642578
2017-07-20,21.786354064941406
2017-07-21,21.28679847717285
2017-07-24,21.40706443786621
2017-07-25,21.693845748901367
2017-07-26,21.11102867126465
2017-07-27,21.490320205688477
2017-07-28,21.360807418823242
2017-07-31,21.240541458129883
2017-08-01,20.81499481201172
2017-08-02,21.296045303344727
2017-08-03,21.51807975769043
2017-08-04,22.267414093017578
2017-08-07,22.239660263061523
2017-08-08,22.322919845581055
2017-08-09,21.832612991333008
2017-08-10,20.9630126953125
2017-08-11,20.98151206970215
2017-08-14,20.898252487182617
2017-08-15,20.990764617919922
2017-08-16,21.046274185180664
2017-08-17,20.352432250976562
2017-08-18,20.324684143066406
2017-08-21,20.713228225708008
2017-08-22,21.07402801513672
2017-08-23,21.240541458129883
2017-08-24,21.000009536743164
2017-08-25,21.259048461914062
2017-08-28,21.23128890991211
2017-08-29,21.333051681518555
2017-08-30,21.555078506469727
2017-08-31,21.730850219726562
