Date,STX
2002-12-11,5.275155544281006
2002-12-12,5.128370761871338
2002-12-13,5.23845911026001
2002-12-16,5.325614929199219
2002-12-17,5.275155544281006
2002-12-18,5.137543678283691
2002-12-19,4.935711860656738
2002-12-20,4.958648204803467
2002-12-23,4.770576477050781
2002-12-24,4.697181701660156
2002-12-26,4.600856304168701
2002-12-27,4.646725654602051
2002-12-30,4.802689075469971
2002-12-31,4.921950340270996
2003-01-02,4.81644868850708
2003-01-03,4.931125164031982
2003-01-06,5.243045806884766
2003-01-07,5.619189262390137
2003-01-08,5.596253395080566
2003-01-09,5.779736518859863
2003-01-10,5.091674327850342
2003-01-13,4.6925950050354
2003-01-14,4.701767921447754
2003-01-15,4.940299987792969
2003-01-16,5.050388336181641
2003-01-17,4.954061031341553
2003-01-21,4.697181701660156
2003-01-22,4.36691427230835
2003-01-23,4.587095260620117
2003-01-24,4.564155578613281
2003-01-27,4.288931369781494
2003-01-28,4.311867713928223
2003-01-29,4.463242530822754
2003-01-30,4.311867713928223
2003-01-31,4.2109527587890625
2003-02-03,4.20636510848999
2003-02-04,4.15131950378418
2003-02-05,4.15131950378418
2003-02-06,4.15131950378418
2003-02-07,4.128385543823242
2003-02-10,3.990770101547241
2003-02-11,4.096275329589844
2003-02-12,3.8385303020477295
2003-02-13,3.7096598148345947
2003-02-14,3.8661465644836426
2003-02-18,4.0226311683654785
2003-02-19,4.137698650360107
2003-02-20,4.146903038024902
2003-02-21,4.234351634979248
2003-02-24,4.142300605773926
2003-02-25,4.4552741050720215
2003-02-26,4.381633281707764
2003-02-27,4.349414348602295
2003-02-28,4.266570091247559
2003-03-03,4.280375003814697
2003-03-04,4.266570091247559
2003-03-05,4.275773048400879
2003-03-06,4.409247875213623
2003-03-07,4.464478492736816
2003-03-10,4.492093086242676
2003-03-11,4.395439147949219
2003-03-12,4.156106948852539
2003-03-13,4.165310382843018
2003-03-14,4.123889446258545
2003-03-17,4.303389072418213
2003-03-18,4.390836715698242
2003-03-19,4.2987871170043945
2003-03-20,4.344812393188477
2003-03-21,4.51050329208374
2003-03-24,4.395439147949219
2003-03-25,4.60255765914917
2003-03-26,4.648581027984619
2003-03-27,5.007579803466797
2003-03-28,4.763643741607666
2003-03-31,4.749836444854736
2003-04-01,4.864901065826416
2003-04-02,4.943141460418701
2003-04-03,4.9339399337768555
2003-04-04,4.726824760437012
2003-04-07,4.74523401260376
2003-04-08,4.841887474060059
2003-04-09,4.9339399337768555
2003-04-10,4.984567165374756
