Date,VZ
2000-01-03,15.084000587463379
2000-01-04,14.596405982971191
2000-01-05,15.084000587463379
2000-01-06,15.007379531860352
2000-01-07,14.89657211303711
2000-01-10,14.817413330078125
2000-01-11,14.67889404296875
2000-01-12,14.184194564819336
2000-01-13,14.073375701904297
2000-01-14,14.263341903686523
2000-01-18,14.880741119384766
2000-01-19,14.595788955688477
2000-01-20,14.64328670501709
2000-01-21,15.213175773620605
2000-01-24,15.22900390625
2000-01-25,14.817413330078125
2000-01-26,14.62745189666748
2000-01-27,14.754091262817383
2000-01-28,14.595788955688477
2000-01-31,15.688094139099121
2000-02-01,15.086524963378906
2000-02-02,15.023209571838379
2000-02-03,14.801584243774414
2000-02-04,14.83324909210205
2000-02-07,15.134021759033203
2000-02-08,14.944062232971191
2000-02-09,14.64328670501709
2000-02-10,14.453310012817383
2000-02-11,14.184194564819336
2000-02-14,14.010056495666504
2000-02-15,13.740941047668457
2000-02-16,13.946727752685547
2000-02-17,13.614290237426758
2000-02-18,13.139373779296875
2000-02-22,13.234363555908203
2000-02-23,12.727781295776367
2000-02-24,12.157876968383789
2000-02-25,12.0470609664917
2000-02-28,12.632797241210938
2000-02-29,12.395333290100098
2000-03-01,13.91507625579834
2000-03-02,13.994226455688477
2000-03-03,14.010056495666504
2000-03-06,14.43748664855957
2000-03-07,14.089208602905273
2000-03-08,14.310839653015137
2000-03-09,14.849072456359863
2000-03-10,14.516631126403809
2000-03-13,14.484970092773438
2000-03-14,14.200023651123047
2000-03-15,14.200023651123047
2000-03-16,14.659110069274902
2000-03-17,14.991556167602539
2000-03-20,14.975723266601562
2000-03-21,14.912402153015137
2000-03-22,14.659110069274902
2000-03-23,15.102367401123047
2000-03-24,15.070703506469727
2000-03-27,15.355653762817383
2000-03-28,15.323987007141113
2000-03-29,15.7039213180542
2000-03-30,15.513965606689453
2000-03-31,15.482290267944336
2000-04-03,15.973045349121094
2000-04-04,16.147188186645508
2000-04-05,16.00470542907715
2000-04-06,16.612512588500977
2000-04-07,16.469154357910156
2000-04-10,16.102813720703125
2000-04-11,16.32581329345703
2000-04-12,16.405439376831055
2000-04-13,16.070960998535156
2000-04-14,15.577204704284668
2000-04-17,15.449788093566895
2000-04-18,15.465716361999512
2000-04-19,15.736488342285156
2000-04-20,15.354222297668457
2000-04-24,15.78426742553711
2000-04-25,16.039113998413086
2000-04-26,15.672775268554688
2000-04-27,15.290512084960938
2000-04-28,15.290512084960938
2000-05-01,14.78083324432373
2000-05-02,14.016304016113281
2000-05-03,14.127803802490234
2000-05-04,13.713677406311035
2000-05-05,13.745538711547852
2000-05-08,13.880915641784668
2000-05-09,13.753500938415527
2000-05-10,13.66589069366455
2000-05-11,13.94861888885498
2000-05-12,13.506624221801758
2000-05-15,14.032228469848633
2000-05-16,14.080016136169434
2000-05-17,13.825175285339355
2000-05-18,13.72961139678955
2000-05-19,13.411048889160156
2000-05-22,13.33141803741455
2000-05-23,12.949151992797852
2000-05-24,13.140281677246094
2000-05-25,12.901369094848633
2000-05-26,13.172141075134277
2000-05-30,13.395126342773438
2000-05-31,13.474761009216309
2000-06-01,13.638018608093262
2000-06-02,13.66589069366455
2000-06-05,13.506624221801758
2000-06-06,13.777383804321289
2000-06-07,13.777383804321289
2000-06-08,13.920737266540527
2000-06-09,13.745538711547852
2000-06-12,13.713677406311035
2000-06-13,14.127803802490234
2000-06-14,14.621546745300293
2000-06-15,14.414493560791016
2000-06-16,14.032228469848633
2000-06-19,14.525993347167969
2000-06-20,14.637482643127441
2000-06-21,14.478208541870117
2000-06-22,14.82861042022705
2000-06-23,14.621546745300293
2000-06-26,14.14372730255127
2000-06-27,13.66589069366455
2000-06-28,13.407075881958008
2000-06-29,13.124353408813477
2000-06-30,12.949151992797852
2000-07-03,14.123315811157227
2000-07-05,13.978869438171387
2000-07-06,13.83031940460205
2000-07-07,14.231897354125977
2000-07-10,14.055205345153809
2000-07-11,13.509060859680176
2000-07-12,13.396615982055664
2000-07-13,13.235982894897461
2000-07-14,12.721970558166504
2000-07-17,12.721970558166504
2000-07-18,12.545269012451172
2000-07-19,12.079445838928223
2000-07-20,11.372666358947754
2000-07-21,12.336453437805176
2000-07-24,12.529210090637207
2000-07-25,12.481019973754883
2000-07-26,12.079445838928223
2000-07-27,12.079445838928223
2000-07-28,12.079445838928223
2000-07-31,12.015188217163086
2000-08-01,12.320388793945312
2000-08-02,12.304326057434082
2000-08-03,12.336453437805176
2000-08-04,12.063383102416992
2000-08-07,12.304326057434082
2000-08-08,10.92290210723877
2000-08-09,10.376757621765137
2000-08-10,10.826522827148438
2000-08-11,10.665886878967285
2000-08-14,10.92290210723877
2000-08-15,10.794393539428711
2000-08-16,10.730147361755371
2000-08-17,10.47313404083252
2000-08-18,10.906838417053223
2000-08-21,11.003216743469238
2000-08-22,10.730147361755371
2000-08-23,10.40888500213623
2000-08-24,10.698018074035645
2000-08-25,11.08353328704834
2000-08-28,11.260228157043457
2000-08-29,11.01927661895752
2000-08-30,11.372666358947754
2000-08-31,11.183926582336426
2000-09-01,11.324477195739746
2000-09-05,11.179910659790039
2000-09-06,10.95502758026123
2000-09-07,11.212038040161133
2000-09-08,11.388733863830566
2000-09-11,11.581482887268066
2000-09-12,11.533300399780273
2000-09-13,11.147781372070312
2000-09-14,11.179910659790039
2000-09-15,11.436921119689941
2000-09-18,11.147781372070312
2000-09-19,11.228102684020996
2000-09-20,10.794393539428711
2000-09-21,10.601642608642578
2000-09-22,11.163850784301758
2000-09-25,11.08353328704834
2000-09-26,11.147781372070312
