Date,GRMN
2000-12-08,5.209986686706543
2000-12-11,5.519329071044922
2000-12-12,5.177424430847168
2000-12-13,5.177424430847168
2000-12-14,5.242548942565918
2000-12-15,5.242548942565918
2000-12-18,5.226269721984863
2000-12-19,5.11229944229126
2000-12-20,4.754111289978027
2000-12-21,4.737833499908447
2000-12-22,5.014614105224609
2000-12-26,4.949490547180176
2000-12-27,4.835520267486572
2000-12-28,4.851799964904785
2000-12-29,5.144863128662109
2001-01-02,5.014614105224609
2001-01-03,4.591301441192627
2001-01-04,4.705272197723389
2001-01-05,4.721551418304443
2001-01-08,4.55873966217041
2001-01-09,4.493612766265869
2001-01-10,4.4284892082214355
2001-01-11,4.737833499908447
2001-01-12,4.982051372528076
2001-01-16,4.949490547180176
2001-01-17,5.04717493057251
2001-01-18,4.949490547180176
2001-01-19,4.786674976348877
2001-01-22,4.656425952911377
2001-01-23,4.656425952911377
2001-01-24,4.4284892082214355
2001-01-25,4.656425952911377
2001-01-26,4.851799964904785
2001-01-29,5.193706512451172
2001-01-30,5.226269721984863
2001-01-31,5.063457489013672
2001-02-01,5.177424430847168
2001-02-02,5.633301734924316
2001-02-05,6.219422340393066
2001-02-06,6.447360038757324
2001-02-07,6.349673748016357
2001-02-08,6.545047760009766
2001-02-09,6.251985549926758
2001-02-12,6.121736526489258
2001-02-13,6.349673748016357
2001-02-14,5.796110153198242
2001-02-15,5.535611629486084
2001-02-16,5.568173408508301
2001-02-20,5.11229944229126
2001-02-21,5.11229944229126
2001-02-22,4.835520267486572
2001-02-23,5.340237140655518
2001-02-26,5.527471542358398
2001-02-27,5.730986595153809
2001-02-28,5.698424339294434
2001-03-01,5.209986686706543
2001-03-02,5.242548942565918
2001-03-05,5.437924385070801
2001-03-06,5.209986686706543
2001-03-07,5.372801303863525
2001-03-08,5.177424430847168
2001-03-09,5.11229944229126
2001-03-12,4.721551418304443
2001-03-13,4.916925430297852
2001-03-14,5.161146640777588
2001-03-15,5.275112628936768
2001-03-16,5.128582000732422
2001-03-19,5.04717493057251
2001-03-20,4.982051372528076
2001-03-21,5.193706512451172
2001-03-22,5.11229944229126
2001-03-23,5.209986686706543
2001-03-26,5.275112628936768
2001-03-27,5.144863128662109
2001-03-28,4.88436222076416
2001-03-29,4.965769290924072
2001-03-30,5.177424430847168
2001-04-02,5.144863128662109
2001-04-03,4.819236755371094
2001-04-04,5.226269721984863
2001-04-05,5.275112628936768
2001-04-06,4.982051372528076
2001-04-09,4.754111289978027
2001-04-10,4.832262992858887
2001-04-11,4.7723493576049805
2001-04-12,4.71504020690918
2001-04-16,4.7020134925842285
2001-04-17,4.793188095092773
2001-04-18,4.688987731933594
2001-04-19,4.688987731933594
2001-04-20,4.83486795425415
2001-04-23,4.811421871185303
2001-04-24,4.793188095092773
2001-04-25,4.741087913513184
2001-04-26,4.858314037322998
2001-04-27,5.2230119705200195
2001-04-30,5.470489025115967
2001-05-01,5.611156463623047
2001-05-02,5.470489025115967
2001-05-03,5.486117839813232
2001-05-04,5.691913604736328
2001-05-07,5.678886413574219
2001-05-08,5.996696949005127
2001-05-09,6.098292827606201
2001-05-10,6.37441873550415
2001-05-11,6.225934028625488
2001-05-14,5.939387321472168
2001-05-15,6.134759902954102
2001-05-16,6.012326717376709
2001-05-17,6.429121971130371
2001-05-18,6.319716453552246
2001-05-21,6.1608099937438965
2001-05-22,5.991485595703125
2001-05-23,5.9732513427734375
2001-05-24,6.069634437561035
2001-05-25,6.009722709655762
2001-05-29,5.744010925292969
2001-05-30,5.288136959075928
2001-05-31,5.212592601776123
2001-06-01,5.212592601776123
2001-06-04,5.178727149963379
2001-06-05,5.431412220001221
2001-06-06,5.551242828369141
2001-06-07,5.757035255432129
2001-06-08,5.8872880935668945
2001-06-11,5.720566749572754
2001-06-12,5.770062446594238
2001-06-13,5.730986595153809
2001-06-14,5.730986595153809
2001-06-15,5.87426233291626
2001-06-18,5.796110153198242
2001-06-19,5.796110153198242
2001-06-20,5.848209857940674
2001-06-21,5.751825332641602
2001-06-22,5.861236572265625
2001-06-25,5.837791919708252
2001-06-26,5.822160243988037
2001-06-27,5.988880157470703
2001-06-28,5.988880157470703
2001-06-29,5.952411651611328
2001-07-02,6.033166408538818
2001-07-03,6.033166408538818
2001-07-05,6.043586254119873
2001-07-06,6.080056667327881
2001-07-09,6.069634437561035
2001-07-10,6.08526611328125
2001-07-11,5.837791919708252
2001-07-12,5.926361083984375
2001-07-13,5.926361083984375
2001-07-16,5.8872880935668945
2001-07-17,5.895102500915527
2001-07-18,5.835186004638672
2001-07-19,5.913337707519531
2001-07-20,5.952411651611328
2001-07-23,5.913337707519531
2001-07-24,5.52258825302124
2001-07-25,5.423598289489746
2001-07-26,5.470489025115967
2001-07-27,5.728379249572754
2001-07-30,5.730986595153809
2001-07-31,5.678886413574219
2001-08-01,5.355867862701416
2001-08-02,5.137046813964844
2001-08-03,4.998982906341553
2001-08-06,5.163095951080322
2001-08-07,5.155282974243164
2001-08-08,5.0927629470825195
2001-08-09,5.053690433502197
2001-08-10,5.079739093780518
2001-08-13,4.965118408203125
2001-08-14,4.9755377769470215
2001-08-15,5.025032043457031
2001-08-16,4.996377468109131
2001-08-17,4.962514877319336
2001-08-20,4.93646240234375
2001-08-21,4.954698085784912
2001-08-22,5.168307781219482
2001-08-23,5.131837844848633
2001-08-24,5.212592601776123
2001-08-27,5.131837844848633
2001-08-28,5.113603115081787
2001-08-29,5.183938503265381
2001-08-30,5.144863128662109
2001-08-31,5.1709136962890625
2001-09-04,5.2230119705200195
2001-09-05,5.254271030426025
2001-09-06,5.262088775634766
2001-09-07,5.131837844848633
2001-09-10,5.209986686706543
2001-09-17,4.949490547180176
2001-09-18,4.688987731933594
2001-09-19,4.373785972595215
2001-09-20,3.7511909008026123
2001-09-21,3.7772414684295654
2001-09-24,4.115888595581055
2001-09-25,4.011691093444824
2001-09-26,4.154964447021484
2001-09-27,4.1575703620910645
2001-09-28,4.196645736694336
2001-10-01,4.154964447021484
2001-10-02,4.037741661071777
2001-10-03,4.050764560699463
2001-10-04,4.162781238555908
2001-10-05,4.186224937438965
2001-10-08,4.1679911613464355
2001-10-09,4.141939640045166
2001-10-10,4.1679911613464355
2001-10-11,4.485800266265869
2001-10-12,4.532690048217773
2001-10-15,4.537900447845459
2001-10-16,4.480588436126709
2001-10-17,4.389415740966797
2001-10-18,4.37639045715332
2001-10-19,4.311264514923096
2001-10-22,4.4284892082214355
2001-10-23,4.436304092407227
2001-10-24,4.44151496887207
2001-10-25,4.405045509338379
2001-10-26,4.464959144592285
2001-10-29,4.4284892082214355
2001-10-30,4.319080352783203
2001-10-31,4.378995418548584
2001-11-01,4.399833679199219
2001-11-02,4.402440547943115
2001-11-05,4.373785972595215
2001-11-06,4.389415740966797
2001-11-07,4.415463924407959
2001-11-08,4.381601333618164
2001-11-09,4.415463924407959
2001-11-12,4.389415740966797
2001-11-13,4.44151496887207
2001-11-14,4.3164753913879395
2001-11-15,4.399833679199219
2001-11-16,4.44151496887207
2001-11-19,4.438908100128174
2001-11-20,4.4284892082214355
2001-11-21,4.399833679199219
2001-11-23,4.41025447845459
2001-11-26,4.480588436126709
2001-11-27,4.454539775848389
2001-11-28,4.444120407104492
2001-11-29,4.485800266265869
2001-11-30,4.545714378356934
2001-12-03,4.6733574867248535
2001-12-04,4.6577277183532715
2001-12-05,4.688987731933594
2001-12-06,4.686383247375488
2001-12-07,4.696804046630859
2001-12-10,4.931253433227539
2001-12-11,4.9755377769470215
2001-12-12,5.053690433502197
2001-12-13,5.017219066619873
2001-12-14,5.079739093780518
2001-12-17,5.212592601776123
2001-12-18,5.4809088706970215
2001-12-19,5.215197563171387
2001-12-20,5.355867862701416
2001-12-21,5.473092555999756
2001-12-24,5.49393367767334
2001-12-26,5.49393367767334
2001-12-27,5.509563446044922
2001-12-28,5.553846836090088
2001-12-31,5.553846836090088
2002-01-02,5.535611629486084
2002-01-03,5.5460333824157715
2002-01-04,5.564268589019775
2002-01-07,5.4522528648376465
2002-01-08,5.275112628936768
2002-01-09,5.269900798797607
2002-01-10,5.374102592468262
2002-01-11,5.288136959075928
2002-01-14,5.207380771636963
2002-01-15,5.394942760467529
2002-01-16,5.178727149963379
2002-01-17,5.163095951080322
2002-01-18,5.0927629470825195
2002-01-22,5.053690433502197
2002-01-23,5.066713333129883
2002-01-24,5.048477649688721
2002-01-25,5.025032043457031
2002-01-28,5.022425651550293
2002-01-29,4.949490547180176
2002-01-30,4.962514877319336
2002-01-31,4.983354091644287
2002-02-01,4.9338579177856445
2002-02-04,4.93646240234375
2002-02-05,4.88696813583374
2002-02-06,4.910414695739746
2002-02-07,4.913018226623535
2002-02-08,4.949490547180176
2002-02-11,4.949490547180176
2002-02-12,5.07452917098999
2002-02-13,5.0927629470825195
2002-02-14,5.207380771636963
2002-02-15,5.19175386428833
2002-02-19,5.19175386428833
2002-02-20,5.183938503265381
2002-02-21,5.1344428062438965
2002-02-22,5.160492420196533
2002-02-25,5.209986686706543
2002-02-26,5.228222846984863
2002-02-27,5.249061584472656
2002-02-28,5.249061584472656
2002-03-01,5.251667022705078
2002-03-04,5.496539115905762
2002-03-05,5.587711334228516
2002-03-06,5.592921257019043
2002-03-07,5.665860652923584
2002-03-08,5.744010925292969
2002-03-11,5.762246131896973
2002-03-12,5.744010925292969
2002-03-13,5.418389320373535
2002-03-14,5.585108280181885
2002-03-15,5.519981384277344
2002-03-18,5.6267876625061035
2002-03-19,5.660651683807373
2002-03-20,5.741406440734863
2002-03-21,5.762246131896973
2002-03-22,5.845607280731201
2002-03-25,5.835186004638672
2002-03-26,5.869051456451416
2002-03-27,5.8872880935668945
2002-03-28,5.970645427703857
2002-04-01,5.991485595703125
2002-04-02,6.030561447143555
2002-04-03,6.004510402679443
2002-04-04,6.014933109283447
2002-04-05,6.048797130584717
2002-04-08,6.007113933563232
2002-04-09,5.988880157470703
2002-04-10,6.004510402679443
2002-04-11,6.030561447143555
2002-04-12,6.030561447143555
2002-04-15,5.996696949005127
2002-04-16,6.033166408538818
2002-04-17,6.012326717376709
2002-04-18,5.986273765563965
2002-04-19,5.975854873657227
2002-04-22,5.905519008636475
2002-04-23,5.87426233291626
2002-04-24,5.848209857940674
2002-04-25,5.822160243988037
2002-04-26,5.861236572265625
2002-04-29,5.858631610870361
2002-04-30,5.863840103149414
2002-05-01,5.939387321472168
2002-05-02,5.965435028076172
2002-05-03,5.991485595703125
2002-05-06,5.986273765563965
2002-05-07,5.957620620727539
2002-05-08,5.975854873657227
2002-05-09,5.975854873657227
2002-05-10,5.978459358215332
2002-05-13,5.978459358215332
2002-05-14,5.988880157470703
2002-05-15,6.064423084259033
2002-05-16,6.1608099937438965
2002-05-17,6.301479339599609
2002-05-20,6.231144428253174
2002-05-21,6.249378681182861
2002-05-22,6.251985549926758
2002-05-23,6.285849571228027
2002-05-24,6.257195949554443
2002-05-28,6.301479339599609
2002-05-29,6.275430679321289
2002-05-30,6.251985549926758
2002-05-31,6.244170188903809
2002-06-03,6.134759902954102
2002-06-04,6.173834800720215
2002-06-05,6.244170188903809
2002-06-06,6.194674968719482
2002-06-07,6.236356258392334
2002-06-10,6.23375129699707
2002-06-11,6.040985584259033
2002-06-12,5.678886413574219
2002-06-13,5.767455577850342
2002-06-14,6.134759902954102
2002-06-17,6.251985549926758
2002-06-18,6.1894659996032715
2002-06-19,5.96804141998291
2002-06-20,5.996696949005127
2002-06-21,6.012326717376709
2002-06-24,6.033166408538818
2002-06-25,5.785691261291504
2002-06-26,5.746616363525391
2002-06-27,5.736196041107178
2002-06-28,5.744010925292969
2002-07-01,5.704936504364014
2002-07-02,5.470489025115967
2002-07-03,5.275112628936768
2002-07-05,5.183938503265381
2002-07-08,5.157887935638428
2002-07-09,4.980749130249023
2002-07-10,4.9468841552734375
2002-07-11,4.897387981414795
2002-07-12,4.952093601226807
2002-07-15,5.038060665130615
2002-07-16,5.043268203735352
2002-07-17,4.949490547180176
2002-07-18,5.001589775085449
2002-07-19,4.962514877319336
2002-07-22,4.962514877319336
2002-07-23,4.988562107086182
2002-07-24,4.821843147277832
2002-07-25,4.71504020690918
2002-07-26,4.725457191467285
2002-07-29,4.910414695739746
2002-07-30,4.9390692710876465
2002-07-31,5.298558712005615
2002-08-01,5.212592601776123
2002-08-02,5.220406532287598
2002-08-05,5.181332588195801
2002-08-06,5.209986686706543
2002-08-07,5.220406532287598
2002-08-08,5.220406532287598
2002-08-09,5.204777240753174
2002-08-12,5.2230119705200195
2002-08-13,5.061501979827881
2002-08-14,5.012007713317871
2002-08-15,5.051083087921143
2002-08-16,5.100577354431152
2002-08-19,5.535611629486084
2002-08-20,5.462671756744385
2002-08-21,5.569477558135986
2002-08-22,5.460065841674805
2002-08-23,5.366285800933838
2002-08-26,5.350658416748047
2002-08-27,5.4522528648376465
2002-08-28,5.259482383728027
2002-08-29,5.259482383728027
2002-08-30,5.256875991821289
2002-09-03,4.840078830718994
2002-09-04,5.144863128662109
2002-09-05,5.126625061035156
2002-09-06,5.327213287353516
2002-09-09,5.288136959075928
2002-09-10,5.428808689117432
2002-09-11,5.353261470794678
2002-09-12,5.379312992095947
2002-09-13,5.4027581214904785
2002-09-16,5.308977127075195
2002-09-17,5.262088775634766
2002-09-18,5.0198235511779785
2002-09-19,4.816632270812988
2002-09-20,4.902599811553955
2002-09-23,4.8088178634643555
2002-09-24,4.785375595092773
2002-09-25,4.832262992858887
2002-09-26,4.894783973693848
2002-09-27,4.881757736206055
2002-09-30,4.832262992858887
2002-10-01,4.9468841552734375
2002-10-02,4.855709075927734
2002-10-03,4.863522052764893
2002-10-04,4.894783973693848
2002-10-07,4.767139434814453
2002-10-08,4.730669021606445
2002-10-09,4.688987731933594
2002-10-10,4.7801642417907715
2002-10-11,4.832262992858887
2002-10-14,4.816632270812988
2002-10-15,4.902599811553955
2002-10-16,4.842684268951416
2002-10-17,4.9468841552734375
2002-10-18,4.868734359741211
2002-10-21,4.868734359741211
2002-10-22,4.767139434814453
2002-10-23,4.7801642417907715
2002-10-24,4.751508712768555
2002-10-25,4.8374738693237305
2002-10-28,5.215197563171387
2002-10-29,5.08494758605957
2002-10-30,5.415781021118164
2002-10-31,5.449647903442383
2002-11-01,5.470489025115967
2002-11-04,5.710147857666016
2002-11-05,5.757035255432129
2002-11-06,5.730986595153809
2002-11-07,5.751825332641602
2002-11-08,5.811741352081299
2002-11-11,5.835186004638672
2002-11-12,5.884679317474365
2002-11-13,5.8872880935668945
2002-11-14,5.991485595703125
2002-11-15,6.069634437561035
2002-11-18,6.025351524353027
2002-11-19,6.017538070678711
2002-11-20,6.113921165466309
2002-11-21,6.223330974578857
2002-11-22,6.251985549926758
2002-11-25,6.275430679321289
2002-11-26,6.218122482299805
2002-11-27,6.262403964996338
2002-11-29,6.199886798858643
2002-12-02,6.642732620239258
2002-12-03,6.421308517456055
2002-12-04,6.439544200897217
2002-12-05,6.2936625480651855
2002-12-06,6.395261287689209
2002-12-09,6.254589557647705
2002-12-10,6.431727409362793
2002-12-11,6.509880065917969
2002-12-12,6.5124831199646
