Date,KEY
2000-01-03,8.058672904968262
2000-01-04,7.961582660675049
2000-01-05,7.815942764282227
2000-01-06,8.107217788696289
2000-01-07,8.325675010681152
2000-01-10,8.058672904968262
2000-01-11,8.058672904968262
2000-01-12,8.15576457977295
2000-01-13,8.374224662780762
2000-01-14,8.544137954711914
2000-01-18,8.204309463500977
2000-01-19,8.010128021240234
2000-01-20,7.961582660675049
2000-01-21,8.30140209197998
2000-01-24,7.937305450439453
2000-01-25,7.815942764282227
2000-01-26,8.374224662780762
2000-01-27,8.180037498474121
2000-01-28,7.961582660675049
2000-01-31,8.15576457977295
2000-02-01,8.058672904968262
2000-02-02,7.961582660675049
2000-02-03,7.937305450439453
2000-02-04,7.815942764282227
2000-02-07,7.767395973205566
2000-02-08,7.913035869598389
2000-02-09,7.573210716247559
2000-02-10,7.2819318771362305
2000-02-11,7.257659435272217
2000-02-14,7.063474655151367
2000-02-15,7.209115982055664
2000-02-16,6.942108631134033
2000-02-17,6.966381549835205
2000-02-18,6.699378490447998
2000-02-22,6.7721967697143555
2000-02-23,6.675104141235352
2000-02-24,6.7721967697143555
2000-02-25,6.7100324630737305
2000-02-28,6.7100324630737305
2000-02-29,6.68536376953125
2000-03-01,6.759371757507324
2000-03-02,6.68536376953125
2000-03-03,6.882715225219727
2000-03-06,6.8580474853515625
2000-03-07,6.315326690673828
2000-03-08,6.191977500915527
2000-03-09,6.241313934326172
2000-03-10,6.33999490737915
2000-03-13,6.414000511169434
2000-03-14,6.265984535217285
2000-03-15,6.981392860412598
2000-03-16,7.45011043548584
2000-03-17,7.425441741943359
2000-03-20,7.178747653961182
2000-03-21,7.4747796058654785
2000-03-22,7.672130107879639
2000-03-23,7.696799278259277
2000-03-24,7.5487871170043945
2000-03-27,7.37610387802124
2000-03-28,7.573452949523926
2000-03-29,7.499446392059326
2000-03-30,7.400771141052246
2000-03-31,7.499446392059326
2000-04-03,7.696799278259277
2000-04-04,7.573452949523926
2000-04-05,7.400771141052246
2000-04-06,7.425441741943359
2000-04-07,7.154079437255859
2000-04-10,7.104739665985107
2000-04-11,7.178747653961182
2000-04-12,7.400771141052246
2000-04-13,7.2527546882629395
2000-04-14,6.784035682678223
2000-04-17,6.956724166870117
2000-04-18,7.0307297706604
2000-04-19,7.006059169769287
2000-04-20,7.055403709411621
2000-04-24,7.277425289154053
2000-04-25,7.524118900299072
