Date,JPM
2000-01-03,22.79384422302246
2000-01-04,22.293703079223633
2000-01-05,22.156105041503906
2000-01-06,22.47064781188965
2000-01-07,22.88348960876465
2000-01-10,22.490306854248047
2000-01-11,21.959503173828125
2000-01-12,22.097118377685547
2000-01-13,22.431324005126953
2000-01-14,23.237361907958984
2000-01-18,22.33303451538086
2000-01-19,23.31601333618164
2000-01-20,23.296350479125977
2000-01-21,22.94246482849121
2000-01-24,22.962125778198242
2000-01-25,23.473278045654297
2000-01-26,24.67249870300293
2000-01-27,25.380245208740234
2000-01-28,24.122028350830078
2000-01-31,25.380245208740234
2000-02-01,26.343544006347656
2000-02-02,25.91103744506836
2000-02-03,26.166601181030273
2000-02-04,25.714445114135742
2000-02-07,25.85205841064453
2000-02-08,26.756391525268555
2000-02-09,26.06832504272461
2000-02-10,26.146949768066406
2000-02-11,25.989667892456055
2000-02-14,24.86908721923828
2000-02-15,25.498178482055664
2000-02-16,25.00670623779297
2000-02-17,24.65283966064453
2000-02-18,23.51258659362793
2000-02-22,24.29897117614746
2000-02-23,24.33827781677246
2000-02-24,23.905786514282227
2000-02-25,23.866451263427734
2000-02-28,24.515230178833008
2000-02-29,25.0460262298584
2000-03-01,25.793079376220703
2000-03-02,25.340917587280273
2000-03-03,25.517850875854492
2000-03-06,26.2452392578125
2000-03-07,25.73410987854004
2000-03-08,24.849422454833984
2000-03-09,25.517850875854492
2000-03-10,24.75113296508789
2000-03-13,25.183637619018555
2000-03-14,24.849422454833984
2000-03-15,26.146949768066406
2000-03-16,28.348804473876953
2000-03-17,28.6240291595459
2000-03-20,27.228206634521484
2000-03-21,28.93857765197754
2000-03-22,28.800954818725586
2000-03-23,30.983152389526367
2000-03-24,30.255746841430664
2000-03-27,29.78392219543457
2000-03-28,29.64630889892578
2000-03-29,28.427419662475586
2000-03-30,27.36583137512207
2000-03-31,27.4248046875
2000-04-03,29.095867156982422
2000-04-04,27.429527282714844
2000-04-05,27.31096076965332
2000-04-06,27.646900177001953
2000-04-07,27.31096076965332
2000-04-10,27.864294052124023
2000-04-11,27.192380905151367
2000-04-12,27.449283599853516
2000-04-13,26.718093872070312
2000-04-14,24.939531326293945
2000-04-17,24.860471725463867
2000-04-18,25.453344345092773
2000-04-19,24.66285514831543
2000-04-20,24.445470809936523
2000-04-24,23.635229110717773
2000-04-25,24.682628631591797
2000-04-26,24.16881561279297
2000-04-27,23.358577728271484
2000-04-28,22.80523681640625
2000-05-01,23.31905174255371
2000-05-02,24.06999969482422
2000-05-03,23.477155685424805
2000-05-04,23.160961151123047
2000-05-05,22.82500457763672
2000-05-08,22.765727996826172
2000-05-09,22.40999412536621
2000-05-10,21.738101959228516
2000-05-11,22.133344650268555
2000-05-12,22.647130966186523
2000-05-15,23.595714569091797
2000-05-16,23.477155685424805
2000-05-17,23.39809799194336
