Date,MSCI
2007-11-15,22.845855712890625
2007-11-16,21.847986221313477
2007-11-19,22.539493560791016
2007-11-20,23.91374969482422
2007-11-21,23.327281951904297
2007-11-23,23.983762741088867
2007-11-26,24.33388900756836
2007-11-27,23.616134643554688
2007-11-28,23.896236419677734
2007-11-29,23.896236419677734
2007-11-30,24.202600479125977
2007-12-03,24.48270034790039
2007-12-04,25.690645217895508
2007-12-05,25.62936782836914
2007-12-06,25.305498123168945
2007-12-07,25.27924346923828
2007-12-10,25.38428497314453
2007-12-11,25.38428497314453
2007-12-12,24.929115295410156
2007-12-13,25.33176612854004
2007-12-14,25.13919448852539
2007-12-17,24.491456985473633
2007-12-18,24.946622848510742
2007-12-19,25.340513229370117
2007-12-20,25.287992477416992
2007-12-21,29.515790939331055
2007-12-24,29.690853118896484
2007-12-26,30.067237854003906
2007-12-27,31.992950439453125
2007-12-28,32.66693878173828
2007-12-31,33.612300872802734
2008-01-02,29.62957191467285
2008-01-03,26.951108932495117
2008-01-04,26.390899658203125
2008-01-07,24.631502151489258
2008-01-08,23.309772491455078
2008-01-09,24.29888916015625
2008-01-10,25.944486618041992
2008-01-11,26.635988235473633
2008-01-14,26.697265625
2008-01-15,26.88107681274414
2008-01-16,25.646875381469727
2008-01-17,25.37552833557129
2008-01-18,25.664384841918945
2008-01-22,25.2967472076416
2008-01-23,27.27497673034668
2008-01-24,28.15904998779297
2008-01-25,27.817665100097656
2008-01-28,28.938093185424805
2008-01-29,28.693002700805664
2008-01-30,28.622968673706055
2008-01-31,28.85930061340332
2008-02-01,30.286081314086914
2008-02-04,29.30571937561035
2008-02-05,28.771774291992188
2008-02-06,27.458797454833984
2008-02-07,26.00575828552246
2008-02-08,27.42377281188965
2008-02-11,27.511306762695312
2008-02-12,27.39751434326172
2008-02-13,29.612071990966797
2008-02-14,29.13064956665039
2008-02-15,27.78266143798828
2008-02-19,28.0977725982666
2008-02-20,28.194055557250977
2008-02-21,29.410751342773438
2008-02-22,29.524538040161133
2008-02-25,28.96434211730957
2008-02-26,29.690853118896484
2008-02-27,28.0102481842041
2008-02-28,27.213701248168945
2008-02-29,26.023265838623047
2008-03-03,25.445552825927734
2008-03-04,25.699399948120117
2008-03-05,27.703880310058594
2008-03-06,26.137062072753906
2008-03-07,24.736543655395508
2008-03-10,23.64238739013672
2008-03-11,26.513450622558594
2008-03-12,26.11080551147461
2008-03-13,26.207080841064453
2008-03-14,23.51109504699707
2008-03-17,20.63128662109375
2008-03-18,23.633636474609375
2008-03-19,23.362293243408203
2008-03-20,24.692773818969727
2008-03-24,26.320877075195312
2008-03-25,26.60097312927246
2008-03-26,25.743160247802734
2008-03-27,25.99700164794922
2008-03-28,27.3537540435791
2008-03-31,26.040769577026367
2008-04-01,27.03864097595215
2008-04-02,27.808910369873047
2008-04-03,28.0364990234375
2008-04-04,28.693002700805664
2008-04-07,27.493812561035156
2008-04-08,26.951108932495117
2008-04-09,24.491456985473633
2008-04-10,24.937868118286133
2008-04-11,24.44769287109375
2008-04-14,24.26387596130371
2008-04-15,23.782451629638672
2008-04-16,24.552734375
2008-04-17,24.990385055541992
2008-04-18,25.147945404052734
2008-04-21,24.937868118286133
2008-04-22,25.034151077270508
2008-04-23,25.78693389892578
2008-04-24,25.716907501220703
2008-04-25,24.832822799682617
2008-04-28,25.49807357788086
2008-04-29,26.408409118652344
2008-04-30,27.152429580688477
2008-05-01,28.53543472290039
2008-05-02,27.78266143798828
2008-05-05,27.668869018554688
2008-05-06,27.948974609375
2008-05-07,28.124040603637695
2008-05-08,28.089019775390625
2008-05-09,28.124040603637695
2008-05-12,28.44790267944336
2008-05-13,28.334108352661133
2008-05-14,28.465412139892578
2008-05-15,29.454517364501953
2008-05-16,28.90306854248047
2008-05-19,29.078128814697266
2008-05-20,28.885557174682617
2008-05-21,28.124040603637695
2008-05-22,28.929330825805664
2008-05-23,30.224802017211914
2008-05-27,31.441499710083008
2008-05-28,32.684452056884766
