Date,APTV
2011-11-17,16.338985443115234
2011-11-18,16.08620262145996
2011-11-21,15.549995422363281
2011-11-22,15.243595123291016
2011-11-23,15.036770820617676
2011-11-25,15.052091598510742
2011-11-28,15.350837707519531
2011-11-29,15.31253433227539
2011-11-30,15.963642120361328
2011-12-01,15.94066047668457
2011-12-02,16.369625091552734
2011-12-05,16.676034927368164
2011-12-06,16.951793670654297
2011-12-07,16.852210998535156
2011-12-08,16.614749908447266
2011-12-09,16.660707473754883
2011-12-12,16.476871490478516
2011-12-13,16.323665618896484
2011-12-14,15.810441970825195
2011-12-15,16.055561065673828
2011-12-16,16.06322479248047
2011-12-19,16.078542709350586
2011-12-20,16.46920394897461
2011-12-21,16.392606735229492
2011-12-22,16.691349029541016
2011-12-23,16.80625343322754
2011-12-27,16.5841121673584
2011-12-28,16.231748580932617
2011-12-29,16.407928466796875
2011-12-30,16.49985122680664
2012-01-03,17.03605842590332
2012-01-04,17.26585578918457
2012-01-05,16.959455490112305
2012-01-06,17.27351951599121
2012-01-09,17.396074295043945
2012-01-10,18.254009246826172
2012-01-11,18.345928192138672
2012-01-12,18.912776947021484
2012-01-13,18.997041702270508
2012-01-17,18.65999412536621
2012-01-18,18.76723861694336
2012-01-19,19.203859329223633
2012-01-20,19.226842880249023
2012-01-23,19.517925262451172
2012-01-24,19.77071189880371
2012-01-25,19.73241424560547
2012-01-26,19.877952575683594
2012-01-27,20.80482292175293
2012-01-30,20.74354362487793
2012-01-31,20.552045822143555
2012-02-01,21.900218963623047
2012-02-02,22.191299438476562
2012-02-03,23.55479621887207
2012-02-06,23.378612518310547
2012-02-07,23.04157066345215
2012-02-08,22.9036865234375
2012-02-09,22.827091217041016
2012-02-10,23.01093101501465
2012-02-13,22.987953186035156
2012-02-14,22.260238647460938
2012-02-15,22.50537109375
2012-02-16,23.225414276123047
2012-02-17,23.968441009521484
2012-02-21,23.69268035888672
2012-02-22,23.76162338256836
2012-02-23,23.74630355834961
