Date,TRI
2002-06-12,15.922331809997559
2002-06-13,16.07176971435547
2002-06-14,15.96869945526123
2002-06-17,16.076919555664062
2002-06-18,16.0511531829834
2002-06-19,15.973854064941406
2002-06-20,15.96869945526123
2002-06-21,15.932637214660645
2002-06-24,15.83988094329834
2002-06-25,16.056299209594727
2002-06-26,15.973854064941406
2002-06-27,16.030540466308594
2002-06-28,16.24180793762207
2002-07-01,16.02538299560547
2002-07-02,16.004772186279297
2002-07-03,15.747130393981934
2002-07-05,15.845029830932617
2002-07-08,15.896568298339844
2002-07-09,16.066606521606445
2002-07-10,16.02538299560547
2002-07-11,16.08206558227539
2002-07-12,15.93778133392334
2002-07-15,15.381282806396484
2002-07-16,15.340054512023926
2002-07-17,14.386775016784668
2002-07-18,14.34555435180664
2002-07-19,13.989998817443848
2002-07-22,13.21707820892334
2002-07-23,12.882146835327148
2002-07-24,13.732369422912598
2002-07-25,13.783893585205078
2002-07-26,13.649922370910645
2002-07-29,13.48502254486084
2002-07-30,13.598392486572266
2002-07-31,14.067294120788574
2002-08-01,13.655076026916504
2002-08-02,13.294365882873535
2002-08-05,13.314982414245605
2002-08-06,13.397433280944824
2002-08-07,13.361355781555176
2002-08-08,13.397433280944824
2002-08-09,13.402583122253418
2002-08-12,13.268608093261719
2002-08-13,13.3665132522583
2002-08-14,13.273754119873047
2002-08-15,13.35620403289795
2002-08-16,13.938472747802734
2002-08-19,14.000317573547363
2002-08-20,14.505972862243652
2002-08-21,14.32446002960205
2002-08-22,14.83789348602295
2002-08-23,14.521533012390137
2002-08-26,14.718608856201172
2002-08-27,14.568203926086426
2002-08-28,14.13256549835205
2002-08-29,14.277778625488281
2002-08-30,14.122188568115234
2002-09-03,14.039210319519043
2002-09-04,14.21035099029541
2002-09-05,14.21035099029541
2002-09-06,14.319265365600586
2002-09-09,14.21035099029541
2002-09-10,14.262219429016113
2002-09-11,14.417804718017578
2002-09-12,14.00809097290039
2002-09-13,13.795454978942871
2002-09-16,14.1066312789917
2002-09-17,13.582815170288086
2002-09-18,13.370185852050781
2002-09-19,12.8463716506958
2002-09-20,12.379607200622559
2002-09-23,11.90246868133545
2002-09-24,12.187710762023926
2002-09-25,12.742640495300293
2002-09-26,13.214599609375
2002-09-27,13.16791820526123
2002-09-30,12.898238182067871
2002-10-01,13.276829719543457
2002-10-02,13.027887344360352
2002-10-03,12.72708511352539
2002-10-04,12.421095848083496
2002-10-07,12.275883674621582
2002-10-08,12.395164489746094
2002-10-09,12.058056831359863
2002-10-10,12.374419212341309
2002-10-11,12.747827529907227
2002-10-14,12.784132957458496
2002-10-15,13.364991188049316
2002-10-16,12.90860652923584
2002-10-17,13.152360916137695
2002-10-18,13.52058219909668
2002-10-21,14.111817359924316
2002-10-22,13.899176597595215
2002-10-23,14.345192909240723
2002-10-24,13.930304527282715
2002-10-25,14.39706039428711
2002-10-28,14.469669342041016
2002-10-29,14.142935752868652
2002-10-30,14.272597312927246
2002-10-31,14.371129035949707
2002-11-01,14.495599746704102
2002-11-04,14.635627746582031
2002-11-05,14.599322319030762
2002-11-06,14.869017601013184
2002-11-07,14.51115894317627
2002-11-08,14.464486122131348
2002-11-11,13.842132568359375
2002-11-12,14.02883243560791
2002-11-13,14.075516700744629
2002-11-14,14.01327896118164
2002-11-15,14.142935752868652
2002-11-18,14.179232597351074
2002-11-19,14.231446266174316
2002-11-20,14.231446266174316
2002-11-21,14.278427124023438
2002-11-22,14.461152076721191
2002-11-25,14.137474060058594
2002-11-26,13.74070930480957
2002-11-27,13.897323608398438
2002-11-29,13.933870315551758
2002-12-02,14.612553596496582
2002-12-03,14.408945083618164
2002-12-04,13.975631713867188
2002-12-05,13.364814758300781
2002-12-06,13.260409355163574
2002-12-09,13.286514282226562
2002-12-10,13.557984352111816
2002-12-11,13.443132400512695
2002-12-12,13.411802291870117
2002-12-13,13.709376335144043
2002-12-16,13.651955604553223
2002-12-17,13.84511661529541
2002-12-18,13.6571683883667
2002-12-19,13.651955604553223
2002-12-20,13.625846862792969
2002-12-23,13.91298770904541
2002-12-24,13.965192794799805
2002-12-26,13.74592399597168
2002-12-27,13.69372272491455
2002-12-30,13.698941230773926
2002-12-31,13.954755783081055
2003-01-02,14.372403144836426
2003-01-03,14.539468765258789
2003-01-06,15.129389762878418
2003-01-07,14.753509521484375
2003-01-08,14.497693061828613
2003-01-09,14.805715560913086
2003-01-10,15.045862197875977
2003-01-13,15.087628364562988
2003-01-14,15.207703590393066
2003-01-15,15.045862197875977
2003-01-16,15.061532974243164
2003-01-17,15.051084518432617
2003-01-21,14.398502349853516
2003-01-22,14.215780258178711
2003-01-23,14.372403144836426
2003-01-24,14.215780258178711
2003-01-27,13.918207168579102
2003-01-28,13.986071586608887
2003-01-29,13.777253150939941
2003-01-30,13.641511917114258
2003-01-31,13.897323608398438
2003-02-03,13.808571815490723
2003-02-04,13.6571683883667
2003-02-05,13.620631217956543
2003-02-06,13.74070930480957
2003-02-07,13.6571683883667
2003-02-10,13.662388801574707
2003-02-11,13.662388801574707
2003-02-12,13.6571683883667
2003-02-13,13.730266571044922
2003-02-14,13.850335121154785
2003-02-18,13.8121337890625
2003-02-19,13.573358535766602
2003-02-20,13.59457778930664
2003-02-21,13.748462677001953
2003-02-24,13.732540130615234
2003-02-25,13.637024879455566
2003-02-26,14.114590644836426
2003-02-27,14.188879013061523
2003-02-28,14.295004844665527
2003-03-03,14.056221008300781
2003-03-04,14.135812759399414
2003-03-05,14.082744598388672
2003-03-06,13.647635459899902
2003-03-07,13.84926986694336
2003-03-10,13.955402374267578
2003-03-11,13.626416206359863
2003-03-12,13.42477035522461
2003-03-13,13.536206245422363
2003-03-14,13.706003189086914
2003-03-17,13.833355903625488
2003-03-18,13.950096130371094
2003-03-19,13.902338027954102
2003-03-20,13.9766206741333
2003-03-21,14.268465042114258
2003-03-24,13.944791793823242
2003-03-25,14.045610427856445
2003-03-26,14.01908016204834
2003-03-27,14.072139739990234
2003-03-28,13.98193645477295
2003-03-31,13.780295372009277
2003-04-01,13.769688606262207
2003-04-02,14.114590644836426
2003-04-03,13.833355903625488
2003-04-04,14.358675003051758
2003-04-07,14.496636390686035
2003-04-08,14.730111122131348
2003-04-09,14.53377914428711
2003-04-10,14.544391632080078
2003-04-11,14.67174243927002
2003-04-14,14.87337875366211
2003-04-15,14.772564888000488
2003-04-16,14.761951446533203
2003-04-17,14.820320129394531
2003-04-21,15.075021743774414
2003-04-22,15.319106101989746
2003-04-23,15.377466201782227
2003-04-24,15.016653060913086
2003-04-25,15.064409255981445
2003-04-28,15.112160682678223
2003-04-29,15.250123977661133
2003-04-30,15.632166862487793
2003-05-01,15.918709754943848
2003-05-02,15.664005279541016
2003-05-05,15.732985496520996
2003-05-06,16.077899932861328
2003-05-07,15.653399467468262
2003-05-08,15.727685928344727
2003-05-09,15.75951862335205
2003-05-12,16.003604888916016
2003-05-13,15.971770286560059
2003-05-14,16.04606056213379
2003-05-15,15.738287925720215
2003-05-16,15.839118003845215
2003-05-19,15.67462158203125
2003-05-20,16.22985076904297
2003-05-21,15.989617347717285
2003-05-22,15.904190063476562
2003-05-23,15.898852348327637
2003-05-27,15.81342887878418
2003-05-28,15.936223983764648
2003-05-29,16.283245086669922
2003-05-30,16.203161239624023
2003-06-02,16.309938430786133
2003-06-03,16.550189971923828
2003-06-04,16.619585037231445
2003-06-05,16.731698989868164
2003-06-06,16.811784744262695
2003-06-09,16.849157333374023
2003-06-10,17.19617462158203
2003-06-11,17.089397430419922
2003-06-12,17.030668258666992
2003-06-13,16.817123413085938
2003-06-16,17.201513290405273
2003-06-17,17.00397300720215
2003-06-18,17.23354148864746
2003-06-19,17.041339874267578
2003-06-20,16.9559326171875
2003-06-23,16.704999923706055
2003-06-24,16.699670791625977
2003-06-25,16.592891693115234
2003-06-26,16.2885799407959
2003-06-27,16.283245086669922
2003-06-30,16.790424346923828
2003-07-01,16.59822654724121
2003-07-02,16.68364906311035
2003-07-03,16.721025466918945
2003-07-07,16.93457794189453
2003-07-08,16.582218170166016
2003-07-09,16.496789932250977
2003-07-10,16.36866569519043
2003-07-11,16.261886596679688
2003-07-14,16.107067108154297
2003-07-15,15.968245506286621
2003-07-16,15.909529685974121
2003-07-17,15.733358383178711
2003-07-18,15.663948059082031
2003-07-21,15.797408103942871
2003-07-22,15.70132064819336
2003-07-23,15.898852348327637
2003-07-24,15.845458030700684
2003-07-25,16.144437789916992
2003-07-28,16.149765014648438
2003-07-29,16.080366134643555
2003-07-30,15.888171195983887
2003-07-31,15.994949340820312
2003-08-01,15.994949340820312
2003-08-04,15.882833480834961
2003-08-05,15.925542831420898
2003-08-06,15.589205741882324
2003-08-07,15.84012508392334
2003-08-08,16.00562858581543
2003-08-11,16.352651596069336
2003-08-12,16.31527328491211
2003-08-13,16.496789932250977
2003-08-14,16.50212860107422
2003-08-15,16.50212860107422
2003-08-18,16.5128116607666
2003-08-19,16.303382873535156
2003-08-20,16.335599899291992
2003-08-21,16.05635643005371
2003-08-22,16.110057830810547
2003-08-25,15.948958396911621
2003-08-26,15.873777389526367
2003-08-27,15.922102928161621
2003-08-28,16.034879684448242
2003-08-29,16.083213806152344
2003-09-02,16.18523597717285
2003-09-03,16.373186111450195
2003-09-04,16.298011779785156
2003-09-05,16.298011779785156
2003-09-08,16.4322566986084
2003-09-09,16.528919219970703
2003-09-10,16.5020694732666
2003-09-11,16.437633514404297
2003-09-12,16.437633514404297
2003-09-15,16.45374298095703
2003-09-16,16.437633514404297
2003-09-17,16.4698543548584
2003-09-18,16.566505432128906
2003-09-19,16.561134338378906
2003-09-22,16.5074405670166
2003-09-23,16.64706802368164
2003-09-24,16.90481948852539
2003-09-25,16.770566940307617
2003-09-26,16.421524047851562
2003-09-29,16.383926391601562
2003-09-30,16.212087631225586
2003-10-01,16.528919219970703
2003-10-02,16.700759887695312
2003-10-03,16.636314392089844
2003-10-06,16.604095458984375
2003-10-07,16.770566940307617
2003-10-08,16.555770874023438
2003-10-09,16.706132888793945
2003-10-10,16.958515167236328
2003-10-13,17.076662063598633
2003-10-14,16.835004806518555
2003-10-15,16.867231369018555
2003-10-16,17.087406158447266
2003-10-17,17.065919876098633
