Date,STT
2000-01-03,21.231565475463867
2000-01-04,20.05203628540039
2000-01-05,20.413515090942383
2000-01-06,21.26961898803711
2000-01-07,22.030611038208008
2000-01-10,21.89743995666504
2000-01-11,22.335004806518555
2000-01-12,22.69646453857422
2000-01-13,23.248184204101562
2000-01-14,24.066253662109375
2000-01-18,23.286245346069336
2000-01-19,23.248184204101562
2000-01-20,23.11502456665039
2000-01-21,23.41941261291504
2000-01-24,22.886714935302734
2000-01-25,23.72381019592285
2000-01-26,24.598947525024414
2000-01-27,25.188718795776367
2000-01-28,23.971141815185547
2000-01-31,24.408693313598633
2000-02-01,24.998458862304688
2000-02-02,25.036514282226562
2000-02-03,25.47407341003418
2000-02-04,24.598947525024414
2000-02-07,24.370641708374023
2000-02-08,25.62628746032715
2000-02-09,24.503822326660156
2000-02-10,24.085277557373047
2000-02-11,23.9140625
2000-02-14,23.971141815185547
2000-02-15,24.408693313598633
2000-02-16,24.161378860473633
2000-02-17,23.647706985473633
2000-02-18,22.54427146911621
2000-02-22,23.32428741455078
2000-02-23,22.56330108642578
2000-02-24,22.10670280456543
2000-02-25,21.840362548828125
2000-02-28,22.430139541625977
2000-02-29,22.182796478271484
2000-03-01,21.992551803588867
2000-03-02,21.97353744506836
2000-03-03,21.954511642456055
2000-03-06,21.440839767456055
2000-03-07,20.05203628540039
2000-03-08,19.291053771972656
2000-03-09,20.280336380004883
2000-03-10,20.58473014831543
2000-03-13,20.489599227905273
2000-03-14,20.185216903686523
2000-03-15,22.163793563842773
2000-03-16,26.120925903320312
2000-03-17,26.292133331298828
2000-03-20,25.835561752319336
2000-03-21,26.558488845825195
2000-03-22,28.156558990478516
2000-03-23,30.572696685791016
2000-03-24,28.499013900756836
2000-03-27,28.023380279541016
2000-03-28,28.78436851501465
2000-03-29,29.450252532958984
2000-03-30,28.45094108581543
2000-03-31,29.53713607788086
2000-04-03,32.35744094848633
2000-04-04,31.175989151000977
2000-04-05,30.75676155090332
2000-04-06,29.55619239807129
2000-04-07,28.58432388305664
2000-04-10,29.727706909179688
2000-04-11,29.842044830322266
2000-04-12,30.909175872802734
2000-04-13,29.59432029724121
2000-04-14,26.564355850219727
2000-04-17,27.49812126159668
2000-04-18,29.727706909179688
2000-04-19,28.54621696472168
2000-04-20,29.251296997070312
2000-04-24,30.35655975341797
2000-04-25,31.690505981445312
2000-04-26,30.470890045166016
2000-04-27,30.16600799560547
2000-04-28,29.53713607788086
