Date,ATO
2000-01-03,7.620552062988281
2000-01-04,7.430629253387451
2000-01-05,7.668031215667725
2000-01-06,7.549330234527588
2000-01-07,7.620552062988281
2000-01-10,7.52559232711792
2000-01-11,7.52559232711792
2000-01-12,7.40688943862915
2000-01-13,7.264448642730713
2000-01-14,7.145749568939209
2000-01-18,7.122009754180908
2000-01-19,7.074530601501465
2000-01-20,7.050790309906006
2000-01-21,6.93209171295166
2000-01-24,6.93209171295166
2000-01-25,6.742170333862305
2000-01-26,6.4335479736328125
2000-01-27,6.457289218902588
2000-01-28,6.362327575683594
2000-01-31,6.647205829620361
2000-02-01,6.742170333862305
2000-02-02,6.623467922210693
2000-02-03,6.765909194946289
2000-02-04,6.718428611755371
2000-02-07,6.599728584289551
2000-02-08,6.575991630554199
2000-02-09,6.599728584289551
2000-02-10,6.528506278991699
2000-02-11,6.029968738555908
2000-02-14,6.386068820953369
2000-02-15,6.623467922210693
2000-02-16,6.742170333862305
2000-02-17,6.78964900970459
2000-02-18,6.528506278991699
2000-02-22,6.291107177734375
2000-02-23,6.401259422302246
2000-02-24,6.1838531494140625
2000-02-25,6.111390590667725
2000-02-28,6.280484199523926
2000-02-29,6.6186604499816895
2000-03-01,6.377103805541992
2000-03-02,6.328793525695801
2000-03-03,6.111390590667725
2000-03-06,6.1838531494140625
2000-03-07,6.014766693115234
2000-03-08,6.014766693115234
2000-03-09,6.232170581817627
2000-03-10,6.038922309875488
2000-03-13,6.6186604499816895
2000-03-14,6.666972637176514
2000-03-15,6.836062431335449
2000-03-16,7.198396682739258
2000-03-17,7.101774215698242
2000-03-20,7.101774215698242
2000-03-21,6.787748336791992
2000-03-22,6.739436626434326
2000-03-23,7.00515079498291
2000-03-24,6.739436626434326
2000-03-27,6.666972637176514
2000-03-28,6.522035121917725
2000-03-29,6.425413608551025
2000-03-30,6.280484199523926
2000-03-31,6.328793525695801
2000-04-03,6.256322860717773
2000-04-04,6.111390590667725
2000-04-05,5.9906110763549805
2000-04-06,5.9906110763549805
2000-04-07,5.9906110763549805
2000-04-10,5.942302703857422
2000-04-11,5.942302703857422
2000-04-12,5.966455459594727
2000-04-13,5.966455459594727
2000-04-14,5.942302703857422
2000-04-17,5.797366142272949
2000-04-18,5.773211479187012
2000-04-19,5.74905252456665
2000-04-20,5.724898815155029
2000-04-24,5.700743198394775
2000-04-25,5.700743198394775
2000-04-26,5.700743198394775
2000-04-27,5.9906110763549805
2000-04-28,6.1355462074279785
2000-05-01,6.1838531494140625
2000-05-02,6.159701824188232
2000-05-03,6.1355462074279785
2000-05-04,6.1838531494140625
2000-05-05,6.159701824188232
2000-05-08,6.159701824188232
2000-05-09,6.014766693115234
2000-05-10,5.966455459594727
2000-05-11,6.063078880310059
2000-05-12,6.159701824188232
2000-05-15,6.1355462074279785
2000-05-16,6.377103805541992
2000-05-17,6.256322860717773
2000-05-18,6.208014965057373
2000-05-19,6.232170581817627
2000-05-22,6.328793525695801
2000-05-23,6.170474529266357
2000-05-24,6.170474529266357
2000-05-25,5.973804950714111
2000-05-26,6.514645576477051
2000-05-30,6.735895156860352
2000-05-31,7.202983856201172
2000-06-01,7.473404407501221
2000-06-02,7.32590389251709
2000-06-05,7.3504862785339355
2000-06-06,7.375067710876465
2000-06-07,7.5225677490234375
2000-06-08,7.5225677490234375
2000-06-09,7.497988700866699
2000-06-12,7.5225677490234375
2000-06-13,7.6209001541137695
2000-06-14,7.571739196777344
2000-06-15,7.768403053283691
2000-06-16,7.915909290313721
2000-06-19,8.087991714477539
2000-06-20,7.866735458374023
2000-06-21,7.866735458374023
2000-06-22,7.866735458374023
2000-06-23,7.768403053283691
2000-06-26,7.67006778717041
2000-06-27,7.448817253112793
2000-06-28,7.866735458374023
2000-06-29,7.6454877853393555
2000-06-30,6.88954496383667
2000-07-03,7.571739196777344
2000-07-05,7.276730537414551
2000-07-06,7.547152519226074
2000-07-07,7.79298734664917
2000-07-10,8.038822174072266
2000-07-11,8.014240264892578
2000-07-12,8.014240264892578
2000-07-13,7.866735458374023
2000-07-14,7.768403053283691
2000-07-17,7.915909290313721
2000-07-18,7.79298734664917
2000-07-19,7.768403053283691
2000-07-20,7.989652633666992
2000-07-21,7.965077877044678
2000-07-24,7.817571640014648
2000-07-25,7.79298734664917
2000-07-26,7.79298734664917
2000-07-27,7.743824005126953
2000-07-28,7.743824005126953
2000-07-31,8.11257266998291
2000-08-01,7.915909290313721
2000-08-02,8.11257266998291
2000-08-03,8.161738395690918
2000-08-04,8.260076522827148
2000-08-07,8.260076522827148
2000-08-08,8.382993698120117
2000-08-09,8.456745147705078
2000-08-10,8.309249877929688
2000-08-11,8.555078506469727
2000-08-14,8.825494766235352
2000-08-15,8.899247169494629
2000-08-16,8.948412895202637
2000-08-17,9.145081520080566
2000-08-18,8.874662399291992
2000-08-21,8.80091381072998
2000-08-22,8.702582359313965
2000-08-23,8.517292976379395
2000-08-24,8.367864608764648
2000-08-25,8.392769813537598
2000-08-28,8.367864608764648
2000-08-29,8.318053245544434
2000-08-30,8.293152809143066
2000-08-31,8.268240928649902
2000-09-01,7.894680023193359
2000-09-05,7.844878196716309
2000-09-06,7.894680023193359
2000-09-07,7.969395160675049
2000-09-08,7.894680023193359
2000-09-11,7.969395160675049
2000-09-12,8.168630599975586
2000-09-13,8.417677879333496
2000-09-14,8.791240692138672
2000-09-15,8.865954399108887
2000-09-18,8.467483520507812
2000-09-19,8.417677879333496
2000-09-20,8.567099571228027
2000-09-21,8.392769813537598
2000-09-22,8.467483520507812
2000-09-25,8.143723487854004
2000-09-26,8.193535804748535
2000-09-27,8.069015502929688
2000-09-28,8.318053245544434
2000-09-29,8.218439102172852
2000-10-02,8.168630599975586
2000-10-03,7.969395160675049
2000-10-04,7.919585227966309
2000-10-05,7.969395160675049
2000-10-06,7.695446491241455
2000-10-09,7.919585227966309
