Date,HAL
2000-01-03,12.563210487365723
2000-01-04,12.624700546264648
2000-01-05,12.071343421936035
2000-01-06,12.563210487365723
2000-01-07,13.342012405395508
2000-01-10,12.809142112731934
2000-01-11,13.280523300170898
2000-01-12,12.378761291503906
2000-01-13,12.542719841003418
2000-01-14,12.645191192626953
2000-01-18,13.669925689697266
2000-01-19,13.833879470825195
2000-01-20,13.382997512817383
2000-01-21,13.895360946655273
2000-01-24,13.075580596923828
2000-01-25,13.11656665802002
2000-01-26,12.68618106842041
2000-01-27,12.296781539916992
2000-01-28,11.743427276611328
2000-01-31,11.845903396606445
2000-02-01,11.92788314819336
2000-02-02,12.173809051513672
2000-02-03,12.255796432495117
2000-02-04,12.071343421936035
2000-02-07,12.255796432495117
2000-02-08,12.09183406829834
2000-02-09,11.640955924987793
2000-02-10,11.620455741882324
2000-02-11,11.231062889099121
2000-02-14,11.784417152404785
2000-02-15,12.624700546264648
2000-02-16,12.829643249511719
2000-02-17,12.624700546264648
2000-02-18,12.030354499816895
2000-02-22,11.640955924987793
2000-02-23,11.251556396484375
2000-02-24,11.620455741882324
2000-02-25,11.046611785888672
2000-02-28,11.477001190185547
2000-02-29,12.567103385925293
2000-03-01,13.472103118896484
2000-03-02,13.883467674255371
2000-03-03,13.451539993286133
2000-03-06,13.57494068145752
2000-03-07,14.644485473632812
2000-03-08,13.122448921203613
2000-03-09,13.204715728759766
2000-03-10,13.019607543945312
2000-03-13,12.793354034423828
2000-03-14,12.556821823120117
2000-03-15,12.464264869689941
2000-03-16,12.95789623260498
2000-03-17,12.628809928894043
2000-03-20,11.90893268585205
2000-03-21,12.340855598449707
2000-03-22,12.731653213500977
2000-03-23,12.464264869689941
2000-03-24,12.834494590759277
2000-03-27,12.546541213989258
2000-03-28,12.402565956115723
2000-03-29,13.245855331420898
2000-03-30,13.348688125610352
2000-03-31,13.533797264099121
2000-04-03,13.986296653747559
2000-04-04,13.163578033447266
2000-04-05,12.505404472351074
2000-04-06,12.896200180053711
2000-04-07,13.040180206298828
2000-04-10,12.608240127563477
2000-04-11,13.225288391113281
2000-04-12,13.4309663772583
2000-04-13,12.93732738494873
2000-04-14,12.793354034423828
2000-04-17,12.649377822875977
2000-04-18,13.718923568725586
2000-04-19,13.636648178100586
2000-04-20,13.904034614562988
2000-04-24,13.698348045349121
2000-04-25,13.636648178100586
2000-04-26,14.356529235839844
2000-04-27,14.973583221435547
2000-04-28,14.541646003723145
2000-05-01,14.56221866607666
2000-05-02,15.590625762939453
2000-05-03,14.891297340393066
2000-05-04,15.467203140258789
2000-05-05,15.426076889038086
2000-05-08,15.919705390930176
2000-05-09,16.104825973510742
2000-05-10,16.187084197998047
2000-05-11,16.57788848876953
2000-05-12,16.48532485961914
2000-05-15,16.96867561340332
2000-05-16,16.948104858398438
2000-05-17,16.783573150634766
2000-05-18,16.331079483032227
