Date,CHRW
2000-01-03,5.997668266296387
2000-01-04,5.79646635055542
2000-01-05,5.719819068908691
2000-01-06,5.748564720153809
2000-01-07,5.825211048126221
2000-01-10,6.083893299102783
2000-01-11,5.988086700439453
2000-01-12,6.035991191864014
2000-01-13,6.093478202819824
2000-01-14,6.131799697875977
2000-01-18,6.083893299102783
2000-01-19,6.265934467315674
2000-01-20,6.198866367340088
2000-01-21,6.026411056518555
2000-01-24,6.313841819763184
2000-01-25,6.208449363708496
2000-01-26,6.246772766113281
2000-01-27,6.12222146987915
2000-01-28,6.361743927001953
2000-01-31,6.237191200256348
2000-02-01,6.323421478271484
2000-02-02,6.524616718292236
2000-02-03,6.51503849029541
2000-02-04,6.562942981719971
2000-02-07,6.668334007263184
2000-02-08,6.77372407913208
2000-02-09,7.338998317718506
2000-02-10,7.233610153198242
2000-02-11,6.677915573120117
2000-02-14,6.6300129890441895
2000-02-15,6.400067329406738
2000-02-16,6.534196853637695
2000-02-17,6.457547187805176
2000-02-18,6.246772766113281
2000-02-22,6.361743927001953
2000-02-23,6.850368022918701
2000-02-24,6.936599254608154
2000-02-25,7.037201881408691
2000-02-28,7.588102340698242
2000-02-29,7.818046569824219
2000-03-01,7.70307731628418
2000-03-02,7.612058162689209
2000-03-03,7.607264995574951
2000-03-06,7.609954833984375
2000-03-07,7.821073055267334
2000-03-08,7.811479091644287
2000-03-09,7.734705924987793
2000-03-10,7.590758323669434
2000-03-13,7.466005802154541
2000-03-14,7.072551250457764
2000-03-15,6.976588249206543
2000-03-16,6.765467643737793
2000-03-17,6.400805950164795
2000-03-20,6.160892486572266
2000-03-21,6.304841995239258
2000-03-22,6.45837926864624
2000-03-23,6.45837926864624
2000-03-24,6.448783874511719
2000-03-27,6.429594039916992
2000-03-28,6.429594039916992
2000-03-29,6.218472003936768
2000-03-30,6.074528217315674
2000-03-31,5.719460964202881
2000-04-03,5.373988628387451
2000-04-04,6.199278354644775
2000-04-05,6.0457377433776855
2000-04-06,6.199278354644775
2000-04-07,6.669507026672363
2000-04-10,6.400805950164795
2000-04-11,6.467979431152344
2000-04-12,7.06295919418335
2000-04-13,6.765467643737793
2000-04-14,6.333630084991455
2000-04-17,6.343226432800293
2000-04-18,6.909415245056152
2000-04-19,7.202104568481445
2000-04-20,7.370043754577637
2000-04-24,7.504392623901367
2000-04-25,7.590758323669434
2000-04-26,7.398829936981201
2000-04-27,7.561972141265869
2000-04-28,7.677127838134766
2000-05-01,7.734705924987793
2000-05-02,7.7730889320373535
2000-05-03,7.274082183837891
2000-05-04,7.427618503570557
2000-05-05,7.965017795562744
2000-05-08,7.926635265350342
2000-05-09,7.955426216125488
2000-05-10,7.897843837738037
2000-05-11,7.945826053619385
2000-05-12,7.941030025482178
2000-05-15,7.9362311363220215
2000-05-16,7.48520040512085
2000-05-17,7.014977931976318
2000-05-18,6.813450336456299
2000-05-19,6.77506160736084
2000-05-22,6.823047637939453
2000-05-23,7.312461853027344
2000-05-24,7.2644829750061035
2000-05-25,7.06295919418335
2000-05-26,7.06295919418335
2000-05-30,6.9669928550720215
2000-05-31,6.899818420410156
2000-06-01,7.341251373291016
2000-06-02,7.06295919418335
2000-06-05,6.995778560638428
2000-06-06,6.914211750030518
2000-06-07,6.890220642089844
2000-06-08,6.633349895477295
2000-06-09,6.647766590118408
2000-06-12,7.133250713348389
2000-06-13,7.210158348083496
2000-06-14,7.239002704620361
2000-06-15,7.200546741485596
2000-06-16,7.267838001251221
2000-06-19,7.075572967529297
2000-06-20,6.77755069732666
2000-06-21,6.537213325500488
2000-06-22,6.383394718170166
2000-06-23,6.421848297119141
2000-06-26,6.421848297119141
2000-06-27,6.393013000488281
2000-06-28,6.537213325500488
2000-06-29,6.393013000488281
2000-06-30,7.613925933837891
2000-07-03,7.296681880950928
2000-07-05,7.344750881195068
2000-07-06,7.229388236999512
2000-07-07,7.3062968254089355
2000-07-10,7.690838813781738
