Date,WMB
2000-01-03,8.723987579345703
2000-01-04,8.530511856079102
2000-01-05,9.058176040649414
2000-01-06,9.251646995544434
2000-01-07,9.497884750366211
2000-01-10,9.322002410888672
2000-01-11,9.216468811035156
2000-01-12,9.093350410461426
2000-01-13,9.304411888122559
2000-01-14,9.832075119018555
2000-01-18,10.289385795593262
2000-01-19,10.078317642211914
2000-01-20,10.693923950195312
2000-01-21,11.028104782104492
2000-01-24,10.570798873901367
2000-01-25,10.412501335144043
2000-01-26,11.432644844055176
2000-01-27,10.92257022857666
2000-01-28,10.641157150268555
2000-01-31,10.711511611938477
2000-02-01,10.693923950195312
2000-02-02,10.869808197021484
2000-02-03,10.746689796447754
2000-02-04,10.570798873901367
2000-02-07,10.817036628723145
2000-02-08,11.678885459899902
2000-02-09,11.52059268951416
2000-02-10,11.889952659606934
2000-02-11,11.81959342956543
2000-02-14,11.802003860473633
2000-02-15,12.136192321777344
2000-02-16,12.663853645324707
2000-02-17,12.224137306213379
2000-02-18,11.81959342956543
2000-02-22,11.573355674743652
2000-02-23,11.46782112121582
2000-02-24,11.309531211853027
2000-02-25,11.045695304870605
2000-02-28,11.538179397583008
2000-02-29,11.766826629638672
2000-03-01,12.575909614562988
2000-03-02,12.681442260742188
2000-03-03,13.279458045959473
2000-03-06,13.508111953735352
2000-03-07,13.701583862304688
2000-03-08,13.020565032958984
2000-03-09,12.861772537231445
2000-03-10,13.743927955627441
2000-03-13,13.073494911193848
2000-03-14,12.949989318847656
2000-03-15,12.826489448547363
2000-03-16,13.002925872802734
2000-03-17,12.844139099121094
2000-03-20,12.455984115600586
2000-03-21,12.932347297668457
2000-03-22,12.650066375732422
2000-03-23,12.561845779418945
2000-03-24,12.191341400146484
2000-03-27,12.702987670898438
2000-03-28,11.732623100280762
2000-03-29,12.385416030883789
2000-03-30,12.261911392211914
2000-03-31,12.403058052062988
2000-04-03,12.314844131469727
2000-04-04,11.50326156616211
2000-04-05,11.273903846740723
2000-04-06,11.679692268371582
2000-04-07,11.926700592041016
2000-04-10,11.50326156616211
2000-04-11,11.044544219970703
2000-04-12,10.568182945251465
2000-04-13,10.93868637084961
2000-04-14,10.2682466506958
2000-04-17,10.444680213928223
2000-04-18,10.356466293334961
2000-04-19,10.832820892333984
2000-04-20,10.691682815551758
2000-04-24,10.303535461425781
2000-04-25,10.638749122619629
2000-04-26,10.585824012756348
2000-04-27,10.427040100097656
2000-04-28,10.585824012756348
2000-05-01,10.832820892333984
2000-05-02,11.044544219970703
2000-05-03,10.550538063049316
2000-05-04,10.691682815551758
2000-05-05,10.621109008789062
2000-05-08,10.815180778503418
2000-05-09,10.603463172912598
2000-05-10,10.021245956420898
2000-05-11,10.559364318847656
2000-05-12,11.150402069091797
2000-05-15,11.309187889099121
2000-05-16,11.273903846740723
2000-05-17,11.220970153808594
2000-05-18,11.32682991027832
2000-05-19,11.097474098205566
2000-05-22,10.973970413208008
2000-05-23,11.115111351013184
2000-05-24,10.76225471496582
2000-05-25,11.044544219970703
2000-05-26,10.956323623657227
2000-05-30,11.485615730285645
2000-05-31,11.732623100280762
2000-06-01,12.279553413391113
2000-06-02,12.138409614562988
2000-06-05,11.909052848815918
2000-06-06,12.138409614562988
2000-06-07,11.649763107299805
2000-06-08,12.039258003234863
2000-06-09,11.809098243713379
2000-06-12,11.986148834228516
2000-06-13,12.021559715270996
2000-06-14,12.269425392150879
2000-06-15,12.110090255737305
2000-06-16,12.021559715270996
2000-06-19,11.933035850524902
2000-06-20,12.216315269470215
2000-06-21,12.605822563171387
2000-06-22,12.499588966369629
2000-06-23,12.322550773620605
2000-06-26,12.340246200561523
2000-06-27,10.693699836730957
2000-06-28,11.393038749694824
2000-06-29,11.331070899963379
2000-06-30,11.809098243713379
2000-07-03,11.897628784179688
2000-07-05,11.61435317993164
2000-07-06,11.525824546813965
2000-07-07,11.596650123596191
2000-07-10,11.933035850524902
2000-07-11,11.933035850524902
2000-07-12,12.039258003234863
2000-07-13,11.87992000579834
2000-07-14,12.145491600036621
2000-07-17,11.782544136047363
2000-07-18,11.809098243713379
2000-07-19,12.039258003234863
2000-07-20,11.87992000579834
2000-07-21,11.862214088439941
2000-07-24,12.145491600036621
2000-07-25,12.464176177978516
2000-07-26,12.127788543701172
2000-07-27,11.826807975769043
2000-07-28,11.618775367736816
2000-07-31,11.87992000579834
2000-08-01,12.375656127929688
2000-08-02,12.694344520568848
2000-08-03,12.411066055297852
2000-08-04,12.486315727233887
2000-08-07,12.946632385253906
2000-08-08,13.221060752868652
2000-08-09,13.296305656433105
2000-08-10,13.21220874786377
2000-08-11,13.154671669006348
2000-08-14,13.367125511169434
2000-08-15,13.314006805419922
2000-08-16,13.247620582580566
2000-08-17,13.402536392211914
2000-08-18,13.083847045898438
2000-08-21,13.136962890625
2000-08-22,12.906797409057617
2000-08-23,13.091540336608887
2000-08-24,13.038250923156738
2000-08-25,13.286935806274414
2000-08-28,13.429035186767578
2000-08-29,13.269166946411133
2000-08-30,12.998278617858887
2000-08-31,13.09597110748291
2000-09-01,13.45124340057373
2000-09-05,13.357989311218262
2000-09-06,13.53562068939209
2000-09-07,13.411273002624512
2000-09-08,13.056009292602539
2000-09-11,13.371315002441406
2000-09-12,13.446807861328125
2000-09-13,12.807321548461914
2000-09-14,12.918352127075195
2000-09-15,13.056009292602539
2000-09-18,12.72294807434082
2000-09-19,12.345483779907227
2000-09-20,12.061264991760254
2000-09-21,11.528366088867188
2000-09-22,11.364059448242188
2000-09-25,11.399580001831055
2000-09-26,11.74152946472168
2000-09-27,11.812583923339844
2000-09-28,11.905844688415527
2000-09-29,12.007978439331055
2000-10-02,12.256661415100098
2000-10-03,12.48758602142334
2000-10-04,12.20337963104248
2000-10-05,12.292198181152344
2000-10-06,12.043499946594238
2000-10-09,12.36324405670166
2000-10-10,12.523112297058105
2000-10-11,12.309955596923828
2000-10-12,12.132323265075684
2000-10-13,11.865870475769043
2000-10-16,11.93692398071289
2000-10-17,11.848111152648926
2000-10-18,11.63494873046875
2000-10-19,11.652714729309082
2000-10-20,11.439554214477539
2000-10-23,11.457314491271973
2000-10-24,11.368498802185059
2000-10-25,11.013236045837402
2000-10-26,10.977706909179688
2000-10-27,11.155336380004883
2000-10-30,11.368498802185059
2000-10-31,11.883635520935059
2000-11-01,12.185608863830566
2000-11-02,12.007978439331055
2000-11-03,11.759294509887695
2000-11-06,11.865870475769043
2000-11-07,12.20337963104248
2000-11-08,12.452059745788574
2000-11-09,12.025744438171387
2000-11-10,11.919157028198242
2000-11-13,11.652714729309082
2000-11-14,11.794816970825195
2000-11-15,11.865870475769043
2000-11-16,11.848111152648926
2000-11-17,11.919157028198242
2000-11-20,11.670476913452148
2000-11-21,11.777055740356445
2000-11-22,11.510604858398438
2000-11-24,11.546136856079102
2000-11-27,11.599421501159668
2000-11-28,11.492840766906738
2000-11-29,10.355988502502441
2000-11-30,10.0540189743042
2000-12-01,9.929671287536621
2000-12-04,10.46257495880127
2000-12-05,10.6046781539917
2000-12-06,10.397790908813477
2000-12-07,10.362120628356934
2000-12-08,10.433462142944336
2000-12-11,10.504801750183105
2000-12-12,10.57614517211914
2000-12-13,10.647482872009277
2000-12-14,9.827077865600586
2000-12-15,9.898412704467773
2000-12-18,9.987587928771973
2000-12-19,9.862738609313965
2000-12-20,9.648724555969238
2000-12-21,9.078003883361816
2000-12-22,9.38120174407959
2000-12-26,10.683152198791504
2000-12-27,11.039851188659668
2000-12-28,11.50356674194336
2000-12-29,11.396553993225098
2001-01-02,10.825833320617676
2001-01-03,10.7009859085083
2001-01-04,10.094599723815918
2001-01-05,10.48697280883789
2001-01-08,10.61181354522705
2001-01-09,9.862738609313965
2001-01-10,10.00541877746582
2001-01-11,10.255111694335938
2001-01-12,10.344284057617188
2001-01-16,10.30861759185791
2001-01-17,10.52264404296875
2001-01-18,10.807997703552246
2001-01-19,10.897173881530762
2001-01-22,11.129027366638184
2001-01-23,11.200362205505371
2001-01-24,11.200362205505371
2001-01-25,11.432221412658691
2001-01-26,11.111193656921387
2001-01-29,11.15185832977295
2001-01-30,11.214635848999023
2001-01-31,11.166122436523438
2001-02-01,11.117609024047852
2001-02-02,11.157563209533691
2001-02-05,11.591310501098633
2001-02-06,11.557064056396484
2001-02-07,11.870956420898438
2001-02-08,12.15632152557373
2001-02-09,12.267614364624023
2001-02-12,12.550116539001465
2001-02-13,12.864013671875
2001-02-14,12.883988380432129
2001-02-15,12.667115211486816
2001-02-16,12.384611129760742
2001-02-20,12.059304237365723
2001-02-21,11.885224342346191
2001-02-22,11.92518138885498
2001-02-23,11.896644592285156
2001-02-26,11.967987060546875
2001-02-27,11.69688606262207
2001-02-28,11.89949893951416
2001-03-01,12.336100578308105
2001-03-02,12.627164840698242
2001-03-05,12.832622528076172
2001-03-06,12.698504447937012
2001-03-07,13.099361419677734
2001-03-08,13.142312049865723
2001-03-09,12.887481689453125
2001-03-12,12.369232177734375
2001-03-13,12.326281547546387
2001-03-14,11.968379020690918
2001-03-15,12.383552551269531
2001-03-16,12.080042839050293
2001-03-19,12.15162181854248
2001-03-20,12.449403762817383
2001-03-21,11.865300178527832
2001-03-22,10.937604904174805
2001-03-23,11.564655303955078
2001-03-26,11.753634452819824
2001-03-27,12.311965942382812
2001-03-28,11.982695579528809
2001-03-29,11.739315032958984
2001-03-30,12.26901626586914
2001-04-02,12.469447135925293
2001-04-03,11.495935440063477
2001-04-04,11.527438163757324
2001-04-05,11.985560417175293
2001-04-06,11.67918586730957
2001-04-09,11.739315032958984
2001-04-10,12.283329963684082
2001-04-11,12.280473709106445
2001-04-12,12.22607135772705
2001-04-16,12.409314155578613
2001-04-17,12.412175178527832
2001-04-18,12.2546968460083
2001-04-19,11.954058647155762
2001-04-20,11.782258987426758
2001-04-23,12.054280281066895
2001-04-24,12.429243087768555
2001-04-25,12.569601058959961
2001-04-26,13.333749771118164
2001-04-27,13.552077293395996
2001-04-30,13.152849197387695
2001-05-01,13.530252456665039
2001-05-02,12.55711841583252
2001-05-03,12.68188190460205
2001-05-04,12.99690055847168
2001-05-07,12.251460075378418
2001-05-08,12.332549095153809
2001-05-09,12.588305473327637
2001-05-10,12.741140365600586
2001-05-11,12.54776382446289
2001-05-14,12.535292625427246
2001-05-15,12.500977516174316
2001-05-16,12.616382598876953
2001-05-17,12.635088920593262
2001-05-18,13.024971008300781
2001-05-21,13.1434907913208
2001-05-22,12.990669250488281
2001-05-23,13.062400817871094
2001-05-24,13.134142875671387
2001-05-25,12.881494522094727
2001-05-29,12.494741439819336
2001-05-30,12.273296356201172
2001-05-31,12.288885116577148
2001-06-01,12.179716110229492
2001-06-04,12.226509094238281
2001-06-05,11.914607048034668
2001-06-06,11.58581256866455
2001-06-07,11.541985511779785
2001-06-08,11.79248046875
