Date,LNT
2000-01-03,4.495738983154297
2000-01-04,4.495738983154297
2000-01-05,4.715808868408203
2000-01-06,4.715808868408203
2000-01-07,4.778685092926025
2000-01-10,4.789167881011963
2000-01-11,4.778685092926025
2000-01-12,4.83108377456665
2000-01-13,4.873002052307129
2000-01-14,4.810122966766357
2000-01-18,4.778685092926025
2000-01-19,4.820602893829346
2000-01-20,5.0092387199401855
2000-01-21,5.606574058532715
2000-01-24,5.805685043334961
2000-01-25,5.239787578582764
2000-01-26,5.12451171875
2000-01-27,5.0925517082214355
2000-01-28,5.06058931350708
2000-01-31,5.08189582824707
2000-02-01,5.08189582824707
2000-02-02,4.92209005355835
2000-02-03,5.028626918792725
2000-02-04,4.954049110412598
2000-02-07,4.954049110412598
2000-02-08,4.96470308303833
2000-02-09,4.996667385101318
2000-02-10,5.071245193481445
2000-02-11,5.145818710327148
2000-02-14,5.188434600830078
2000-02-15,5.348242282867432
2000-02-16,5.305628776550293
2000-02-17,5.273665904998779
2000-02-18,5.156474590301514
2000-02-22,5.113860130310059
2000-02-23,5.028626918792725
2000-02-24,4.954049110412598
2000-02-25,4.847512722015381
2000-02-28,4.836859703063965
2000-02-29,4.794241905212402
2000-03-01,4.751626014709473
2000-03-02,4.687702655792236
2000-03-03,4.67704963684082
2000-03-06,4.655739784240723
2000-03-07,4.709010124206543
2000-03-08,4.868823528289795
2000-03-09,4.868823528289795
2000-03-10,4.826202392578125
2000-03-13,4.740972518920898
2000-03-14,4.6983561515808105
2000-03-15,4.762279033660889
2000-03-16,5.263012886047363
2000-03-17,4.996667385101318
2000-03-20,5.03928279876709
2000-03-21,4.96470308303833
2000-03-22,4.836859703063965
2000-03-23,4.96470308303833
2000-03-24,4.932742118835449
2000-03-27,4.826202392578125
2000-03-28,4.730319976806641
2000-03-29,4.911433219909668
2000-03-30,4.996667385101318
2000-03-31,5.188434600830078
2000-04-03,5.06058931350708
2000-04-04,5.007320880889893
2000-04-05,5.12451171875
2000-04-06,5.028626918792725
2000-04-07,4.986011028289795
2000-04-10,5.028626918792725
2000-04-11,5.071245193481445
2000-04-12,5.103205680847168
2000-04-13,5.145818710327148
2000-04-14,4.975357532501221
2000-04-17,5.0925517082214355
2000-04-18,5.1671295166015625
2000-04-19,5.113860130310059
2000-04-20,5.12451171875
2000-04-24,5.1671295166015625
2000-04-25,5.231051921844482
2000-04-26,5.490980625152588
2000-04-27,5.350183963775635
2000-04-28,5.19856071472168
2000-05-01,5.133576393127441
2000-05-02,4.960294723510742
2000-05-03,4.960294723510742
2000-05-04,5.1877288818359375
2000-05-05,5.003615379333496
2000-05-08,5.122747898101807
2000-05-09,5.0144429206848145
2000-05-10,5.068597793579102
2000-05-11,5.1660661697387695
2000-05-12,5.068597793579102
2000-05-15,5.241879940032959
2000-05-16,5.1660661697387695
2000-05-17,5.046936988830566
2000-05-18,5.101086616516113
2000-05-19,5.003615379333496
2000-05-22,5.025277614593506
2000-05-23,4.8953118324279785
2000-05-24,4.91697359085083
2000-05-25,4.841160297393799
2000-05-26,4.938630104064941
2000-05-30,4.884481906890869
2000-05-31,4.797839641571045
2000-06-01,4.9061408042907715
2000-06-02,4.960294723510742
2000-06-05,4.808668613433838
2000-06-06,4.91697359085083
2000-06-07,4.873651027679443
2000-06-08,4.808668613433838
2000-06-09,4.91697359085083
2000-06-12,4.8953118324279785
2000-06-13,4.927801609039307
2000-06-14,4.884481906890869
2000-06-15,5.079425811767578
2000-06-16,5.133576393127441
2000-06-19,5.036104202270508
