Date,KMB
2000-01-03,25.75672721862793
2000-01-04,25.53013801574707
2000-01-05,25.404232025146484
2000-01-06,25.781906127929688
2000-01-07,26.537240982055664
2000-01-10,27.141498565673828
2000-01-11,26.537240982055664
2000-01-12,26.335813522338867
2000-01-13,26.562414169311523
2000-01-14,26.360977172851562
2000-01-18,25.807079315185547
2000-01-19,25.857440948486328
2000-01-20,25.882604598999023
2000-01-21,26.058849334716797
2000-01-24,25.404232025146484
2000-01-25,25.07692527770996
2000-01-26,26.15955924987793
2000-01-27,26.209915161132812
2000-01-28,25.429412841796875
2000-01-31,25.026569366455078
2000-02-01,24.79998016357422
2000-02-02,24.82516098022461
2000-02-03,25.15245819091797
2000-02-04,24.79998016357422
2000-02-07,24.724443435668945
2000-02-08,24.951032638549805
2000-02-09,24.573366165161133
2000-02-10,23.616622924804688
2000-02-11,23.33966636657715
2000-02-14,23.087902069091797
2000-02-15,23.364864349365234
2000-02-16,23.062725067138672
2000-02-17,22.156328201293945
2000-02-18,21.300289154052734
2000-02-22,22.282215118408203
2000-02-23,22.105958938598633
2000-02-24,21.45134162902832
2000-02-25,20.72119903564453
2000-02-28,20.910036087036133
2000-02-29,20.74637222290039
2000-03-01,19.68890380859375
2000-03-02,19.83997344970703
2000-03-03,20.872262954711914
2000-03-06,20.393892288208008
2000-03-07,18.27897071838379
2000-03-08,19.857425689697266
2000-03-09,20.338666915893555
2000-03-10,19.249547958374023
2000-03-13,19.32553482055664
2000-03-14,18.844303131103516
2000-03-15,20.61728286743164
2000-03-16,22.542232513427734
2000-03-17,21.88370132446289
2000-03-20,21.65574836730957
2000-03-21,21.47844696044922
2000-03-22,20.997207641601562
2000-03-23,21.65574836730957
2000-03-24,21.52910804748535
2000-03-27,21.07319450378418
2000-03-28,20.946548461914062
2000-03-29,21.52910804748535
2000-03-30,22.94748878479004
2000-03-31,22.71953773498535
2000-04-03,24.036609649658203
2000-04-04,23.935302734375
2000-04-05,22.643545150756836
2000-04-06,22.74485969543457
2000-04-07,22.79551124572754
2000-04-10,22.71953773498535
2000-04-11,23.327407836914062
2000-04-12,24.137920379638672
2000-04-13,24.517847061157227
2000-04-14,23.04880714416504
2000-04-17,23.808643341064453
2000-04-18,23.606027603149414
2000-04-19,23.50472640991211
2000-04-20,24.163238525390625
2000-04-24,24.46719741821289
2000-04-25,24.7204647064209
2000-04-26,24.315223693847656
2000-04-27,23.859310150146484
2000-04-28,23.4793758392334
2000-05-01,23.15011978149414
2000-05-02,23.45404624938965
2000-05-03,23.428733825683594
2000-05-04,23.682018280029297
2000-05-05,23.884634017944336
2000-05-08,23.757991790771484
2000-05-09,24.492523193359375
2000-05-10,24.315223693847656
2000-05-11,24.94843292236328
2000-05-12,24.403860092163086
2000-05-15,24.7204647064209
2000-05-16,24.821796417236328
