Date,COR
2000-01-03,2.4889614582061768
2000-01-04,2.319031238555908
2000-01-05,2.498955726623535
2000-01-06,2.688876152038574
2000-01-07,3.0387308597564697
2000-01-10,3.1186976432800293
2000-01-11,3.218656539916992
2000-01-12,3.218656539916992
2000-01-13,3.788418769836426
2000-01-14,3.5485177040100098
2000-01-18,3.398581027984619
2000-01-19,3.4085769653320312
2000-01-20,3.228651762008667
2000-01-21,3.078713893890381
2000-01-24,3.108701229095459
2000-01-25,2.998748540878296
2000-01-26,2.8987905979156494
2000-01-27,2.998748540878296
2000-01-28,2.998748540878296
2000-01-31,2.8987905979156494
2000-02-01,2.988752841949463
2000-02-02,3.018739700317383
2000-02-03,2.998748540878296
2000-02-04,2.9487690925598145
2000-02-07,2.9287757873535156
2000-02-08,2.8588056564331055
2000-02-09,2.7588484287261963
2000-02-10,2.7288599014282227
2000-02-11,2.638897657394409
2000-02-14,2.6189072132110596
2000-02-15,2.5389394760131836
2000-02-16,2.548936128616333
2000-02-17,2.6788806915283203
2000-02-18,2.5089528560638428
2000-02-22,2.518948554992676
2000-02-23,2.4789650440216064
2000-02-24,2.398998260498047
2000-02-25,2.2390646934509277
2000-02-28,2.319031238555908
2000-02-29,2.3290271759033203
2000-03-01,2.379004955291748
2000-03-02,2.389002561569214
2000-03-03,2.2890448570251465
2000-03-06,2.2190732955932617
2000-03-07,2.089128017425537
2000-03-08,2.069136381149292
2000-03-09,2.0791311264038086
2000-03-10,2.0791311264038086
2000-03-13,2.0591394901275635
2000-03-14,1.9191983938217163
2000-03-15,2.1890859603881836
2000-03-16,2.6089107990264893
2000-03-17,2.5289437770843506
2000-03-20,2.548936128616333
2000-03-21,2.558932065963745
2000-03-22,2.558932065963745
2000-03-23,2.40899395942688
2000-03-24,2.398998260498047
2000-03-27,2.389002561569214
2000-03-28,2.389002561569214
2000-03-29,2.398998260498047
2000-03-30,2.319031238555908
2000-03-31,2.398998260498047
2000-04-03,2.339024305343628
2000-04-04,2.4889614582061768
2000-04-05,2.568927526473999
2000-04-06,2.688876152038574
2000-04-07,2.6788806915283203
2000-04-10,2.4889614582061768
2000-04-11,2.7288599014282227
2000-04-12,2.788835287094116
2000-04-13,2.8488097190856934
2000-04-14,2.738856077194214
2000-04-17,2.778839349746704
2000-04-18,2.868802547454834
2000-04-19,2.8887939453125
2000-04-20,2.8887939453125
2000-04-24,2.8588056564331055
2000-04-25,2.988752841949463
2000-04-26,3.048727512359619
2000-04-27,3.1186976432800293
2000-04-28,3.198664903640747
2000-05-01,3.1186976432800293
2000-05-02,2.8887939453125
2000-05-03,2.8887939453125
2000-05-04,2.9187815189361572
2000-05-05,3.0387308597564697
2000-05-08,2.978756904602051
2000-05-09,2.978756904602051
2000-05-10,2.9087862968444824
2000-05-11,2.9087862968444824
2000-05-12,2.8288187980651855
2000-05-15,2.878798007965088
2000-05-16,3.198664903640747
2000-05-17,3.1686766147613525
2000-05-18,3.2086591720581055
2000-05-19,3.5185320377349854
2000-05-22,3.498539447784424
2000-05-23,3.6584739685058594
2000-05-24,4.078295707702637
2000-05-25,4.048312187194824
2000-05-26,3.978339910507202
2000-05-30,3.988332986831665
2000-05-31,3.878380298614502
2000-06-01,4.05830717086792
2000-06-02,4.0383148193359375
2000-06-05,3.8983726501464844
2000-06-06,4.198247909545898
2000-06-07,4.0982890129089355
2000-06-08,3.9683425426483154
2000-06-09,4.118278980255127
2000-06-12,4.1882500648498535
2000-06-13,4.678048610687256
2000-06-14,4.398165702819824
2000-06-15,4.578089714050293
2000-06-16,4.708033561706543
2000-06-19,4.598079681396484
2000-06-20,4.658054351806641
2000-06-21,4.648059368133545
2000-06-22,4.558096408843994
2000-06-23,4.548098564147949
2000-06-26,4.788002967834473
2000-06-27,4.488128185272217
2000-06-28,4.748018264770508
2000-06-29,4.9779229164123535
2000-06-30,4.9604268074035645
2000-07-03,4.8779616355896
2000-07-05,4.897953510284424
2000-07-06,5.427731037139893
2000-07-07,5.547683238983154
2000-07-10,5.557678699493408
2000-07-11,5.237814426422119
2000-07-12,5.1078667640686035
2000-07-13,4.9179463386535645
2000-07-14,4.86796760559082
2000-07-17,4.9179463386535645
2000-07-18,4.927941799163818
2000-07-19,4.7380218505859375
2000-07-20,4.927941799163818
2000-07-21,4.957930088043213
2000-07-24,5.007906436920166
2000-07-25,4.84797477722168
2000-07-26,5.0478901863098145
2000-07-27,5.277795314788818
2000-07-28,5.557678699493408
2000-07-31,5.587668418884277
2000-08-01,5.6076579093933105
2000-08-02,5.537687301635742
2000-08-03,5.697619438171387
2000-08-04,5.757596015930176
2000-08-07,6.057469844818115
2000-08-08,6.047476291656494
2000-08-09,5.9175286293029785
2000-08-10,5.8375630378723145
2000-08-11,5.957513809204102
2000-08-14,5.9175286293029785
2000-08-15,5.867547988891602
2000-08-16,5.667630672454834
2000-08-17,5.887542247772217
