Date,REGN
2000-01-03,12.211638450622559
2000-01-04,11.901700019836426
2000-01-05,11.405794143676758
2000-01-06,11.52977180480957
2000-01-07,12.893507957458496
2000-01-10,14.381220817565918
2000-01-11,13.978297233581543
2000-01-12,14.009291648864746
2000-01-13,14.071280479431152
2000-01-14,14.381220817565918
2000-01-18,16.860740661621094
2000-01-19,16.11688232421875
2000-01-20,15.125075340270996
2000-01-21,14.505195617675781
2000-01-24,14.474201202392578
2000-01-25,14.443207740783691
2000-01-26,13.947303771972656
2000-01-27,13.265435218811035
2000-01-28,12.459590911865234
2000-01-31,12.211638450622559
2000-02-01,12.521580696105957
2000-02-02,13.389410972595215
2000-02-03,12.76953125
2000-02-04,13.017483711242676
2000-02-07,12.95549488067627
2000-02-08,14.505195617675781
2000-02-09,13.513386726379395
2000-02-10,14.443207740783691
2000-02-11,15.620980262756348
2000-02-14,15.86893367767334
2000-02-15,14.877124786376953
2000-02-16,15.125075340270996
2000-02-17,17.97652244567871
2000-02-18,21.571828842163086
2000-02-22,20.703998565673828
2000-02-23,36.324981689453125
2000-02-24,36.448951721191406
2000-02-25,45.499202728271484
2000-02-28,44.755348205566406
2000-02-29,56.037166595458984
2000-03-01,52.999755859375
2000-03-02,49.99333190917969
2000-03-03,49.884857177734375
2000-03-06,50.21029281616211
2000-03-07,46.55299758911133
2000-03-08,41.407997131347656
2000-03-09,40.72612380981445
2000-03-10,39.672332763671875
2000-03-13,36.541934967041016
2000-03-14,29.32033348083496
2000-03-15,29.10337257385254
2000-03-16,27.02677345275879
2000-03-17,30.374126434326172
2000-03-20,27.1507511138916
2000-03-21,24.237314224243164
2000-03-22,31.241960525512695
2000-03-23,36.69690704345703
2000-03-24,35.76708221435547
2000-03-27,37.254798889160156
2000-03-28,33.47352981567383
2000-03-29,29.44430923461914
2000-03-30,28.452499389648438
2000-03-31,29.32033348083496
2000-04-03,28.26653480529785
2000-04-04,22.06773567199707
2000-04-05,21.385866165161133
2000-04-06,26.15894317626953
2000-04-07,27.460693359375
2000-04-10,23.3074951171875
2000-04-11,22.00574493408203
2000-04-12,19.09231185913086
2000-04-13,19.154296875
2000-04-14,17.29465675354004
2000-04-17,17.54261016845703
2000-04-18,24.671228408813477
2000-04-19,24.795207977294922
2000-04-20,23.865386962890625
2000-04-24,22.997554779052734
2000-04-25,25.29111099243164
2000-04-26,25.91098976135254
2000-04-27,25.787015914916992
2000-04-28,28.328523635864258
2000-05-01,29.692262649536133
2000-05-02,27.336713790893555
2000-05-03,26.90279769897461
2000-05-04,28.948402404785156
2000-05-05,30.002201080322266
2000-05-08,27.646656036376953
2000-05-09,26.90279769897461
2000-05-10,25.787015914916992
2000-05-11,25.41508674621582
2000-05-12,26.28291893005371
2000-05-15,26.77882194519043
2000-05-16,26.15894317626953
2000-05-17,24.91918182373047
2000-05-18,24.175325393676758
2000-05-19,23.431468963623047
2000-05-22,21.943758010864258
2000-05-23,20.889963150024414
2000-05-24,21.943758010864258
2000-05-25,19.836166381835938
2000-05-26,19.464237213134766
2000-05-30,20.827974319458008
2000-05-31,20.208093643188477
2000-06-01,24.671228408813477
2000-06-02,24.655733108520508
2000-06-05,23.92737579345703
2000-06-06,24.795207977294922
2000-06-07,26.344907760620117
2000-06-08,22.873579025268555
2000-06-09,26.90279769897461
2000-06-12,23.67942237854004
2000-06-13,24.609241485595703
2000-06-14,23.80340003967285
2000-06-15,23.369482040405273
2000-06-16,25.36859703063965
2000-06-19,24.91918182373047
2000-06-20,25.353099822998047
2000-06-21,27.646656036376953
2000-06-22,25.043161392211914
2000-06-23,25.477079391479492
2000-06-26,26.840810775756836
2000-06-27,24.547256469726562
2000-06-28,28.762441635131836
2000-06-29,29.692262649536133
2000-06-30,29.56828498840332
2000-07-03,28.886415481567383
2000-07-05,29.81623649597168
2000-07-06,28.700450897216797
2000-07-07,29.3823184967041
2000-07-10,29.506296157836914
2000-07-11,31.117984771728516
2000-07-12,29.44430923461914
2000-07-13,29.134366989135742
2000-07-14,27.522682189941406
2000-07-17,30.31214141845703
2000-07-18,28.948402404785156
2000-07-19,27.398704528808594
2000-07-20,28.204545974731445
2000-07-21,28.452499389648438
2000-07-24,28.514488220214844
2000-07-25,26.01947021484375
2000-07-26,27.894607543945312
2000-07-27,26.344907760620117
2000-07-28,24.423276901245117
2000-07-31,27.832618713378906
2000-08-01,28.328523635864258
2000-08-02,28.204545974731445
2000-08-03,28.700450897216797
2000-08-04,29.134366989135742
2000-08-07,29.940214157104492
2000-08-08,29.56828498840332
2000-08-09,29.44430923461914
2000-08-10,27.770631790161133
2000-08-11,29.196353912353516
2000-08-14,29.81623649597168
2000-08-15,33.22557830810547
2000-08-16,32.8536491394043
2000-08-17,33.22557830810547
2000-08-18,32.8536491394043
2000-08-21,32.10979461669922
2000-08-22,31.67587661743164
2000-08-23,30.870031356811523
2000-08-24,32.72967529296875
2000-08-25,32.72967529296875
2000-08-28,31.55190086364746
2000-08-29,32.667686462402344
2000-08-30,33.47352981567383
2000-08-31,35.1472053527832
2000-09-01,33.845462799072266
2000-09-05,32.48172378540039
2000-09-06,32.35774612426758
2000-09-07,32.667686462402344
2000-09-08,32.10979461669922
2000-09-11,30.870031356811523
2000-09-12,31.861841201782227
2000-09-13,31.67587661743164
2000-09-14,30.68406867980957
2000-09-15,35.705101013183594
2000-09-18,31.799850463867188
2000-09-19,32.48172378540039
2000-09-20,33.101593017578125
2000-09-21,31.489913940429688
2000-09-22,32.8536491394043
2000-09-25,32.8536491394043
2000-09-26,30.622079849243164
2000-09-27,30.746055603027344
2000-09-28,31.73786735534668
2000-09-29,32.35774612426758
2000-10-02,29.32033348083496
2000-10-03,29.506296157836914
2000-10-04,29.32033348083496
2000-10-05,28.204545974731445
2000-10-06,29.3823184967041
2000-10-09,28.82442855834961
2000-10-10,28.638465881347656
2000-10-11,26.90279769897461
2000-10-12,25.849002838134766
2000-10-13,25.72502899169922
2000-10-16,27.646656036376953
2000-10-17,25.66303825378418
2000-10-18,26.15894317626953
2000-10-19,27.460693359375
2000-10-20,25.5390625
2000-10-23,26.15894317626953
2000-10-24,25.477079391479492
2000-10-25,25.41508674621582
2000-10-26,25.972980499267578
2000-10-27,23.92737579345703
2000-10-30,21.199901580810547
2000-10-31,26.53087043762207
2000-11-01,25.787015914916992
2000-11-02,26.344907760620117
2000-11-03,25.849002838134766
2000-11-06,25.477079391479492
2000-11-07,25.2291259765625
2000-11-08,25.41508674621582
2000-11-09,25.2291259765625
2000-11-10,25.41508674621582
2000-11-13,23.431468963623047
2000-11-14,24.485265731811523
2000-11-15,25.787015914916992
2000-11-16,24.485265731811523
2000-11-17,24.733219146728516
2000-11-20,20.580020904541016
2000-11-21,20.703998565673828
2000-11-22,20.146102905273438
2000-11-24,22.873579025268555
2000-11-27,25.91098976135254
2000-11-28,26.96478843688965
2000-11-29,24.485265731811523
2000-11-30,24.175325393676758
2000-12-01,27.584667205810547
2000-12-04,27.336713790893555
2000-12-05,28.762441635131836
2000-12-06,29.258344650268555
2000-12-07,29.258344650268555
2000-12-08,32.60569381713867
2000-12-11,35.76708221435547
2000-12-12,34.71329116821289
2000-12-13,35.333168029785156
2000-12-14,34.77527618408203
2000-12-15,34.52732467651367
2000-12-18,39.672332763671875
2000-12-19,39.54835510253906
2000-12-20,36.01504135131836
2000-12-21,38.74251174926758
2000-12-22,38.6185302734375
2000-12-26,37.936668395996094
2000-12-27,37.19281005859375
2000-12-28,36.94485855102539
2000-12-29,34.97673797607422
2001-01-02,35.27117919921875
2001-01-03,33.78346633911133
2001-01-04,32.171783447265625
2001-01-05,30.870031356811523
