Date,MCHP
2000-01-03,5.415861129760742
2000-01-04,5.027235507965088
2000-01-05,5.067094802856445
2000-01-06,4.932568073272705
2000-01-07,4.803027153015137
2000-01-10,5.151795864105225
2000-01-11,4.967447280883789
2000-01-12,5.366038799285889
2000-01-13,5.679932117462158
2000-01-14,5.316214561462402
2000-01-18,5.256427764892578
2000-01-19,5.376002311706543
2000-01-20,5.595226287841797
2000-01-21,5.281335830688477
2000-01-24,5.1617631912231445
2000-01-25,5.380985736846924
2000-01-26,5.13186502456665
2000-01-27,4.952498912811279
2000-01-28,4.638608455657959
2000-01-31,5.0122880935668945
2000-02-01,5.017271518707275
2000-02-02,5.1219024658203125
2000-02-03,5.5404205322265625
2000-02-04,5.408390522003174
2000-02-07,5.5404205322265625
2000-02-08,5.661245346069336
2000-02-09,5.687403202056885
2000-02-10,5.948976993560791
2000-02-11,5.7098212242126465
2000-02-14,5.889190196990967
2000-02-15,5.732243061065674
2000-02-16,5.754666328430176
2000-02-17,5.948976993560791
2000-02-18,5.6948747634887695
2000-02-22,5.635086536407471
2000-02-23,5.911610126495361
2000-02-24,6.434762477874756
2000-02-25,6.105926990509033
2000-02-28,6.374969482421875
2000-02-29,7.466114521026611
2000-03-01,7.40259313583374
2000-03-02,7.391381740570068
2000-03-03,8.049056053161621
2000-03-06,8.385366439819336
2000-03-07,8.639472007751465
2000-03-08,8.310636520385742
2000-03-09,8.206003189086914
2000-03-10,8.273263931274414
2000-03-13,7.727692604064941
2000-03-14,7.219491481781006
2000-03-15,7.099909782409668
2000-03-16,7.271803855895996
2000-03-17,7.593166351318359
2000-03-20,7.406327724456787
2000-03-21,7.735169410705566
2000-03-22,7.794952869415283
2000-03-23,7.60064172744751
2000-03-24,7.817375659942627
2000-03-27,7.884641170501709
2000-03-28,7.391381740570068
2000-03-29,7.0475945472717285
2000-03-30,6.995283126831055
2000-03-31,7.86221981048584
2000-04-03,6.688863277435303
2000-04-04,6.928016662597656
2000-04-05,7.794952869415283
2000-04-06,8.019161224365234
2000-04-07,8.699259757995605
2000-04-10,7.914533615112305
2000-04-11,8.198530197143555
2000-04-12,7.479196548461914
2000-04-13,7.458642959594727
2000-04-14,6.29276180267334
2000-04-17,7.159700870513916
2000-04-18,7.787482261657715
2000-04-19,7.0625410079956055
2000-04-20,7.055070877075195
2000-04-24,6.883175373077393
2000-04-25,7.301697254180908
2000-04-26,6.815913677215576
2000-04-27,7.197071075439453
2000-04-28,7.4212751388549805
2000-05-01,7.413802146911621
2000-05-02,6.957913398742676
2000-05-03,7.167171001434326
2000-05-04,7.002756118774414
2000-05-05,7.144748687744141
2000-05-08,6.77854585647583
2000-05-09,6.546869277954102
2000-05-10,6.0760297775268555
2000-05-11,6.6739182472229
2000-05-12,6.658967971801758
2000-05-15,6.427288055419922
2000-05-16,7.0625410079956055
2000-05-17,6.808443069458008
