Date,WTW
2001-06-12,26.511703491210938
2001-06-13,26.431859970092773
2001-06-14,25.87287139892578
2001-06-15,26.272146224975586
2001-06-18,27.214447021484375
2001-06-19,27.709535598754883
2001-06-20,28.428213119506836
2001-06-21,28.428213119506836
2001-06-22,27.91714096069336
2001-06-25,28.18865966796875
2001-06-26,27.150545120239258
2001-06-27,27.62967300415039
2001-06-28,27.94908905029297
2001-06-29,28.3483829498291
2001-07-02,27.94908905029297
2001-07-03,27.789398193359375
2001-07-05,28.380308151245117
2001-07-06,28.316436767578125
2001-07-09,27.31026268005371
2001-07-10,26.990840911865234
2001-07-11,27.549816131591797
2001-07-12,26.942928314208984
2001-07-13,27.549816131591797
2001-07-16,27.709535598754883
2001-07-17,27.709535598754883
2001-07-18,27.390104293823242
2001-07-19,27.150545120239258
2001-07-20,27.070701599121094
2001-07-23,27.070701599121094
2001-07-24,26.19229507446289
2001-07-25,25.95273208618164
2001-07-26,26.288116455078125
2001-07-27,27.46996307373047
2001-07-30,27.150545120239258
2001-07-31,27.549816131591797
2001-08-01,27.58177375793457
2001-08-02,26.751270294189453
2001-08-03,28.18865966796875
2001-08-06,28.747638702392578
2001-08-07,27.94908905029297
2001-08-08,28.028955459594727
2001-08-09,27.80535125732422
2001-08-10,28.268535614013672
2001-08-13,28.603900909423828
2001-08-14,28.987215042114258
2001-08-15,29.14691925048828
2001-08-16,29.40243911743164
2001-08-17,29.70590591430664
2001-08-20,31.143259048461914
2001-08-21,30.424585342407227
2001-08-22,31.861974716186523
2001-08-23,31.462669372558594
2001-08-24,30.66413116455078
2001-08-27,30.344724655151367
2001-08-28,30.344724655151367
2001-08-29,30.344724655151367
2001-08-30,29.977399826049805
2001-08-31,30.041292190551758
2001-09-04,29.78574562072754
2001-09-05,29.306625366210938
2001-09-06,28.683759689331055
2001-09-07,28.364351272583008
2001-09-10,28.108810424804688
2001-09-17,30.744007110595703
2001-09-18,31.302980422973633
2001-09-19,32.34109115600586
2001-09-20,34.17775344848633
2001-09-21,33.2194938659668
2001-09-24,33.53890609741211
2001-09-25,33.618770599365234
2001-09-26,35.51930236816406
2001-09-27,38.250343322753906
2001-09-28,37.35594940185547
2001-10-01,36.8608512878418
2001-10-02,36.25397491455078
2001-10-03,37.06846618652344
2001-10-04,36.87682342529297
2001-10-05,37.45178985595703
2001-10-08,36.92474365234375
2001-10-09,36.73308563232422
2001-10-10,37.627471923828125
2001-10-11,37.515663146972656
2001-10-12,37.37194061279297
2001-10-15,36.413673400878906
2001-10-16,35.85469055175781
2001-10-17,35.91858673095703
2001-10-18,36.98863220214844
2001-10-19,37.21222686767578
2001-10-22,39.607872009277344
2001-10-23,39.52800369262695
2001-10-24,38.02674865722656
2001-10-25,38.71348571777344
2001-10-26,39.959205627441406
2001-10-29,39.92728042602539
