Date,TGT
2000-01-03,20.832881927490234
2000-01-04,19.929466247558594
2000-01-05,19.477750778198242
2000-01-06,18.556262969970703
2000-01-07,19.513893127441406
2000-01-10,19.134458541870117
2000-01-11,19.712642669677734
2000-01-12,19.49582290649414
2000-01-13,19.947540283203125
2000-01-14,20.019817352294922
2000-01-18,19.65843963623047
2000-01-19,20.218563079833984
2000-01-20,19.568096160888672
2000-01-21,18.736942291259766
2000-01-24,18.357505798339844
2000-01-25,18.827293395996094
2000-01-26,19.694568634033203
2000-01-27,19.45969581604004
2000-01-28,18.32137680053711
2000-01-31,19.044116973876953
2000-02-01,19.49582290649414
2000-02-02,19.65843963623047
2000-02-03,19.09832000732422
2000-02-04,18.68275260925293
2000-02-07,18.98990821838379
2000-02-08,19.857194900512695
2000-02-09,19.42354393005371
2000-02-10,19.20672607421875
2000-02-11,19.09832000732422
2000-02-14,18.863422393798828
2000-02-15,18.48399543762207
2000-02-16,17.897666931152344
2000-02-17,17.33665657043457
2000-02-18,17.08330726623535
2000-02-22,16.72137451171875
2000-02-23,16.449920654296875
2000-02-24,16.1784610748291
2000-02-25,16.1784610748291
2000-02-28,17.04711151123047
2000-02-29,17.08330726623535
2000-03-01,17.155691146850586
2000-03-02,17.445240020751953
2000-03-03,17.87956428527832
2000-03-06,17.590011596679688
2000-03-07,16.79375457763672
2000-03-08,16.848054885864258
2000-03-09,17.39093780517578
2000-03-10,17.60811424255371
2000-03-13,17.789077758789062
2000-03-14,17.644302368164062
2000-03-15,18.53104591369629
2000-03-16,20.594064712524414
2000-03-17,20.123558044433594
2000-03-20,19.21872329711914
2000-03-21,19.381593704223633
2000-03-22,19.309207916259766
2000-03-23,19.68922996520996
2000-03-24,20.014965057373047
2000-03-27,19.815902709960938
2000-03-28,19.942590713500977
2000-03-29,21.028390884399414
2000-03-30,22.349445343017578
2000-03-31,21.6436767578125
2000-04-03,22.295156478881836
2000-04-04,21.806556701660156
2000-04-05,21.480804443359375
2000-04-06,21.426525115966797
2000-04-07,21.498905181884766
2000-04-10,21.77035140991211
2000-04-11,21.100780487060547
2000-04-12,20.937904357910156
2000-04-13,20.449289321899414
2000-04-14,19.77971076965332
2000-04-17,18.911073684692383
2000-04-18,20.087352752685547
2000-04-19,19.833999633789062
2000-04-20,20.051183700561523
2000-04-24,20.340713500976562
2000-04-25,20.702651977539062
2000-04-26,20.50358772277832
2000-04-27,19.68922996520996
2000-04-28,19.273006439208984
2000-05-01,19.76161766052246
2000-05-02,19.942590713500977
2000-05-03,18.458656311035156
2000-05-04,19.146345138549805
2000-05-05,19.711841583251953
2000-05-08,19.76161766052246
2000-05-09,20.105453491210938
2000-05-10,20.37690544128418
2000-05-11,20.232135772705078
2000-05-12,20.349767684936523
2000-05-15,20.557870864868164
2000-05-16,20.684555053710938
2000-05-17,20.18801498413086
2000-05-18,20.55950927734375
2000-05-19,20.35110855102539
2000-05-22,20.332984924316406
2000-05-23,19.4268856048584
2000-05-24,18.701995849609375
2000-05-25,18.8288516998291
2000-05-26,18.683876037597656
2000-05-30,17.92275047302246
2000-05-31,18.176448822021484
2000-06-01,18.267065048217773
2000-06-02,19.136919021606445
2000-06-05,18.64763069152832
2000-06-06,16.690444946289062
2000-06-07,17.30659294128418
2000-06-08,17.324724197387695
2000-06-09,16.309879302978516
2000-06-12,15.80246353149414
2000-06-13,16.418609619140625
2000-06-14,16.81730079650879
2000-06-15,17.415328979492188
2000-06-16,16.96226692199707
2000-06-19,16.581707000732422
2000-06-20,15.94743824005127
2000-06-21,15.204435348510742
2000-06-22,15.548750877380371
2000-06-23,15.675609588623047
2000-06-26,16.074283599853516
2000-06-27,16.183027267456055
2000-06-28,15.852299690246582
2000-06-29,16.092418670654297
2000-06-30,16.81730079650879
2000-07-03,16.762935638427734
2000-07-05,16.726686477661133
2000-07-06,16.36423683166504
2000-07-07,17.071001052856445
2000-07-10,17.741519927978516
2000-07-11,18.267065048217773
2000-07-12,18.21270179748535
2000-07-13,18.013355255126953
2000-07-14,18.013355255126953
2000-07-17,17.65997314453125
2000-07-18,17.197860717773438
2000-07-19,17.12537384033203
2000-07-20,17.687162399291992
2000-07-21,17.36095428466797
2000-07-24,16.998519897460938
2000-07-25,17.469690322875977
2000-07-26,18.122087478637695
2000-07-27,18.085845947265625
2000-07-28,17.650915145874023
2000-07-31,16.81730079650879
2000-08-01,16.81730079650879
2000-08-02,17.687162399291992
2000-08-03,17.433454513549805
2000-08-04,17.215980529785156
2000-08-07,18.049610137939453
2000-08-08,18.484533309936523
2000-08-09,17.977113723754883
2000-08-10,17.25222396850586
2000-08-11,17.17974281311035
2000-08-14,17.36095428466797
2000-08-15,15.657478332519531
2000-08-16,15.326265335083008
2000-08-17,15.144674301147461
2000-08-18,15.398900032043457
2000-08-21,15.253628730773926
2000-08-22,15.979992866516113
2000-08-23,15.65312385559082
2000-08-24,15.798393249511719
2000-08-25,15.798393249511719
2000-08-28,15.507844924926758
2000-08-29,15.362578392028809
2000-08-30,15.144674301147461
2000-08-31,13.474032402038574
2000-09-01,14.309351921081543
2000-09-05,14.527266502380371
2000-09-06,14.563582420349121
2000-09-07,14.418313026428223
2000-09-08,14.454629898071289
2000-09-11,15.326265335083008
2000-09-12,15.580487251281738
2000-09-13,15.398900032043457
2000-09-14,16.270532608032227
2000-09-15,15.725765228271484
2000-09-18,15.253628730773926
2000-09-19,14.926773071289062
2000-09-20,14.963086128234863
2000-09-21,14.817803382873535
2000-09-22,15.362578392028809
2000-09-25,15.035715103149414
2000-09-26,14.500021934509277
2000-09-27,14.418313026428223
2000-09-28,14.672534942626953
2000-09-29,14.890448570251465
2000-10-02,14.527266502380371
2000-10-03,14.599905014038086
2000-10-04,14.817803382873535
2000-10-05,15.072037696838379
2000-10-06,14.16407585144043
2000-10-09,14.236724853515625
2000-10-10,13.982490539550781
2000-10-11,13.582998275756836
2000-10-12,13.219810485839844
2000-10-13,13.982490539550781
2000-10-16,14.16407585144043
2000-10-17,13.764582633972168
2000-10-18,13.946175575256348
2000-10-19,15.072037696838379
2000-10-20,14.599905014038086
2000-10-23,14.381990432739258
2000-10-24,14.418313026428223
2000-10-25,14.09144401550293
2000-10-26,14.09144401550293
2000-10-27,14.200398445129395
2000-10-30,14.817803382873535
2000-10-31,16.052631378173828
2000-11-01,16.01630973815918
2000-11-02,16.488441467285156
2000-11-03,15.979992866516113
2000-11-06,16.01630973815918
2000-11-07,16.488441467285156
2000-11-08,17.50535774230957
2000-11-09,15.907356262207031
2000-11-10,15.072037696838379
2000-11-13,15.217309951782227
2000-11-14,16.37948989868164
2000-11-15,16.77899169921875
2000-11-16,16.847402572631836
2000-11-17,17.10210418701172
2000-11-20,16.70184898376465
2000-11-21,16.81101417541504
2000-11-22,16.956562042236328
2000-11-24,16.556303024291992
2000-11-27,16.8837833404541
2000-11-28,16.8837833404541
2000-11-29,17.538766860961914
2000-11-30,17.50237464904785
2000-12-01,18.30289649963379
2000-12-04,19.139808654785156
2000-12-05,18.339282989501953
2000-12-06,19.067033767700195
2000-12-07,19.540071487426758
2000-12-08,19.61284065246582
2000-12-11,19.394515991210938
2000-12-12,18.957876205444336
2000-12-13,18.77593994140625
2000-12-14,18.1937313079834
2000-12-15,18.1937313079834
2000-12-18,18.448453903198242
2000-12-19,16.738231658935547
2000-12-20,16.410747528076172
2000-12-21,17.46598243713379
2000-12-22,17.866252899169922
2000-12-26,17.829856872558594
2000-12-27,18.77593994140625
2000-12-28,18.630386352539062
2000-12-29,18.77593994140625
2001-01-02,19.35813331604004
2001-01-03,21.104736328125
2001-01-04,21.5049991607666
2001-01-05,20.195039749145508
2001-01-08,20.01310157775879
2001-01-09,20.085886001586914
2001-01-10,20.049495697021484
2001-01-11,19.46729850769043
2001-01-12,20.267824172973633
2001-01-16,20.886404037475586
2001-01-17,20.850013732910156
2001-01-18,20.122268676757812
2001-01-19,19.067033767700195
2001-01-22,20.122268676757812
2001-01-23,20.959178924560547
2001-01-24,21.14111328125
2001-01-25,21.359437942504883
2001-01-26,21.17751121520996
2001-01-29,21.45405387878418
2001-01-30,21.250272750854492
2001-01-31,22.111934661865234
2001-02-01,22.06536102294922
2001-02-02,21.52391242980957
2001-02-05,21.162954330444336
2001-02-06,21.12801742553711
2001-02-07,21.360902786254883
2001-02-08,20.586580276489258
2001-02-09,19.765670776367188
2001-02-12,21.04652214050293
2001-02-13,21.442415237426758
2001-02-14,21.314321517944336
2001-02-15,21.28226089477539
2001-02-16,20.827463150024414
2001-02-20,21.719560623168945
2001-02-21,20.2910213470459
2001-02-22,20.874101638793945
2001-02-23,20.839109420776367
2001-02-26,22.040254592895508
2001-02-27,22.372600555419922
2001-02-28,22.73993682861328
2001-03-01,21.742889404296875
2001-03-02,21.54464340209961
2001-03-05,21.223949432373047
2001-03-06,22.156864166259766
2001-03-07,22.331787109375
2001-03-08,22.156864166259766
2001-03-09,21.923648834228516
2001-03-12,21.288089752197266
2001-03-13,20.786638259887695
2001-03-14,20.69917869567871
2001-03-15,20.739992141723633
2001-03-16,20.36683464050293
2001-03-19,20.75748634338379
2001-03-20,20.844953536987305
2001-03-21,21.497997283935547
2001-03-22,20.116107940673828
2001-03-23,20.349334716796875
2001-03-26,20.86827278137207
2001-03-27,21.503826141357422
2001-03-28,21.07818031311035
2001-03-29,20.675859451293945
2001-03-30,21.037355422973633
2001-04-02,21.165645599365234
2001-04-03,20.45427894592285
2001-04-04,20.00531768798828
2001-04-05,20.903249740600586
2001-04-06,20.75748634338379
2001-04-09,20.436790466308594
2001-04-10,20.903249740600586
2001-04-11,20.815793991088867
2001-04-12,20.903249740600586
