Date,BEN
2000-01-03,5.050140857696533
2000-01-04,4.960489749908447
2000-01-05,5.040176868438721
2000-01-06,5.348965644836426
2000-01-07,5.3888044357299805
2000-01-10,5.418686866760254
2000-01-11,5.329041481018066
2000-01-12,5.348965644836426
2000-01-13,5.348965644836426
2000-01-14,5.3190813064575195
2000-01-18,5.309120178222656
2000-01-19,5.309120178222656
2000-01-20,5.458531856536865
2000-01-21,5.6378278732299805
2000-01-24,5.707554817199707
2000-01-25,6.135866165161133
2000-01-26,6.056180477142334
2000-01-27,5.876885414123535
2000-01-28,5.697592735290527
2000-01-31,5.687633037567139
2000-02-01,5.57806396484375
2000-02-02,5.667708873748779
2000-02-03,5.6378278732299805
2000-02-04,5.787240028381348
2000-02-07,5.667708873748779
2000-02-08,5.597982883453369
2000-02-09,5.348965644836426
2000-02-10,5.28919792175293
2000-02-11,5.259316921234131
2000-02-14,5.080019950866699
2000-02-15,5.129828929901123
2000-02-16,5.1397857666015625
2000-02-17,4.930608749389648
2000-02-18,4.751315116882324
2000-02-22,4.731390476226807
2000-02-23,4.671627044677734
2000-02-24,4.5919413566589355
2000-02-25,4.412646770477295
2000-02-28,4.442529201507568
2000-02-29,4.332959175109863
2000-03-01,4.332959175109863
2000-03-02,4.362842559814453
2000-03-03,4.432567119598389
2000-03-06,4.422607898712158
2000-03-07,4.203468322753906
2000-03-08,4.034131050109863
2000-03-09,4.193507194519043
2000-03-10,4.183547019958496
2000-03-13,4.103860855102539
2000-03-14,4.014212608337402
2000-03-15,4.462450981140137
2000-03-16,4.850923538208008
2000-03-17,4.781192779541016
2000-03-20,4.691548824310303
2000-03-21,4.781192779541016
2000-03-22,4.801117897033691
2000-03-23,5.080019950866699
2000-03-24,5.418686866760254
2000-03-27,5.189589977264404
2000-03-28,5.070060729980469
2000-03-29,5.079640865325928
2000-03-30,5.239315509796143
2000-03-31,5.339111804962158
2000-04-03,5.389010906219482
2000-04-04,5.219358921051025
2000-04-05,5.438906669616699
2000-04-06,5.548681259155273
2000-04-07,5.418950080871582
2000-04-10,5.289215087890625
2000-04-11,5.458868503570557
2000-04-12,5.788197994232178
2000-04-13,5.548681259155273
2000-04-14,5.079640865325928
2000-04-17,4.979844093322754
2000-04-18,5.289215087890625
2000-04-19,5.229336738586426
2000-04-20,5.319150447845459
2000-04-24,5.379031181335449
2000-04-25,5.528724670410156
2000-04-26,5.359070777893066
2000-04-27,5.129540920257568
2000-04-28,5.14949893951416
2000-05-01,5.02974271774292
2000-05-02,5.049703121185303
2000-05-03,4.909986972808838
2000-05-04,4.7702717781066895
2000-05-05,4.750312805175781
2000-05-08,4.909986972808838
2000-05-09,4.880047798156738
2000-05-10,4.7802510261535645
2000-05-11,4.90000581741333
2000-05-12,4.959885597229004
2000-05-15,5.129540920257568
2000-05-16,5.139522552490234
2000-05-17,5.0896196365356445
2000-05-18,5.0896196365356445
2000-05-19,4.7702717781066895
2000-05-22,4.740331172943115
2000-05-23,4.830151557922363
2000-05-24,4.9399237632751465
2000-05-25,4.700415134429932
2000-05-26,4.720375061035156
2000-05-30,4.7802510261535645
2000-05-31,4.790230751037598
2000-06-01,4.86008882522583
2000-06-02,5.179434776306152
2000-06-05,5.109579086303711
2000-06-06,5.02974271774292
2000-06-07,5.209376811981201
2000-06-08,4.9399237632751465
2000-06-09,4.880047798156738
2000-06-12,4.820172309875488
2000-06-13,4.9399237632751465
2000-06-14,4.9399237632751465
2000-06-15,4.720375061035156
2000-06-16,4.710395812988281
2000-06-19,4.909986972808838
2000-06-20,4.949902534484863
2000-06-21,4.790230751037598
2000-06-22,4.7702717781066895
2000-06-23,4.670475482940674
2000-06-26,4.909986972808838
2000-06-27,4.90000581741333
2000-06-28,4.934933185577393
2000-06-29,4.939535617828369
2000-06-30,4.859542369842529
2000-07-03,4.95953369140625
2000-07-05,4.949533462524414
2000-07-06,5.009529113769531
2000-07-07,5.099520683288574
2000-07-10,5.1195173263549805
2000-07-11,5.249507427215576
2000-07-12,5.459486484527588
2000-07-13,5.609472274780273
2000-07-14,5.659467697143555
2000-07-17,5.479483604431152
2000-07-18,5.369495391845703
2000-07-19,5.2595038414001465
2000-07-20,5.399490833282471
2000-07-21,5.449489116668701
2000-07-24,5.409492492675781
2000-07-25,5.409492492675781
2000-07-26,5.319497585296631
2000-07-27,5.509481430053711
2000-07-28,5.539477348327637
2000-07-31,5.739462375640869
2000-08-01,5.7494635581970215
2000-08-02,5.709463596343994
2000-08-03,5.609472274780273
2000-08-04,5.849447250366211
2000-08-07,6.039432525634766
2000-08-08,5.999436378479004
2000-08-09,5.799458980560303
2000-08-10,5.689467430114746
2000-08-11,5.669469356536865
2000-08-14,5.699464797973633
2000-08-15,5.579477310180664
2000-08-16,5.539477348327637
2000-08-17,5.599475860595703
2000-08-18,5.509481430053711
2000-08-21,5.729462146759033
2000-08-22,5.809453964233398
2000-08-23,5.819453716278076
2000-08-24,5.799458980560303
2000-08-25,5.949440956115723
2000-08-28,5.899448394775391
2000-08-29,5.929442405700684
2000-08-30,5.949440956115723
2000-08-31,6.079428195953369
2000-09-01,6.20941686630249
2000-09-05,6.159419059753418
2000-09-06,6.309410095214844
2000-09-07,6.22941255569458
2000-09-08,6.3794026374816895
2000-09-11,6.784361839294434
2000-09-12,6.899352550506592
2000-09-13,7.134328842163086
