Date,ABT
2000-01-03,8.042603492736816
2000-01-04,7.812814712524414
2000-01-05,7.798450469970703
2000-01-06,8.071324348449707
2000-01-07,8.157495498657227
2000-01-10,8.100048065185547
2000-01-11,7.98515510559082
2000-01-12,7.86565637588501
2000-01-13,7.79349422454834
2000-01-14,7.966680526733398
2000-01-18,7.79349422454834
2000-01-19,7.634735107421875
2000-01-20,7.403816223144531
2000-01-21,7.2017669677734375
2000-01-24,6.927545547485352
2000-01-25,6.840954780578613
2000-01-26,6.855391025543213
2000-01-27,7.115169048309326
2000-01-28,7.360518455505371
2000-01-31,7.519278526306152
2000-02-01,7.591434955596924
2000-02-02,7.634735107421875
2000-02-03,7.678030490875244
2000-02-04,7.952248573303223
2000-02-07,7.807923793792725
2000-02-08,7.880086898803711
2000-02-09,8.327489852905273
2000-02-10,8.111004829406738
2000-02-11,7.851220607757568
2000-02-14,8.096574783325195
2000-02-15,8.111004829406738
2000-02-16,8.009974479675293
2000-02-17,7.90894889831543
2000-02-18,7.533708095550537
2000-02-22,7.706900119781494
2000-02-23,7.418252944946289
2000-02-24,7.331655502319336
2000-02-25,7.403816223144531
2000-02-28,7.649168491363525
2000-02-29,7.620306491851807
2000-03-01,7.807923793792725
2000-03-02,7.735761642456055
2000-03-03,7.490414619445801
2000-03-06,7.216196060180664
2000-03-07,6.840954780578613
2000-03-08,7.15846586227417
2000-03-09,7.216196060180664
2000-03-10,7.144036293029785
2000-03-13,7.057438850402832
2000-03-14,7.1873321533203125
2000-03-15,7.504846096038818
2000-03-16,7.966680526733398
2000-03-17,7.735761642456055
2000-03-20,7.822356700897217
2000-03-21,7.779058456420898
2000-03-22,7.9233832359313965
2000-03-23,7.807923793792725
2000-03-24,7.7646307945251465
2000-03-27,7.678030490875244
2000-03-28,7.822356700897217
2000-03-29,8.053275108337402
2000-03-30,8.197599411010742
2000-03-31,8.125436782836914
2000-04-03,8.54397964477539
2000-04-04,9.106842994689941
2000-04-05,8.57284164428711
