Date,FOXA
2019-03-12,34.43121337890625
2019-03-13,36.01686096191406
2019-03-14,36.832340240478516
2019-03-15,37.783729553222656
2019-03-18,37.783729553222656
2019-03-19,36.55146026611328
2019-03-20,34.99298858642578
2019-03-21,36.261505126953125
2019-03-22,35.08360290527344
2019-03-25,33.92380905151367
2019-03-26,34.01441955566406
2019-03-27,33.45263671875
2019-03-28,32.981483459472656
2019-03-29,33.26237106323242
2019-04-01,33.38922119140625
2019-04-02,32.87275695800781
2019-04-03,32.6915397644043
2019-04-04,33.30766677856445
2019-04-05,34.14126205444336
2019-04-08,33.95099639892578
2019-04-09,33.80602264404297
2019-04-10,33.0539665222168
2019-04-11,33.6066780090332
2019-04-12,34.00535583496094
2019-04-15,34.00535583496094
2019-04-16,34.204689025878906
2019-04-17,35.19233322143555
2019-04-18,34.829898834228516
2019-04-22,34.159393310546875
2019-04-23,34.50370407104492
2019-04-24,34.39497756958008
2019-04-25,34.5671272277832
2019-04-26,34.866146087646484
2019-04-29,35.51852035522461
2019-04-30,35.32823944091797
2019-05-01,35.699729919433594
2019-05-02,33.778831481933594
2019-05-03,33.95099639892578
2019-05-06,34.35872268676758
2019-05-07,33.760711669921875
2019-05-08,33.90568923950195
2019-05-09,34.88425827026367
2019-05-10,34.911441802978516
2019-05-13,34.40403366088867
2019-05-14,34.331546783447266
2019-05-15,34.16844940185547
2019-05-16,33.28955841064453
2019-05-17,34.02809524536133
2019-05-20,33.86398696899414
2019-05-21,34.36547088623047
2019-05-22,33.84574890136719
2019-05-23,33.65427780151367
2019-05-24,33.66337966918945
2019-05-28,33.408084869384766
2019-05-29,32.63306427001953
2019-05-30,32.11334228515625
2019-05-31,32.12245178222656
2019-06-03,31.219776153564453
2019-06-04,31.438615798950195
2019-06-05,31.32919692993164
2019-06-06,31.110363006591797
2019-06-07,31.010068893432617
2019-06-10,31.02830696105957
2019-06-11,31.16507911682129
2019-06-12,31.958335876464844
2019-06-13,32.17715835571289
2019-06-14,32.13157272338867
2019-06-17,32.94306182861328
2019-06-18,32.997779846191406
2019-06-19,32.81542205810547
2019-06-20,32.44157791137695
2019-06-21,32.98865509033203
2019-06-24,32.642181396484375
2019-06-25,32.222747802734375
2019-06-26,32.34128189086914
2019-06-27,32.81542205810547
2019-06-28,33.408084869384766
2019-07-01,32.751590728759766
2019-07-02,33.36249542236328
2019-07-03,33.14365768432617
2019-07-05,33.37160110473633
2019-07-08,32.94306182861328
2019-07-09,32.842769622802734
2019-07-10,32.952186584472656
2019-07-11,33.08896255493164
