Date,UNP
2000-01-03,6.436450481414795
2000-01-04,6.427109718322754
2000-01-05,6.427109718322754
2000-01-06,6.819461345672607
2000-01-07,6.772753715515137
2000-01-10,6.9315619468688965
2000-01-11,6.987616062164307
2000-01-12,6.847489356994629
2000-01-13,6.968931674957275
2000-01-14,6.884853363037109
2000-01-18,6.632626533508301
2000-01-19,6.520524978637695
2000-01-20,6.277639389038086
2000-01-21,6.539214134216309
2000-01-24,6.343031883239746
2000-01-25,6.118831157684326
2000-01-26,6.2496137619018555
2000-01-27,6.016074180603027
2000-01-28,6.072121620178223
2000-01-31,6.016074180603027
2000-02-01,6.025416851043701
2000-02-02,5.791871070861816
2000-02-03,5.875948905944824
2000-02-04,6.025416851043701
2000-02-07,5.9319963455200195
2000-02-08,5.791871070861816
2000-02-09,5.81989860534668
2000-02-10,5.539646625518799
2000-02-11,5.492936134338379
2000-02-14,5.67977237701416
2000-02-15,5.801214694976807
2000-02-16,5.586355209350586
2000-02-17,5.661088466644287
2000-02-18,5.642405033111572
2000-02-22,5.801214694976807
2000-02-23,5.875948905944824
2000-02-24,5.567669868469238
2000-02-25,5.595695972442627
2000-02-28,5.754505634307861
2000-02-29,5.67977237701416
2000-03-01,5.717138767242432
2000-03-02,5.651747703552246
2000-03-03,5.885288715362549
2000-03-06,5.642405033111572
2000-03-07,5.3808369636535645
2000-03-08,5.427544593811035
2000-03-09,5.371494770050049
2000-03-10,5.240708351135254
2000-03-13,5.298960208892822
2000-03-14,5.298960208892822
2000-03-15,5.618403434753418
2000-03-16,5.984821796417236
2000-03-17,6.050586700439453
2000-03-20,5.749937057495117
2000-03-21,6.013006210327148
2000-03-22,5.806308746337891
2000-03-23,5.815701484680176
2000-03-24,5.731149196624756
2000-03-27,5.815701484680176
2000-03-28,5.590214729309082
2000-03-29,5.693563461303711
2000-03-30,5.590214729309082
2000-03-31,5.881471157073975
2000-04-03,5.825097560882568
2000-04-04,5.815701484680176
2000-04-05,6.163331031799316
2000-04-06,6.2009124755859375
2000-04-07,6.125749111175537
2000-04-10,6.257283687591553
2000-04-11,6.482771396636963
2000-04-12,6.586121559143066
2000-04-13,6.435794353485107
2000-04-14,6.172728538513184
2000-04-17,5.984821796417236
2000-04-18,6.088170051574707
2000-04-19,6.059983253479004
2000-04-20,6.210305213928223
2000-04-24,6.323050498962402
2000-04-25,6.586121559143066
2000-04-26,6.830398082733154
2000-04-27,6.445188522338867
2000-04-28,6.332446098327637
2000-05-01,6.454589366912842
2000-05-02,6.276072978973389
2000-05-03,6.238491535186768
2000-05-04,6.097562789916992
2000-05-05,6.360631942749023
2000-05-08,6.407608509063721
2000-05-09,6.5297465324401855
2000-05-10,6.445188522338867
2000-05-11,6.473376274108887
2000-05-12,6.572025299072266
2000-05-15,6.576726913452148
2000-05-16,6.717653751373291
2000-05-17,6.68007230758667
2000-05-18,6.764634132385254
2000-05-19,6.821003437042236
2000-05-22,6.661281585693359
2000-05-23,6.792815208435059
2000-05-24,6.774028301239014
2000-05-25,6.557931423187256
2000-05-26,6.435794353485107
2000-05-30,6.520352840423584
2000-05-31,6.38881778717041
2000-06-01,6.520352840423584
2000-06-02,6.764634132385254
2000-06-05,6.520352840423584
2000-06-06,6.379420757293701
2000-06-07,6.463982582092285
2000-06-08,6.276072978973389
2000-06-09,6.30426025390625
2000-06-12,6.438313007354736
2000-06-13,6.353349685668945
2000-06-14,6.1551032066345215
2000-06-15,6.070138454437256
2000-06-16,5.985178470611572
2000-06-19,5.928534984588623
2000-06-20,5.919093132019043
2000-06-21,5.956854820251465
2000-06-22,5.881335258483887
2000-06-23,5.900214195251465
2000-06-26,5.928534984588623
2000-06-27,5.9379754066467285
2000-06-28,6.112622261047363
2000-06-29,6.0418195724487305
2000-06-30,5.617002487182617
2000-07-03,5.777490139007568
2000-07-05,5.947414875030518
2000-07-06,6.136221408843994
2000-07-07,6.296708106994629
2000-07-10,6.296708106994629
2000-07-11,6.381669044494629
2000-07-12,6.372230529785156
2000-07-13,6.192864894866943
2000-07-14,6.5704755783081055
2000-07-17,6.655442714691162
2000-07-18,6.636560916900635
2000-07-19,6.391111373901367
2000-07-20,6.334469318389893
2000-07-21,6.287268161773682
2000-07-24,6.221185684204102
2000-07-25,6.0418195724487305
2000-07-26,5.989897727966309
2000-07-27,6.27782678604126
2000-07-28,6.457191467285156
2000-07-31,6.523275852203369
2000-08-01,6.589356422424316
2000-08-02,6.7404022216796875
2000-08-03,6.8820109367370605
2000-08-04,6.646002769470215
2000-08-07,6.749844074249268
2000-08-08,6.778163433074951
2000-08-09,6.542158603668213
2000-08-10,6.561036109924316
2000-08-11,6.674323081970215
2000-08-14,6.712082386016846
2000-08-15,6.579919338226318
2000-08-16,6.532718181610107
2000-08-17,6.42887544631958
2000-08-18,6.513835906982422
2000-08-21,6.476072788238525
2000-08-22,6.466634273529053
2000-08-23,6.173984050750732
2000-08-24,6.268385410308838
2000-08-25,6.249506950378418
2000-08-28,6.126781940460205
2000-08-29,6.089022159576416
