Date,CBOE
2010-06-15,25.931949615478516
2010-06-16,25.59673500061035
2010-06-17,25.14178466796875
2010-06-18,24.750688552856445
2010-06-21,25.572782516479492
2010-06-22,26.09157371520996
2010-06-23,26.722131729125977
2010-06-24,26.570472717285156
2010-06-25,25.59673500061035
2010-06-28,26.16341781616211
2010-06-29,25.349294662475586
2010-06-30,25.979841232299805
2010-07-01,24.191980361938477
2010-07-02,24.630962371826172
2010-07-06,23.784927368164062
2010-07-07,23.329980850219727
2010-07-08,23.154380798339844
2010-07-09,23.122453689575195
2010-07-12,21.390472412109375
2010-07-13,22.228530883789062
2010-07-14,21.821474075317383
2010-07-15,21.151025772094727
2010-07-16,21.11111831665039
2010-07-19,21.143041610717773
2010-07-20,20.815797805786133
2010-07-21,21.23881721496582
2010-07-22,21.574050903320312
2010-07-23,21.669824600219727
2010-07-26,21.151025772094727
2010-07-27,21.701744079589844
2010-07-28,21.669824600219727
2010-07-29,21.28670883178711
2010-07-30,21.230838775634766
2010-08-02,21.981109619140625
2010-08-03,21.7496337890625
2010-08-04,21.318635940551758
2010-08-05,19.794157028198242
2010-08-06,18.996015548706055
2010-08-09,19.131702423095703
2010-08-10,18.35749053955078
2010-08-11,18.317584991455078
2010-08-12,18.60491180419922
2010-08-13,18.35749053955078
2010-08-16,18.189876556396484
2010-08-17,18.453275680541992
2010-08-18,18.445287704467773
2010-08-19,18.35749053955078
2010-08-20,18.25373077392578
2010-08-23,18.35749053955078
2010-08-24,17.39173126220703
2010-08-25,17.295955657958984
2010-08-26,16.98467254638672
2010-08-27,16.657424926757812
2010-08-30,16.457889556884766
2010-08-31,16.689348220825195
2010-09-01,17.338970184326172
2010-09-02,17.37907600402832
2010-09-03,17.780054092407227
2010-09-07,17.82817268371582
2010-09-08,17.683813095092773
2010-09-09,17.48332405090332
2010-09-10,17.59560203552246
2010-09-13,17.507383346557617
2010-09-14,17.780054092407227
2010-09-15,17.916393280029297
2010-09-16,17.884309768676758
2010-09-17,18.01263427734375
2010-09-20,17.53143882751465
2010-09-21,17.25876808166504
2010-09-22,17.10639190673828
2010-09-23,16.50490379333496
2010-09-24,16.528953552246094
2010-09-27,16.897869110107422
2010-09-28,17.090349197387695
2010-09-29,16.66529655456543
2010-09-30,16.20014762878418
2010-10-01,16.520938873291016
2010-10-04,16.352516174316406
2010-10-05,16.70539093017578
2010-10-06,16.70539093017578
2010-10-07,16.520938873291016
2010-10-08,16.721435546875
2010-10-11,16.889856338500977
2010-10-12,17.82817268371582
2010-10-13,17.812137603759766
2010-10-14,18.148967742919922
2010-10-15,18.028676986694336
2010-10-18,18.606103897094727
2010-10-19,18.549955368041992
2010-10-20,19.03115463256836
2010-10-21,19.175521850585938
2010-10-22,19.680761337280273
2010-10-25,19.5444278717041
2010-10-26,19.432147979736328
2010-10-27,19.384035110473633
