Date,PAYX
2000-01-03,12.484796524047852
2000-01-04,11.54843521118164
2000-01-05,12.23119831085205
2000-01-06,12.679876327514648
2000-01-07,12.933470726013184
2000-01-10,13.148054122924805
2000-01-11,12.718886375427246
2000-01-12,12.543320655822754
2000-01-13,13.226083755493164
2000-01-14,14.162444114685059
2000-01-18,14.04539966583252
2000-01-19,14.240470886230469
2000-01-20,14.455058097839355
2000-01-21,14.298995971679688
2000-01-24,12.660364151000977
2000-01-25,13.421158790588379
2000-01-26,13.401649475097656
2000-01-27,13.440659523010254
2000-01-28,13.136489868164062
2000-01-31,13.78159236907959
2000-02-01,13.762046813964844
2000-02-02,13.683849334716797
2000-02-03,13.488364219665527
2000-02-04,13.292881965637207
2000-02-07,13.371076583862305
2000-02-08,13.331975936889648
2000-02-09,12.980103492736816
2000-02-10,13.840234756469727
2000-02-11,13.331975936889648
2000-02-14,14.543976783752441
2000-02-15,14.504878997802734
2000-02-16,14.30938720703125
2000-02-17,15.169516563415527
2000-02-18,14.27030086517334
2000-02-22,14.504878997802734
2000-02-23,15.443202018737793
2000-02-24,16.010103225708008
2000-02-25,14.876296043395996
2000-02-28,15.716873168945312
2000-02-29,15.65822982788086
2000-03-01,15.169516563415527
2000-03-02,14.974037170410156
2000-03-03,15.306356430053711
2000-03-06,15.599586486816406
2000-03-07,15.071782112121582
2000-03-08,15.306356430053711
2000-03-09,15.599586486816406
2000-03-10,15.912354469299316
2000-03-13,15.286813735961914
2000-03-14,15.267263412475586
2000-03-15,15.462757110595703
2000-03-16,14.759011268615723
2000-03-17,15.853713989257812
2000-03-20,15.65822982788086
2000-03-21,16.674753189086914
2000-03-22,16.577001571655273
2000-03-23,16.537906646728516
2000-03-24,16.107845306396484
2000-03-27,16.498815536499023
2000-03-28,16.3033390045166
2000-03-29,16.557462692260742
2000-03-30,16.51836585998535
2000-03-31,16.381519317626953
2000-04-03,16.440174102783203
2000-04-04,15.971007347106934
2000-04-05,15.482291221618652
2000-04-06,15.951461791992188
2000-04-07,16.068742752075195
2000-04-10,15.189066886901855
2000-04-11,16.010103225708008
2000-04-12,16.51836585998535
2000-04-13,16.694292068481445
2000-04-14,14.954485893249512
2000-04-17,15.775524139404297
2000-04-18,15.697328567504883
2000-04-19,15.208620071411133
2000-04-20,15.87326431274414
2000-04-24,16.283771514892578
2000-04-25,17.300294876098633
2000-04-26,16.22513771057129
2000-04-27,16.644981384277344
2000-04-28,16.48831558227539
2000-05-01,15.739294052124023
2000-05-02,14.823824882507324
2000-05-03,15.019640922546387
2000-05-04,14.177599906921387
2000-05-05,14.843400001525879
2000-05-08,14.2951021194458
2000-05-09,14.118857383728027
2000-05-10,13.883867263793945
2000-05-11,15.21546459197998
2000-05-12,14.843400001525879
2000-05-15,15.039226531982422
2000-05-16,15.117554664611816
2000-05-17,14.7650785446167
2000-05-18,14.451757431030273
2000-05-19,14.177599906921387
2000-05-22,14.393013954162598
2000-05-23,14.539871215820312
2000-05-24,15.567953109741211
2000-05-25,15.626696586608887
2000-05-26,16.214170455932617
2000-05-30,16.772258758544922
2000-05-31,16.44915771484375
2000-06-01,18.79903221130371
2000-06-02,17.859085083007812
2000-06-05,17.770963668823242
2000-06-06,17.036624908447266
2000-06-07,17.712209701538086
2000-06-08,16.977874755859375
2000-06-09,17.535968780517578
2000-06-12,16.977874755859375
2000-06-13,17.653470993041992
2000-06-14,18.123451232910156
2000-06-15,18.79903221130371
2000-06-16,19.768360137939453
2000-06-19,20.03272247314453
2000-06-20,19.73898696899414
2000-06-21,20.238338470458984
2000-06-22,18.82840919494629
2000-06-23,17.770963668823242
2000-06-26,19.004648208618164
2000-06-27,19.474626541137695
2000-06-28,19.592121124267578
2000-06-29,18.38780403137207
2000-06-30,19.73898696899414
2000-07-03,19.533369064331055
2000-07-05,19.122140884399414
2000-07-06,19.768360137939453
2000-07-07,19.621484756469727
2000-07-10,19.562734603881836
2000-07-11,20.150209426879883
2000-07-12,20.47332191467285
2000-07-13,20.06209945678711
2000-07-14,20.03272247314453
2000-07-17,19.533369064331055
2000-07-18,19.68024444580078
2000-07-19,19.768360137939453
2000-07-20,20.355838775634766
2000-07-21,20.326448440551758
2000-07-24,21.17828369140625
2000-07-25,20.67894172668457
2000-07-26,21.090160369873047
2000-07-27,21.002044677734375
2000-07-28,20.353782653808594
2000-07-31,21.530302047729492
2000-08-01,21.14792251586914
2000-08-02,20.61849594116211
2000-08-03,21.206758499145508
2000-08-04,21.471477508544922
2000-08-07,22.089136123657227
2000-08-08,21.706777572631836
2000-08-09,21.88325309753418
2000-08-10,21.177349090576172
2000-08-11,21.206758499145508
2000-08-14,21.03028678894043
2000-08-15,20.883220672607422
2000-08-16,20.58909034729004
2000-08-17,21.03028678894043
2000-08-18,20.79497718811035
2000-08-21,21.059690475463867
2000-08-22,21.383241653442383
2000-08-23,20.971460342407227
2000-08-24,20.76557159423828
2000-08-25,20.177303314208984
2000-08-28,18.853721618652344
2000-08-29,19.500804901123047
2000-08-30,20.67733383178711
2000-08-31,21.000864028930664
2000-09-01,20.58909034729004
2000-09-05,20.471439361572266
2000-09-06,20.147891998291016
2000-09-07,20.118473052978516
2000-09-08,19.58904266357422
2000-09-11,19.647869110107422
2000-09-12,20.265544891357422
2000-09-13,20.55968475341797
2000-09-14,20.20672607421875
2000-09-15,20.76557159423828
2000-09-18,20.324365615844727
2000-09-19,21.089109420776367
2000-09-20,20.50084686279297
2000-09-21,21.88325309753418
2000-09-22,22.11855697631836
2000-09-25,22.85388946533203
2000-09-26,24.206884384155273
2000-09-27,25.11868667602539
2000-09-28,24.677501678466797
2000-09-29,24.706899642944336
2000-10-02,24.295122146606445
2000-10-03,24.059814453125
2000-10-04,24.32453155517578
2000-10-05,24.206884384155273
2000-10-06,23.971582412719727
2000-10-09,24.177471160888672
2000-10-10,23.324495315551758
2000-10-11,23.412731170654297
2000-10-12,22.795072555541992
2000-10-13,22.530344009399414
2000-10-16,23.912748336791992
2000-10-17,23.824522018432617
2000-10-18,23.295082092285156
2000-10-19,23.824522018432617
2000-10-20,23.530384063720703
2000-10-23,23.442155838012695
2000-10-24,24.94220542907715
2000-10-25,25.79517364501953
2000-10-26,24.118650436401367
2000-10-27,25.2657527923584
2000-10-30,27.458934783935547
2000-10-31,26.722373962402344
2000-11-01,25.426042556762695
2000-11-02,26.368816375732422
2000-11-03,25.95633888244629
2000-11-06,25.809045791625977
2000-11-07,26.516141891479492
2000-11-08,25.426042556762695
2000-11-09,25.985809326171875
2000-11-10,26.01526641845703
2000-11-13,26.722373962402344
2000-11-14,26.722373962402344
2000-11-15,26.958066940307617
2000-11-16,27.017000198364258
2000-11-17,26.368816375732422
2000-11-20,28.01871109008789
2000-11-21,28.136564254760742
2000-11-22,27.282163619995117
2000-11-24,27.783008575439453
2000-11-27,27.694623947143555
2000-11-28,27.061193466186523
2000-11-29,27.989248275756836
2000-11-30,27.400012969970703
2000-12-01,24.777843475341797
2000-12-04,21.949459075927734
2000-12-05,20.800434112548828
2000-12-06,20.62366485595703
2000-12-07,21.15398406982422
2000-12-08,22.096776962280273
2000-12-11,20.594207763671875
2000-12-12,19.887094497680664
2000-12-13,20.329030990600586
2000-12-14,19.445171356201172
2000-12-15,18.3845157623291
2000-12-18,19.238920211791992
2000-12-19,19.739795684814453
2000-12-20,19.828174591064453
2000-12-21,22.096776962280273
2000-12-22,23.83506202697754
2000-12-26,23.83506202697754
2000-12-27,24.070768356323242
2000-12-28,23.982370376586914
2000-12-29,22.921735763549805
2001-01-02,21.53699493408203
2001-01-03,22.921735763549805
2001-01-04,21.36022186279297
2001-01-05,21.065595626831055
2001-01-08,21.890544891357422
2001-01-09,22.89226722717285
2001-01-10,22.33247947692871
2001-01-11,22.597637176513672
2001-01-12,22.8627986907959
2001-01-16,22.33247947692871
2001-01-17,22.509262084960938
2001-01-18,22.921735763549805
2001-01-19,21.920007705688477
2001-01-22,21.56645965576172
2001-01-23,21.920007705688477
2001-01-24,21.47806739807129
2001-01-25,20.977209091186523
2001-01-26,21.53699493408203
2001-01-29,21.62537956237793
2001-01-30,21.372682571411133
2001-01-31,21.31363868713379
2001-02-01,19.571941375732422
2001-02-02,18.715856552124023
2001-02-05,18.83394432067871
2001-02-06,19.247236251831055
2001-02-07,19.896671295166016
2001-02-08,19.660505294799805
2001-02-09,19.95571517944336
2001-02-12,20.3394775390625
2001-02-13,19.48339080810547
2001-02-14,20.457563400268555
2001-02-15,20.191869735717773
2001-02-16,19.660505294799805
2001-02-20,19.690031051635742
2001-02-21,19.926189422607422
2001-02-22,20.811792373657227
2001-02-23,20.605167388916016
2001-02-26,20.25091552734375
2001-02-27,19.48339080810547
2001-02-28,18.863460540771484
2001-03-01,18.62730598449707
2001-03-02,18.42066192626953
2001-03-05,18.804414749145508
2001-03-06,19.276742935180664
2001-03-07,19.21769905090332
2001-03-08,18.922510147094727
2001-03-09,18.36161231994629
2001-03-12,16.590402603149414
2001-03-13,17.29888343811035
2001-03-14,16.856088638305664
2001-03-15,16.560882568359375
2001-03-16,15.948335647583008
2001-03-19,17.180797576904297
2001-03-20,16.20663833618164
2001-03-21,17.180797576904297
2001-03-22,18.06641960144043
2001-03-23,18.125459671020508
2001-03-26,17.918819427490234
2001-03-27,18.09593391418457
2001-03-28,18.154966354370117
2001-03-29,17.771215438842773
2001-03-30,17.50552749633789
2001-04-02,17.535051345825195
2001-04-03,16.76751708984375
2001-04-04,17.357934951782227
2001-04-05,17.357934951782227
2001-04-06,17.092243194580078
2001-04-09,17.905826568603516
2001-04-10,18.23172950744629
2001-04-11,17.660215377807617
2001-04-12,16.11099624633789
2001-04-16,16.554967880249023
2001-04-17,17.032026290893555
2001-04-18,17.886930465698242
2001-04-19,17.405162811279297
2001-04-20,17.003681182861328
2001-04-23,16.295202255249023
2001-04-24,16.059040069580078
2001-04-25,17.239852905273438
