Date,ECL
2000-01-03,13.804621696472168
2000-01-04,13.43833065032959
2000-01-05,13.964874267578125
2000-01-06,14.582993507385254
2000-01-07,14.582993507385254
2000-01-10,14.880600929260254
2000-01-11,14.720351219177246
2000-01-12,14.445633888244629
2000-01-13,14.331167221069336
2000-01-14,14.445633888244629
2000-01-18,14.079334259033203
2000-01-19,13.896195411682129
2000-01-20,13.8504056930542
2000-01-21,13.575691223144531
2000-01-24,13.32386302947998
2000-01-25,13.049148559570312
2000-01-26,13.2551851272583
2000-01-27,13.209397315979004
2000-01-28,12.637063980102539
2000-01-31,12.88889217376709
2000-02-01,12.843104362487793
2000-02-02,12.476811408996582
2000-02-03,12.728642463684082
2000-02-04,12.866000175476074
2000-02-07,12.797318458557129
2000-02-08,12.522603988647461
2000-02-09,12.110525131225586
2000-02-10,12.13341999053955
2000-02-11,11.9044828414917
2000-02-14,11.9044828414917
2000-02-15,12.224994659423828
2000-02-16,11.996055603027344
2000-02-17,11.973161697387695
2000-02-18,11.377936363220215
2000-02-22,11.606873512268066
2000-02-23,11.40082836151123
2000-02-24,10.668253898620605
2000-02-25,10.668253898620605
2000-02-28,10.485103607177734
2000-02-29,10.347744941711426
2000-03-01,10.576672554016113
2000-03-02,10.530885696411133
2000-03-03,11.240582466125488
2000-03-06,10.439316749572754
2000-03-07,10.39352798461914
2000-03-08,10.668253898620605
2000-03-09,11.080323219299316
2000-03-10,11.12611198425293
2000-03-13,10.92007064819336
2000-03-14,11.28636360168457
2000-03-15,11.92737865447998
2000-03-16,12.68285083770752
2000-03-17,12.65804386138916
2000-03-20,12.543177604675293
2000-03-21,12.864801406860352
2000-03-22,12.635069847106934
2000-03-23,12.451292991638184
2000-03-24,12.703984260559082
2000-03-27,12.703984260559082
2000-03-28,12.726963996887207
2000-03-29,12.841825485229492
2000-03-30,13.416149139404297
2000-03-31,13.485068321228027
2000-04-03,13.66884994506836
2000-04-04,13.576956748962402
2000-04-05,13.875596046447754
2000-04-06,13.92155647277832
2000-04-07,13.760733604431152
2000-04-10,13.92155647277832
2000-04-11,14.059385299682617
2000-04-12,14.105337142944336
2000-04-13,13.944525718688965
2000-04-14,13.462093353271484
2000-04-17,13.370198249816895
2000-04-18,13.071550369262695
2000-04-19,13.09453010559082
2000-04-20,13.462093353271484
2000-04-24,13.944525718688965
2000-04-25,14.174247741699219
2000-04-26,14.289112091064453
2000-04-27,14.335067749023438
2000-04-28,14.358028411865234
2000-05-01,14.771549224853516
2000-05-02,14.72559928894043
2000-05-03,14.656675338745117
2000-05-04,14.656675338745117
2000-05-05,14.794525146484375
2000-05-08,14.426955223083496
2000-05-09,14.702624320983887
2000-05-10,14.702624320983887
2000-05-11,14.955327033996582
2000-05-12,15.024249076843262
2000-05-15,15.001267433166504
2000-05-16,14.702624320983887
2000-05-17,14.702624320983887
2000-05-18,14.403980255126953
2000-05-19,14.335067749023438
2000-05-22,14.541808128356934
2000-05-23,14.335067749023438
2000-05-24,14.426955223083496
2000-05-25,13.944525718688965
2000-05-26,14.036418914794922
2000-05-30,14.220195770263672
2000-05-31,14.059385299682617
2000-06-01,14.036418914794922
2000-06-02,14.403980255126953
2000-06-05,14.059385299682617
2000-06-06,13.92155647277832
2000-06-07,13.990466117858887
2000-06-08,14.128300666809082
2000-06-09,14.105337142944336
2000-06-12,13.645875930786133
2000-06-13,13.71479320526123
2000-06-14,13.852631568908691
2000-06-15,13.71479320526123
2000-06-16,13.65533447265625
2000-06-19,13.62076187133789
2000-06-20,13.482476234436035
2000-06-21,13.205914497375488
2000-06-22,13.182868957519531
2000-06-23,13.275056838989258
2000-06-26,13.22895622253418
2000-06-27,13.62076187133789
2000-06-28,13.770565032958984
2000-06-29,14.035606384277344
2000-06-30,14.4043550491333
2000-07-03,14.75006103515625
2000-07-05,14.75006103515625
2000-07-06,14.173885345458984
2000-07-07,14.173885345458984
2000-07-10,14.243033409118652
2000-07-11,13.966473579406738
2000-07-12,13.78209400177002
2000-07-13,13.78209400177002
2000-07-14,13.68990421295166
2000-07-17,13.298105239868164
2000-07-18,13.459433555603027
2000-07-19,13.528579711914062
2000-07-20,13.62076187133789
2000-07-21,13.321151733398438
2000-07-24,13.067641258239746
2000-07-25,13.344198226928711
2000-07-26,12.860207557678223
2000-07-27,13.079156875610352
2000-07-28,13.321151733398438
2000-07-31,13.205914497375488
2000-08-01,13.22895622253418
2000-08-02,13.22895622253418
2000-08-03,13.344198226928711
2000-08-04,13.390294075012207
2000-08-07,13.8281831741333
2000-08-08,13.920366287231445
2000-08-09,13.62076187133789
2000-08-10,13.643808364868164
2000-08-11,14.058655738830566
2000-08-14,14.012560844421387
2000-08-15,14.10474681854248
2000-08-16,14.19693660736084
2000-08-17,14.173885345458984
2000-08-18,14.19693660736084
2000-08-21,14.289127349853516
2000-08-22,14.56568431854248
2000-08-23,14.49654483795166
2000-08-24,14.243033409118652
2000-08-25,14.335214614868164
2000-08-28,14.219982147216797
2000-08-29,14.058655738830566
2000-08-30,14.081707000732422
2000-08-31,14.358260154724121
2000-09-01,14.266079902648926
2000-09-05,14.266079902648926
2000-09-06,14.4043550491333
2000-09-07,14.173885345458984
2000-09-08,13.989516258239746
2000-09-11,14.058655738830566
2000-09-12,14.289127349853516
2000-09-13,13.989516258239746
2000-09-14,13.574673652648926
2000-09-15,13.387845993041992
2000-09-18,13.480326652526855
2000-09-19,13.364714622497559
2000-09-20,13.202861785888672
2000-09-21,13.295350074768066
2000-09-22,13.272225379943848
2000-09-25,13.225983619689941
2000-09-26,12.671046257019043
2000-09-27,12.601677894592285
2000-09-28,13.11037540435791
2000-09-29,13.341594696044922
2000-10-02,13.272225379943848
2000-10-03,13.595947265625
2000-10-04,13.526571273803711
2000-10-05,13.410956382751465
2000-10-06,13.272225379943848
2000-10-09,13.202861785888672
2000-10-10,13.457208633422852
2000-10-11,13.410956382751465
2000-10-12,13.272225379943848
2000-10-13,13.133501052856445
2000-10-16,13.225983619689941
2000-10-17,12.971641540527344
2000-10-18,12.856024742126465
2000-10-19,12.902267456054688
2000-10-20,12.99476146697998
2000-10-23,13.087242126464844
2000-10-24,13.619071006774902
2000-10-25,13.64218521118164
2000-10-26,13.942771911621094
2000-10-27,14.127760887145996
2000-10-30,14.86766529083252
2000-10-31,14.497712135314941
2000-11-01,14.428345680236816
2000-11-02,14.659571647644043
2000-11-03,14.63643741607666
2000-11-06,14.752059936523438
2000-11-07,14.82142448425293
2000-11-08,14.63643741607666
2000-11-09,14.798304557800293
2000-11-10,14.705812454223633
2000-11-13,14.474588394165039
2000-11-14,14.752059936523438
2000-11-15,14.89079761505127
2000-11-16,14.659571647644043
2000-11-17,14.82142448425293
2000-11-20,14.682697296142578
2000-11-21,15.122017860412598
2000-11-22,15.052645683288574
2000-11-24,15.191400527954102
2000-11-27,15.214503288269043
2000-11-28,15.445723533630371
2000-11-29,15.81568431854248
2000-11-30,16.070032119750977
2000-12-01,16.000659942626953
2000-12-04,16.18564224243164
2000-12-05,15.792561531066895
2000-12-06,15.491971015930176
2000-12-07,15.422599792480469
