Date,PNW
2000-01-03,9.33419132232666
2000-01-04,9.4518461227417
2000-01-05,9.706769943237305
2000-01-06,9.765602111816406
2000-01-07,10.040131568908691
2000-01-10,9.902871131896973
2000-01-11,9.804827690124512
2000-01-12,9.961697578430176
2000-01-13,9.745992660522461
2000-01-14,9.687163352966309
2000-01-18,9.4518461227417
2000-01-19,9.745992660522461
2000-01-20,9.53028392791748
2000-01-21,9.687163352966309
2000-01-24,9.942089080810547
2000-01-25,9.510677337646484
2000-01-26,9.687163352966309
2000-01-27,9.922477722167969
2000-01-28,9.498137474060059
2000-01-31,9.795571327209473
2000-02-01,9.835230827331543
2000-02-02,9.835230827331543
2000-02-03,10.053351402282715
2000-02-04,9.775745391845703
2000-02-07,9.716254234313965
2000-02-08,9.815404891967773
2000-02-09,9.775745391845703
2000-02-10,9.656765937805176
2000-02-11,9.656765937805176
2000-02-14,9.636941909790039
2000-02-15,9.617109298706055
2000-02-16,9.517965316772461
2000-02-17,9.398991584777832
2000-02-18,9.161042213439941
2000-02-22,9.180872917175293
2000-02-23,8.962750434875488
2000-02-24,8.685145378112793
2000-02-25,8.328225135803223
2000-02-28,8.784290313720703
2000-02-29,8.724801063537598
2000-03-01,8.685145378112793
2000-03-02,8.704976081848145
2000-03-03,8.685145378112793
2000-03-06,8.288562774658203
2000-03-07,8.387704849243164
2000-03-08,8.407536506652832
2000-03-09,8.546342849731445
2000-03-10,8.308388710021973
2000-03-13,8.22907543182373
2000-03-14,8.268733024597168
2000-03-15,9.061899185180664
2000-03-16,9.398991584777832
2000-03-17,9.121382713317871
2000-03-20,9.002406120300293
2000-03-21,8.823943138122559
2000-03-22,8.467026710510254
2000-03-23,8.585997581481934
2000-03-24,8.467026710510254
2000-03-27,8.506683349609375
2000-03-28,8.526510238647461
2000-03-29,8.724801063537598
2000-03-30,8.863604545593262
2000-03-31,8.942922592163086
2000-04-03,8.942922592163086
2000-04-04,9.081724166870117
2000-04-05,9.299845695495605
2000-04-06,9.220527648925781
2000-04-07,9.180872917175293
2000-04-10,9.359329223632812
2000-04-11,9.319674491882324
2000-04-12,9.57745361328125
2000-04-13,9.815404891967773
2000-04-14,9.597285270690918
2000-04-17,9.636941909790039
2000-04-18,9.47830867767334
2000-04-19,9.69642448425293
2000-04-20,9.855058670043945
2000-04-24,10.410276412963867
2000-04-25,10.668054580688477
2000-04-26,11.104290008544922
2000-04-27,10.735754013061523
2000-04-28,11.236486434936523
2000-05-01,11.25651741027832
2000-05-02,10.916019439697266
2000-05-03,10.795844078063965
2000-05-04,11.076254844665527
2000-05-05,11.21645736694336
2000-05-08,11.697164535522461
2000-05-09,11.757248878479004
2000-05-10,11.917491912841797
2000-05-11,12.097750663757324
2000-05-12,11.837372779846191
2000-05-15,12.097750663757324
2000-05-16,11.97757339477539
2000-05-17,11.597015380859375
2000-05-18,11.757248878479004
2000-05-19,11.757248878479004
2000-05-22,11.937515258789062
2000-05-23,11.73721981048584
2000-05-24,11.937515258789062
2000-05-25,11.536928176879883
2000-05-26,11.597015380859375
2000-05-30,11.576983451843262
2000-05-31,11.456808090209961
2000-06-01,11.436784744262695
2000-06-02,11.21645736694336
2000-06-05,10.855924606323242
2000-06-06,11.15637493133545
2000-06-07,11.076254844665527
2000-06-08,11.05622386932373
2000-06-09,11.136337280273438
2000-06-12,11.21645736694336
2000-06-13,11.436784744262695
2000-06-14,11.25651741027832
2000-06-15,11.516898155212402
2000-06-16,11.54694652557373
2000-06-19,11.436784744262695
