Date,GIS
2000-01-03,7.52232027053833
2000-01-04,7.385800361633301
2000-01-05,7.34484338760376
2000-01-06,7.391642093658447
2000-01-07,7.4054059982299805
2000-01-10,7.253991603851318
2000-01-11,7.350347518920898
2000-01-12,7.336583137512207
2000-01-13,7.36411190032959
2000-01-14,7.198941230773926
2000-01-18,7.267758846282959
2000-01-19,7.198941230773926
2000-01-20,7.07505464553833
2000-01-21,6.937405586242676
2000-01-24,6.868586540222168
2000-01-25,6.648347854614258
2000-01-26,6.827288627624512
2000-01-27,6.689638614654541
2000-01-28,6.662113189697266
2000-01-31,6.868586540222168
2000-02-01,6.662113189697266
2000-02-02,6.634585857391357
2000-02-03,6.744701862335205
2000-02-04,6.689638614654541
2000-02-07,6.730937480926514
2000-02-08,6.7859978675842285
2000-02-09,6.717175006866455
2000-02-10,6.620822906494141
2000-02-11,6.703409194946289
2000-02-14,6.827288627624512
2000-02-15,7.143877983093262
2000-02-16,7.061289310455322
2000-02-17,7.130110263824463
2000-02-18,7.061289310455322
2000-02-22,7.36411190032959
2000-02-23,7.36411190032959
2000-02-24,7.295290470123291
2000-02-25,7.267758846282959
2000-02-28,7.253991603851318
2000-02-29,7.253991603851318
2000-03-01,7.309056282043457
2000-03-02,7.088817596435547
2000-03-03,7.130110263824463
2000-03-06,6.9924635887146
2000-03-07,6.827288627624512
2000-03-08,6.909879207611084
2000-03-09,6.951173305511475
2000-03-10,6.909879207611084
2000-03-13,6.827288627624512
2000-03-14,6.744701862335205
2000-03-15,7.212702751159668
2000-03-16,7.749523162841797
2000-03-17,7.598111629486084
2000-03-20,7.666938781738281
2000-03-21,7.653172969818115
2000-03-22,7.639406204223633
2000-03-23,7.694468021392822
2000-03-24,7.543054580688477
2000-03-27,7.5155229568481445
2000-03-28,7.55681848526001
2000-03-29,7.666938781738281
2000-03-30,7.900938034057617
2000-03-31,7.969760894775391
2000-04-03,7.887171268463135
2000-04-04,8.148700714111328
2000-04-05,8.03858470916748
2000-04-06,8.002524375915527
2000-04-07,7.849963665008545
2000-04-10,7.78061580657959
2000-04-11,7.905440807342529
2000-04-12,8.099609375
2000-04-13,8.224431991577148
2000-04-14,8.03026294708252
2000-04-17,8.141215324401855
2000-04-18,8.016389846801758
2000-04-19,8.002524375915527
2000-04-20,8.03026294708252
2000-04-24,8.168957710266113
2000-04-25,8.432467460632324
2000-04-26,8.376989364624023
2000-04-27,8.238299369812012
2000-04-28,8.071873664855957
