Date,EXR
2004-08-16,5.096020698547363
2004-08-17,5.100096225738525
2004-08-18,5.100096225738525
2004-08-19,5.108251094818115
2004-08-20,5.1164045333862305
2004-08-23,5.1164045333862305
2004-08-24,5.291708469390869
2004-08-25,5.299861907958984
2004-08-26,5.4547810554504395
2004-08-27,5.483319282531738
2004-08-30,5.495548725128174
2004-08-31,5.626005172729492
2004-09-01,5.564854145050049
2004-09-02,5.621930122375488
2004-09-03,5.564854145050049
2004-09-07,5.626005172729492
2004-09-08,5.564854145050049
2004-09-09,5.499624729156494
2004-09-10,5.544471263885498
2004-09-13,5.635311126708984
2004-09-14,5.553104877471924
2004-09-15,5.487337589263916
2004-09-16,5.479117393493652
2004-09-17,5.606539726257324
2004-09-20,5.487337589263916
2004-09-21,5.536661148071289
2004-09-22,5.548993110656738
2004-09-23,5.462677001953125
2004-09-24,5.548993110656738
2004-09-27,5.3640265464782715
2004-09-28,5.306480884552002
2004-09-29,5.2941508293151855
2004-09-30,5.2407145500183105
2004-10-01,5.343473434448242
2004-10-04,5.318811893463135
2004-10-05,5.285928249359131
2004-10-06,5.384578704833984
2004-10-07,5.351696014404297
2004-10-08,5.433902263641357
2004-10-11,5.384578704833984
2004-10-12,5.384578704833984
2004-10-13,5.327034950256348
2004-10-14,5.36813497543335
2004-10-15,5.335254192352295
2004-10-18,5.392799377441406
2004-10-19,5.3640265464782715
2004-10-20,5.384578704833984
2004-10-21,5.499667644500732
2004-10-22,5.466787338256836
2004-10-25,5.466787338256836
2004-10-26,5.569543838500977
2004-10-27,5.713408946990967
2004-10-28,5.721629619598389
2004-10-29,5.696964263916016
2004-11-01,5.647642135620117
2004-11-02,5.696964263916016
2004-11-03,5.713408946990967
2004-11-04,5.754510402679443
2004-11-05,5.775060653686523
2004-11-08,5.775060653686523
2004-11-09,5.787395000457764
2004-11-10,5.807943344116211
2004-11-11,5.816165924072266
2004-11-12,5.7956156730651855
2004-11-15,5.898374557495117
2004-11-16,5.7956156730651855
2004-11-17,5.836716651916504
2004-11-18,5.775060653686523
2004-11-19,5.775060653686523
2004-11-22,5.828497886657715
2004-11-23,5.812054634094238
2004-11-24,5.746288299560547
2004-11-26,5.713408946990967
2004-11-29,5.754510402679443
2004-11-30,5.713408946990967
2004-12-01,5.754510402679443
2004-12-02,5.836716651916504
2004-12-03,5.898374557495117
2004-12-06,5.816165924072266
2004-12-07,5.754510402679443
2004-12-08,5.775060653686523
2004-12-09,5.744980812072754
2004-12-10,5.715731620788574
2004-12-13,5.719912528991699
2004-12-14,5.644705772399902
2004-12-15,5.58203125
2004-12-16,5.59456729888916
2004-12-17,5.552786827087402
2004-12-20,5.548605442047119
2004-12-21,5.58203125
2004-12-22,5.665595054626465
2004-12-23,5.661416053771973
2004-12-27,5.6112799644470215
2004-12-28,5.682308197021484
2004-12-29,5.577853679656982
2004-12-30,5.598745822906494
2004-12-31,5.569498062133789
2005-01-03,5.552786827087402
2005-01-04,5.607100963592529
2005-01-05,5.431617259979248
2005-01-06,5.61963415145874
2005-01-07,5.74915885925293
2005-01-10,5.602921962738037
2005-01-11,5.623813629150391
2005-01-12,5.64052677154541
2005-01-13,5.452508449554443
2005-01-14,5.790937900543213
2005-01-18,5.53607177734375
2005-01-19,5.556965351104736
2005-01-20,5.494288444519043
2005-01-21,5.506825923919678
2005-01-24,5.527714252471924
2005-01-25,5.477578639984131
2005-01-26,5.410727500915527
2005-01-27,5.431617259979248
2005-01-28,5.406548023223877
2005-01-31,5.4190850257873535
2005-02-01,5.452508449554443
2005-02-02,5.414906024932861
2005-02-03,5.431617259979248
2005-02-04,5.515178680419922
2005-02-07,5.544427871704102
2005-02-08,5.577853679656982
2005-02-09,5.552786827087402
2005-02-10,5.648881912231445
2005-02-11,5.782582759857178
2005-02-14,5.761692047119141
2005-02-15,5.703199863433838
2005-02-16,5.861969947814941
