Date,F
2000-01-03,11.220455169677734
2000-01-04,10.845544815063477
2000-01-05,10.885714530944824
2000-01-06,10.899107933044434
2000-01-07,11.702476501464844
2000-01-10,11.48824405670166
2000-01-11,11.180289268493652
2000-01-12,11.50163459777832
2000-01-13,11.367742538452148
2000-01-14,11.086559295654297
2000-01-18,11.622142791748047
2000-01-19,11.448078155517578
2000-01-20,11.186980247497559
2000-01-21,10.805379867553711
2000-01-24,10.95266056060791
2000-01-25,10.73843002319336
2000-01-26,10.283180236816406
2000-01-27,10.698254585266113
2000-01-28,10.603585243225098
2000-01-31,10.765887260437012
2000-02-01,10.779413223266602
2000-02-02,10.52243709564209
2000-02-03,10.549484252929688
2000-02-04,10.400708198547363
2000-02-07,10.373661041259766
2000-02-08,10.414241790771484
2000-02-09,10.21136474609375
2000-02-10,10.17078685760498
2000-02-11,9.981438636779785
2000-02-14,10.18431282043457
2000-02-15,10.035536766052246
2000-02-16,10.02200984954834
2000-02-17,9.92733383178711
2000-02-18,9.386336326599121
2000-02-22,9.535112380981445
2000-02-23,9.305185317993164
2000-02-24,9.19698715209961
2000-02-25,9.29166316986084
2000-02-28,9.237563133239746
2000-02-29,9.007635116577148
2000-03-01,9.000871658325195
2000-03-02,8.95353889465332
2000-03-03,9.237563133239746
2000-03-06,9.075263977050781
2000-03-07,8.899436950683594
2000-03-08,9.210512161254883
2000-03-09,9.007635116577148
2000-03-10,8.885910987854004
2000-03-13,9.210512161254883
2000-03-14,8.872391700744629
2000-03-15,9.535112380981445
2000-03-16,9.481013298034668
2000-03-17,9.656835556030273
2000-03-20,9.467489242553711
2000-03-21,9.913811683654785
2000-03-22,9.521590232849121
2000-03-23,9.629786491394043
2000-03-24,9.656835556030273
2000-03-27,9.562162399291992
2000-03-28,9.629786491394043
2000-03-29,9.697410583496094
2000-03-30,10.089634895324707
2000-03-31,9.940858840942383
2000-04-03,10.17078685760498
2000-04-04,10.617112159729004
2000-04-05,10.671213150024414
2000-04-06,10.8064546585083
2000-04-07,10.468338012695312
2000-04-10,11.049908638000488
2000-04-11,11.239255905151367
2000-04-12,11.604433059692383
2000-04-13,11.780261993408203
2000-04-14,11.30688190460205
2000-04-17,12.348307609558105
2000-04-18,11.983132362365723
2000-04-19,11.901983261108398
2000-04-20,11.929037094116211
2000-04-24,11.969608306884766
2000-04-25,11.901983261108398
2000-04-26,11.901983261108398
2000-04-27,11.929037094116211
2000-04-28,11.956332206726074
2000-05-01,11.806193351745605
2000-05-02,11.628761291503906
2000-05-03,11.587815284729004
2000-05-04,11.492271423339844
2000-05-05,11.546863555908203
2000-05-08,11.697002410888672
2000-05-09,11.587815284729004
2000-05-10,11.41037368774414
2000-05-11,11.560519218444824
2000-05-12,11.656054496765137
2000-05-15,11.437681198120117
2000-05-16,11.615116119384766
2000-05-17,11.437681198120117
2000-05-18,11.710655212402344
2000-05-19,11.669705390930176
2000-05-22,11.192001342773438
2000-05-23,11.219294548034668
2000-05-24,11.342133522033691
2000-05-25,11.069156646728516
2000-05-26,10.523208618164062
2000-05-30,10.71429443359375
2000-05-31,10.60509967803955
2000-06-01,10.809837341308594
2000-06-02,10.56415843963623
2000-06-05,11.11011028289795
2000-06-06,10.919023513793945
2000-06-07,10.796182632446289
2000-06-08,10.700643539428711
2000-06-09,10.891722679138184
2000-06-12,10.946319580078125
2000-06-13,10.90537166595459
2000-06-14,10.536856651306152
2000-06-15,10.045498847961426
2000-06-16,9.827122688293457
2000-06-19,9.745229721069336
2000-06-20,9.390358924865723
2000-06-21,9.540494918823242
2000-06-22,9.540494918823242
2000-06-23,9.704283714294434
2000-06-26,9.36306095123291
2000-06-27,9.36306095123291
2000-06-28,9.608744621276855
2000-06-29,9.831328392028809
2000-06-30,9.774497985839844
2000-07-03,9.987604141235352
2000-07-05,10.186505317687988
2000-07-06,10.527475357055664
2000-07-07,10.513269424438477
2000-07-10,10.626927375793457
2000-07-11,10.868447303771973
2000-07-12,10.982107162475586
2000-07-13,10.953686714172363
2000-07-14,10.797410011291504
2000-07-17,10.534579277038574
2000-07-18,10.669546127319336
2000-07-19,10.78320598602295
2000-07-20,10.76899528503418
2000-07-21,10.76899528503418
2000-07-24,10.754634857177734
2000-07-25,10.869508743286133
2000-07-26,10.74028205871582
2000-07-27,10.797717094421387
2000-07-28,10.596698760986328
2000-07-31,10.697203636169434
2000-08-01,10.768994331359863
2000-08-02,10.697203636169434
2000-08-03,11.747478485107422
2000-08-04,11.697280883789062
2000-08-07,11.722375869750977
2000-08-08,11.847890853881836
2000-08-09,11.847890853881836
2000-08-10,11.847890853881836
2000-08-11,11.697280883789062
2000-08-14,11.647074699401855
2000-08-15,11.421165466308594
2000-08-16,11.370955467224121
2000-08-17,10.868931770324707
2000-08-18,11.14504623413086
2000-08-21,10.944233894348145
2000-08-22,11.245450973510742
2000-08-23,10.994439125061035
