Date,EFX
2000-01-03,10.41010570526123
2000-01-04,10.061164855957031
2000-01-05,9.944852828979492
2000-01-06,9.82854175567627
2000-01-07,10.29379653930664
2000-01-10,10.206559181213379
2000-01-11,10.497337341308594
2000-01-12,10.032085418701172
2000-01-13,9.450518608093262
2000-01-14,9.88669204711914
2000-01-18,9.799461364746094
2000-01-19,9.857612609863281
2000-01-20,9.624985694885254
2000-01-21,9.508666038513184
2000-01-24,9.246960639953613
2000-01-25,9.88669204711914
2000-01-26,9.88669204711914
2000-01-27,9.973923683166504
2000-01-28,10.032085418701172
2000-01-31,10.003006935119629
2000-02-01,9.770379066467285
2000-02-02,10.003006935119629
2000-02-03,10.119324684143066
2000-02-04,10.061164855957031
2000-02-07,9.915769577026367
2000-02-08,10.264714241027832
2000-02-09,10.003006935119629
2000-02-10,10.206559181213379
2000-02-11,10.322874069213867
2000-02-14,10.235634803771973
2000-02-15,10.206559181213379
2000-02-16,10.119324684143066
2000-02-17,10.119324684143066
2000-02-18,9.958352088928223
2000-02-22,9.899947166442871
2000-02-23,10.162775993347168
2000-02-24,10.25039005279541
2000-02-25,9.987556457519531
2000-02-28,9.899947166442871
2000-02-29,9.899947166442871
2000-03-01,9.84154224395752
2000-03-02,9.870745658874512
2000-03-03,9.812335014343262
2000-03-06,9.84154224395752
2000-03-07,9.724723815917969
2000-03-08,9.783126831054688
2000-03-09,10.01675796508789
2000-03-10,10.308794975280762
2000-03-13,10.279590606689453
2000-03-14,10.075164794921875
2000-03-15,10.367201805114746
2000-03-16,11.360113143920898
2000-03-17,11.214092254638672
2000-03-20,10.630033493041992
2000-03-21,10.688441276550293
2000-03-22,10.805253982543945
2000-03-23,11.214092254638672
2000-03-24,11.330913543701172
2000-03-27,11.56453800201416
2000-03-28,11.652155876159668
2000-03-29,11.330913543701172
2000-03-30,11.535335540771484
2000-03-31,11.798161506652832
2000-04-03,12.14861011505127
2000-04-04,12.031792640686035
2000-04-05,12.119405746459961
2000-04-06,12.645064353942871
2000-04-07,13.22912883758545
2000-04-10,12.937100410461426
2000-04-11,13.112319946289062
2000-04-12,13.375146865844727
2000-04-13,12.645064353942871
2000-04-14,12.35303020477295
2000-04-17,12.119405746459961
2000-04-18,11.914982795715332
2000-04-19,11.535335540771484
2000-04-20,11.94417667388916
2000-04-24,11.827366828918457
2000-04-25,12.35303020477295
2000-04-26,11.73975944519043
2000-04-27,11.56453800201416
