Date,APO
2011-03-30,7.048638343811035
2011-03-31,6.971179485321045
2011-04-01,6.971179485321045
2011-04-04,6.924702167510986
2011-04-05,6.963435649871826
2011-04-06,7.009908199310303
2011-04-07,6.9750518798828125
2011-04-08,6.971179485321045
2011-04-11,6.994417667388916
2011-04-12,7.044764041900635
2011-04-13,7.009908199310303
2011-04-14,7.0680012702941895
2011-04-15,7.164820671081543
2011-04-18,7.040891170501709
2011-04-19,7.048638343811035
2011-04-20,7.060254096984863
2011-04-21,7.013780117034912
2011-04-25,6.994417667388916
2011-04-26,7.040891170501709
2011-04-27,7.040891170501709
2011-04-28,7.013780117034912
2011-04-29,7.002160549163818
2011-05-02,7.044764041900635
2011-05-03,7.075747966766357
2011-05-04,6.963435649871826
2011-05-05,6.94794225692749
2011-05-06,6.959559917449951
2011-05-09,7.164820671081543
2011-05-10,7.246153831481934
2011-05-11,7.157073497772217
2011-05-12,7.133840084075928
2011-05-13,7.075747966766357
2011-05-16,6.905340671539307
2011-05-17,6.653602600097656
2011-05-18,6.913086414337158
2011-05-19,6.967985153198242
2011-05-20,6.99935245513916
2011-05-23,6.901322364807129
2011-05-24,6.889557838439941
2011-05-25,6.8111371994018555
2011-05-26,6.960141181945801
2011-05-27,7.132676124572754
2011-05-31,7.066011905670166
2011-06-01,7.030719757080078
2011-06-02,7.0032734870910645
2011-06-03,6.99935245513916
2011-06-06,6.822896957397461
2011-06-07,6.634678840637207
2011-06-08,6.568020343780518
2011-06-09,6.387646198272705
2011-06-10,6.132766246795654
2011-06-13,6.081789970397949
2011-06-14,6.273930072784424
2011-06-15,6.262165069580078
2011-06-16,6.222953796386719
2011-06-17,6.254326343536377
2011-06-20,6.156294822692871
2011-06-21,6.273930072784424
2011-06-22,6.399406433105469
2011-06-23,6.313140869140625
2011-06-24,6.273930072784424
2011-06-27,6.32098388671875
2011-06-28,6.505281448364258
2011-06-29,6.7170281410217285
2011-06-30,6.744473934173584
2011-07-01,6.720946311950684
2011-07-05,6.662127494812012
2011-07-06,6.6189961433410645
2011-07-07,6.6150736808776855
2011-07-08,6.666049480438232
2011-07-11,6.48567533493042
2011-07-12,6.528806209564209
2011-07-13,6.426854610443115
2011-07-14,6.375882148742676
2011-07-15,6.469991207122803
2011-07-18,6.234715938568115
2011-07-19,6.273930072784424
2011-07-20,6.407250881195068
2011-07-21,6.568020343780518
2011-07-22,6.642521381378174
2011-07-25,6.744473934173584
2011-07-26,6.775843143463135
2011-07-27,6.591546535491943
2011-07-28,6.6150736808776855
2011-07-29,6.7876057624816895
2011-08-01,6.862111568450928
2011-08-02,6.595468521118164
2011-08-03,6.560178756713867
2011-08-04,5.854360103607178
2011-08-05,5.509294509887695
2011-08-08,5.191675186157227
2011-08-09,5.544585227966309
2011-08-10,5.336761474609375
2011-08-11,5.336761474609375
2011-08-12,5.207361698150635
2011-08-15,5.226966857910156
2011-08-16,5.556346893310547
2011-08-17,5.662222385406494
2011-08-18,5.574497222900391
2011-08-19,5.522660732269287
2011-08-22,5.271446704864502
2011-08-23,5.323286056518555
2011-08-24,5.255498886108398
2011-08-25,5.1837239265441895
2011-08-26,4.988336086273193
2011-08-29,5.028213024139404
2011-08-30,5.10397481918335
2011-08-31,5.171761989593506
2011-09-01,5.147836208343506
2011-09-02,4.832825660705566
2011-09-06,4.860739231109619
2011-09-07,4.753075122833252
2011-09-08,4.473951816558838
2011-09-09,4.585601329803467
2011-09-12,4.326414585113525
2011-09-13,4.517815589904785
2011-09-14,4.717188835144043
2011-09-15,4.721175670623779
2011-09-16,4.784977436065674
2011-09-19,4.72914981842041
2011-09-20,4.629462718963623
2011-09-21,4.430089950561523
2011-09-22,4.127042293548584
2011-09-23,4.007416725158691
2011-09-26,3.987480640411377
2011-09-27,4.047291278839111
2011-09-28,3.975518226623535
2011-09-29,4.087166786193848
2011-09-30,4.083179473876953
2011-10-03,3.8319687843322754
2011-10-04,3.947605848312378
2011-10-05,4.10710334777832
2011-10-06,4.123054027557373
2011-10-07,4.087166786193848
2011-10-10,4.166916847229004
2011-10-11,4.194828033447266
2011-10-12,4.3224287033081055
2011-10-13,4.278566360473633
2011-10-14,4.2945146560668945
2011-10-17,4.2945146560668945
2011-10-18,4.278566360473633
2011-10-19,4.202803134918213
2011-10-20,4.3463521003723145
2011-10-21,4.493889331817627
2011-10-24,4.693264961242676
2011-10-25,4.66136360168457
2011-10-26,4.840799331665039
2011-10-27,5.299360752105713
2011-10-28,5.29537296295166
2011-10-31,5.28341007232666
2011-11-01,5.111949443817139
2011-11-02,5.219610214233398
2011-11-03,5.199673652648926
2011-11-04,5.271446704864502
2011-11-07,5.54658317565918
2011-11-08,5.506709098815918
2011-11-09,5.506709098815918
2011-11-10,5.271446704864502
2011-11-11,5.239548683166504
2011-11-14,5.171761989593506
2011-11-15,5.080047607421875
2011-11-16,5.171761989593506
2011-11-17,4.824852466583252
2011-11-18,4.904600620269775
2011-11-21,4.673325061798096
2011-11-22,4.697665691375732
2011-11-23,4.596248626708984
2011-11-25,4.511057376861572
2011-11-28,4.705780506134033
2011-11-29,4.900501251220703
2011-11-30,5.0789971351623535
2011-12-01,5.131733417510986
2011-12-02,5.2737202644348145
2011-12-05,5.606369495391846
2011-12-06,5.667220115661621
2011-12-07,5.513063907623291
2011-12-08,5.342682361602783
2011-12-09,5.500894546508789
2011-12-12,5.350796699523926
2011-12-13,5.375136852264404
2011-12-14,5.152016639709473
2011-12-15,5.09928035736084
2011-12-16,4.77068567276001
2011-12-19,4.8031415939331055
2011-12-20,4.9126715660095215
2011-12-21,4.965411186218262
2011-12-22,4.977578163146973
2011-12-23,4.989750385284424
2011-12-27,4.989750385284424
2011-12-28,5.062769889831543
2011-12-29,4.985693454742432
2011-12-30,5.034374237060547
2012-01-03,5.294003486633301
2012-01-04,5.318343162536621
2012-01-05,5.43598747253418
2012-01-06,5.650994300842285
2012-01-09,5.4846696853637695
2012-01-10,5.622596740722656
2012-01-11,5.509007930755615
