Date,CHD
2000-01-03,3.138899803161621
2000-01-04,3.0634453296661377
2000-01-05,3.0634453296661377
2000-01-06,3.1690807342529297
2000-01-07,3.289806604385376
2000-01-10,3.244537353515625
2000-01-11,3.214355230331421
2000-01-12,3.1539900302886963
2000-01-13,3.297353744506836
2000-01-14,3.267172336578369
2000-01-18,3.1615359783172607
2000-01-19,3.123809337615967
2000-01-20,3.1087183952331543
2000-01-21,2.9955368041992188
2000-01-24,2.9351730346679688
2000-01-25,2.7616281509399414
2000-01-26,2.8144471645355225
2000-01-27,2.7691731452941895
2000-01-28,2.6786282062530518
2000-01-31,2.6635377407073975
2000-02-01,2.4824464321136475
2000-02-02,2.5654470920562744
2000-02-03,2.4975383281707764
2000-02-04,2.4447197914123535
2000-02-07,2.3390846252441406
2000-02-08,2.2112550735473633
2000-02-09,1.9916445016860962
2000-02-10,1.984071135520935
2000-02-11,1.931063175201416
2000-02-14,2.0370795726776123
2000-02-15,2.241547107696533
2000-02-16,2.2036831378936768
2000-02-17,2.1885383129119873
2000-02-18,2.067373275756836
2000-02-22,2.0825183391571045
2000-02-23,2.0976638793945312
2000-02-24,2.044654369354248
2000-02-25,2.0143625736236572
2000-02-28,2.0825183391571045
2000-02-29,2.067373275756836
2000-03-01,2.067373275756836
2000-03-02,2.0522267818450928
2000-03-03,2.135528564453125
2000-03-06,2.165818452835083
2000-03-07,2.074944019317627
2000-03-08,2.0370795726776123
2000-03-09,2.0522267818450928
2000-03-10,1.8098973035812378
2000-03-13,1.817470669746399
2000-03-14,1.7947514057159424
2000-03-15,1.840187907218933
2000-03-16,1.9083436727523804
2000-03-17,1.855333924293518
2000-03-20,1.9386353492736816
2000-03-21,1.931063175201416
2000-03-22,1.9159168004989624
2000-03-23,1.9537804126739502
2000-03-24,1.8629060983657837
2000-03-27,1.8477623462677002
2000-03-28,1.817470669746399
2000-03-29,1.8250442743301392
2000-03-30,1.9916445016860962
2000-03-31,2.0825183391571045
2000-04-03,2.165818452835083
2000-04-04,2.067373275756836
2000-04-05,2.067373275756836
2000-04-06,2.0219359397888184
2000-04-07,1.9992170333862305
2000-04-10,2.059799909591675
2000-04-11,2.0370795726776123
2000-04-12,2.0143625736236572
2000-04-13,2.074944019317627
2000-04-14,1.984071135520935
2000-04-17,2.029508590698242
2000-04-18,2.0143625736236572
2000-04-19,1.984071135520935
2000-04-20,2.029508590698242
2000-04-24,2.044654369354248
2000-04-25,1.9537804126739502
2000-04-26,2.0219359397888184
2000-04-27,2.0370795726776123
2000-04-28,2.165818452835083
2000-05-01,2.2869832515716553
2000-05-02,2.3021292686462402
2000-05-03,2.279411792755127
2000-05-04,2.3248469829559326
2000-05-05,2.3778555393218994
2000-05-08,2.3248469829559326
2000-05-09,2.309702157974243
2000-05-10,2.303013563156128
2000-05-11,2.333416700363159
2000-05-12,2.2118048667907715
2000-05-15,2.2574095726013184
2000-05-16,2.242208480834961
2000-05-17,2.2194058895111084
2000-05-18,2.2194058895111084
2000-05-19,2.1738014221191406
2000-05-22,2.166201114654541
2000-05-23,2.1433990001678467
2000-05-24,2.2118048667907715
2000-05-25,2.128197431564331
2000-05-26,2.150999069213867
2000-05-30,2.181403160095215
2000-05-31,2.2118048667907715
2000-06-01,2.3106141090393066
2000-06-02,2.303013563156128
2000-06-05,2.2498092651367188
2000-06-06,2.242208480834961
2000-06-07,2.234607458114624
2000-06-08,2.242208480834961
2000-06-09,2.2574095726013184
2000-06-12,2.3106141090393066
2000-06-13,2.3638193607330322
2000-06-14,2.333416700363159
2000-06-15,2.4778289794921875
2000-06-16,2.3638193607330322
2000-06-19,2.379021406173706
2000-06-20,2.394221305847168
2000-06-21,2.3866207599639893
2000-06-22,2.295412540435791
2000-06-23,2.2574095726013184
2000-06-26,2.3562185764312744
2000-06-27,2.3106141090393066
2000-06-28,2.3638193607330322
2000-06-29,2.3182146549224854
2000-06-30,2.1890029907226562
2000-07-03,2.295412540435791
2000-07-05,2.242208480834961
2000-07-06,2.227006673812866
2000-07-07,2.242208480834961
2000-07-10,2.3106141090393066
2000-07-11,2.295412540435791
2000-07-12,2.295412540435791
2000-07-13,2.196604013442993
