Date,USB
2000-01-03,8.538983345031738
2000-01-04,8.227532386779785
2000-01-05,8.045852661132812
2000-01-06,8.668754577636719
2000-01-07,9.0061616897583
2000-01-10,8.954256057739258
2000-01-11,8.616846084594727
2000-01-12,9.05807113647461
2000-01-13,9.655017852783203
2000-01-14,9.655017852783203
2000-01-18,9.732881546020508
2000-01-19,9.5512056350708
2000-01-20,9.213800430297852
2000-01-21,9.0061616897583
2000-01-24,8.902344703674316
2000-01-25,9.032120704650879
2000-01-26,9.47334098815918
2000-01-27,9.603110313415527
2000-01-28,9.239751815795898
2000-01-31,9.914562225341797
2000-02-01,10.096245765686035
2000-02-02,10.226014137268066
2000-02-03,9.940522193908691
2000-02-04,9.265707015991211
2000-02-07,9.447388648986816
2000-02-08,9.810747146606445
2000-02-09,9.525249481201172
2000-02-10,9.395479202270508
2000-02-11,9.213800430297852
2000-02-14,9.032120704650879
2000-02-15,9.109978675842285
2000-02-16,8.746614456176758
2000-02-17,8.253485679626465
2000-02-18,7.967990398406982
2000-02-22,8.123717308044434
2000-02-23,7.890124797821045
2000-02-24,7.682492256164551
2000-02-25,7.474860191345215
2000-02-28,7.630585670471191
2000-02-29,7.396990776062012
2000-03-01,7.6046295166015625
2000-03-02,7.76035213470459
2000-03-03,7.812260627746582
2000-03-06,7.6046295166015625
2000-03-07,7.319128036499023
2000-03-08,7.059586048126221
2000-03-09,7.137447834014893
2000-03-10,7.293177604675293
2000-03-13,7.3450798988342285
2000-03-14,7.422948360443115
2000-03-15,8.253485679626465
2000-03-16,9.499299049377441
2000-03-17,9.31761360168457
2000-03-20,9.187845230102539
2000-03-21,9.810747146606445
2000-03-22,9.680974960327148
2000-03-23,9.758834838867188
2000-03-24,9.83670425415039
2000-03-27,9.5512056350708
2000-03-28,9.629064559936523
2000-03-29,9.697236061096191
2000-03-30,9.4358549118042
2000-03-31,9.592682838439941
2000-04-03,10.246129989624023
2000-04-04,10.06317138671875
2000-04-05,9.880200386047363
2000-04-06,9.880200386047363
2000-04-07,9.80178451538086
2000-04-10,9.827924728393555
2000-04-11,10.507514953613281
2000-04-12,11.030282020568848
2000-04-13,10.507514953613281
2000-04-14,10.481380462646484
2000-04-17,10.272274017333984
2000-04-18,10.716620445251465
2000-04-19,10.873451232910156
2000-04-20,11.082557678222656
2000-04-24,11.605315208435059
2000-04-25,11.291659355163574
2000-04-26,11.134836196899414
2000-04-27,10.66434383392334
2000-04-28,10.402959823608398
2000-05-01,10.66434383392334
2000-05-02,10.795037269592285
2000-05-03,10.402959823608398
2000-05-04,9.984755516052246
2000-05-05,10.037030220031738
2000-05-08,10.429099082946777
2000-05-09,10.324553489685059
2000-05-10,10.141582489013672
2000-05-11,10.376825332641602
2000-05-12,10.585933685302734
2000-05-15,10.559794425964355
2000-05-16,10.219998359680176
2000-05-17,9.723372459411621
2000-05-18,9.644965171813965
2000-05-19,9.932475090026855
2000-05-22,10.272274017333984
2000-05-23,10.455245018005371
2000-05-24,10.795037269592285
2000-05-25,10.585933685302734
2000-05-26,10.66434383392334
2000-05-30,10.795037269592285
2000-05-31,10.690481185913086
2000-06-01,11.160974502563477
2000-06-02,11.474625587463379
2000-06-05,10.899588584899902
2000-06-06,10.795037269592285
2000-06-07,10.768895149230957
2000-06-08,10.429099082946777
2000-06-09,10.272274017333984
2000-06-12,10.455245018005371
2000-06-13,10.507514953613281
2000-06-14,10.402959823608398
2000-06-15,9.80178451538086
2000-06-16,9.174470901489258
2000-06-19,9.4358549118042
2000-06-20,9.331304550170898
2000-06-21,9.200608253479004
2000-06-22,9.279024124145508
2000-06-23,9.096061706542969
2000-06-26,9.252887725830078
2000-06-27,9.38358211517334
2000-06-28,9.432499885559082
2000-06-29,9.109963417053223
2000-06-30,8.873000144958496
2000-07-03,9.057305335998535
2000-07-05,9.057305335998535
2000-07-06,9.452249526977539
2000-07-07,9.636555671691895
2000-07-10,9.47857666015625
2000-07-11,9.47857666015625
2000-07-12,9.346927642822266
2000-07-13,9.083635330200195
2000-07-14,9.241607666015625
2000-07-17,9.030973434448242
2000-07-18,8.794011116027832
2000-07-19,8.873000144958496
2000-07-20,9.004644393920898
2000-07-21,8.820340156555176
2000-07-24,8.899330139160156
2000-07-25,9.057305335998535
2000-07-26,8.662364959716797
2000-07-27,8.55704402923584
2000-07-28,8.320083618164062
2000-07-31,8.320083618164062
2000-08-01,8.873000144958496
2000-08-02,8.794011116027832
2000-08-03,9.267937660217285
2000-08-04,9.741862297058105
2000-08-07,9.847187995910645
2000-08-08,10.136811256408691
2000-08-09,10.242127418518066
2000-08-10,10.03149127960205
2000-08-11,10.21579647064209
2000-08-14,10.531754493713379
2000-08-15,10.373770713806152
2000-08-16,10.005159378051758
2000-08-17,9.978835105895996
2000-08-18,9.926173210144043
2000-08-21,10.136811256408691
2000-08-22,10.347445487976074
2000-08-23,10.21579647064209
2000-08-24,10.21579647064209
2000-08-25,10.136811256408691
2000-08-28,10.136811256408691
2000-08-29,9.873512268066406
2000-08-30,9.820856094360352
2000-08-31,10.064400672912598
2000-09-01,10.005159378051758
2000-09-05,9.899843215942383
2000-09-06,10.268453598022461
2000-09-07,10.347445487976074
2000-09-08,10.189469337463379
2000-09-11,10.136811256408691
2000-09-12,10.08415412902832
2000-09-13,10.373770713806152
2000-09-14,10.400105476379395
2000-09-15,9.768198013305664
2000-09-18,9.58388900756836
2000-09-19,9.61021900177002
2000-09-20,9.21528148651123
2000-09-21,9.083635330200195
2000-09-22,9.320599555969238
2000-09-25,9.294268608093262
2000-09-26,9.320599555969238
2000-09-27,9.5224027633667
2000-09-28,9.655021667480469
2000-09-29,9.495874404907227
2000-10-02,9.575447082519531
2000-10-03,9.442824363708496
2000-10-04,8.487936973571777
2000-10-05,8.169633865356445
2000-10-06,8.0635347366333
2000-10-09,7.612613677978516
2000-10-10,7.241268157958984
2000-10-11,7.082119464874268
2000-10-12,6.631194591522217
2000-10-13,7.188216686248779
2000-10-16,7.612613677978516
2000-10-17,7.241268157958984
2000-10-18,7.214744567871094
2000-10-19,7.426939964294434
2000-10-20,7.373891353607178
2000-10-23,7.34736442565918
2000-10-24,7.718715190887451
2000-10-25,7.533038139343262
2000-10-26,7.426939964294434
2000-10-27,7.559564113616943
