Date,SYK
2000-01-03,13.477535247802734
2000-01-04,13.329699516296387
2000-01-05,13.736242294311523
2000-01-06,14.031912803649902
2000-01-07,15.325459480285645
2000-01-10,15.152986526489258
2000-01-11,15.300820350646973
2000-01-12,14.980510711669922
2000-01-13,14.968199729919434
2000-01-14,15.214595794677734
2000-01-18,15.497930526733398
2000-01-19,15.69504165649414
2000-01-20,15.47329330444336
2000-01-21,15.448657035827637
2000-01-24,15.497930526733398
2000-01-25,15.177632331848145
2000-01-26,15.116028785705566
2000-01-27,15.054430961608887
2000-01-28,12.418055534362793
2000-01-31,12.467339515686035
2000-02-01,12.713725090026855
2000-02-02,12.861560821533203
2000-02-03,12.775320053100586
2000-02-04,12.972434043884277
2000-02-07,13.132591247558594
2000-02-08,13.551453590393066
2000-02-09,13.736242294311523
2000-02-10,13.046356201171875
2000-02-11,12.516616821289062
2000-02-14,12.787643432617188
2000-02-15,13.120269775390625
2000-02-16,13.181866645812988
2000-02-17,13.305054664611816
2000-02-18,12.455018997192383
2000-02-22,11.962237358093262
2000-02-23,11.617290496826172
2000-02-24,11.888322830200195
2000-02-25,11.888322830200195
2000-02-28,11.432496070861816
2000-02-29,11.531057357788086
2000-03-01,10.841161727905273
2000-03-02,11.395538330078125
2000-03-03,11.444815635681152
2000-03-06,11.112191200256348
2000-03-07,10.373022079467773
2000-03-08,10.052713394165039
2000-03-09,10.65636920928955
2000-03-10,10.508536338806152
2000-03-13,10.619412422180176
2000-03-14,10.841161727905273
2000-03-15,11.629607200622559
2000-03-16,12.689087867736816
2000-03-17,12.23326587677002
2000-03-20,12.491975784301758
2000-03-21,12.898520469665527
2000-03-22,13.1572265625
2000-03-23,12.984755516052246
2000-03-24,12.972434043884277
2000-03-27,12.898520469665527
2000-03-28,13.206502914428711
2000-03-29,12.787643432617188
2000-03-30,12.984755516052246
2000-03-31,13.748564720153809
2000-04-03,13.797840118408203
2000-04-04,13.600730895996094
2000-04-05,13.539130210876465
2000-04-06,13.428257942199707
2000-04-07,13.378983497619629
2000-04-10,13.403618812561035
2000-04-11,13.255788803100586
2000-04-12,13.34201717376709
2000-04-13,13.785520553588867
2000-04-14,12.775320053100586
2000-04-17,12.88620662689209
2000-04-18,13.440579414367676
2000-04-19,14.573974609375
2000-04-20,14.697171211242676
2000-04-24,14.216704368591309
2000-04-25,14.413818359375
2000-04-26,14.229024887084961
2000-04-27,14.155109405517578
2000-04-28,14.179750442504883
2000-05-01,14.229024887084961
2000-05-02,14.389180183410645
2000-05-03,13.958003997802734
2000-05-04,13.994954109191895
2000-05-05,14.192070960998535
2000-05-08,14.192070960998535
2000-05-09,14.179750442504883
2000-05-10,14.684843063354492
2000-05-11,14.438458442687988
2000-05-12,14.364542961120605
2000-05-15,14.808039665222168
2000-05-16,14.734127044677734
2000-05-17,14.216704368591309
2000-05-18,14.31525707244873
2000-05-19,13.994954109191895
2000-05-22,13.871759414672852
2000-05-23,13.600730895996094
2000-05-24,14.6355619430542
2000-05-25,14.9558744430542
2000-05-26,14.906604766845703
