Date,COP
2000-01-03,7.451056003570557
2000-01-04,7.30717134475708
2000-01-05,7.173567295074463
2000-01-06,7.42022705078125
2000-01-07,7.42022705078125
2000-01-10,7.39967155456543
2000-01-11,7.389395713806152
2000-01-12,7.245509147644043
2000-01-13,7.255786895751953
2000-01-14,7.194125652313232
2000-01-18,7.30717134475708
2000-01-19,7.245509147644043
2000-01-20,7.039965629577637
2000-01-21,7.0194091796875
2000-01-24,6.865246295928955
2000-01-25,6.947465896606445
2000-01-26,6.772754192352295
2000-01-27,6.659702777862549
2000-01-28,6.5569329261779785
2000-01-31,6.721370220184326
2000-02-01,6.69053316116333
2000-02-02,6.5980424880981445
2000-02-03,6.474712371826172
2000-02-04,6.413047790527344
2000-02-07,6.577486515045166
2000-02-08,6.413047790527344
2000-02-09,6.269164562225342
2000-02-10,6.248610496520996
2000-02-11,6.156113624572754
2000-02-14,6.186944007873535
2000-02-15,6.289720058441162
2000-02-16,6.553518772125244
2000-02-17,6.553518772125244
2000-02-18,6.429085731506348
2000-02-22,6.48093318939209
2000-02-23,6.232065677642822
2000-02-24,6.014306545257568
2000-02-25,6.1180009841918945
2000-02-28,6.159481048583984
2000-02-29,6.325389862060547
2000-03-01,6.418717384338379
2000-03-02,6.315021514892578
2000-03-03,6.325389862060547
2000-03-06,6.387607574462891
2000-03-07,6.719431400299072
2000-03-08,6.709062576293945
2000-03-09,6.677954196929932
2000-03-10,6.594995498657227
2000-03-13,6.543148517608643
2000-03-14,6.543148517608643
2000-03-15,6.636476993560791
2000-03-16,7.154949188232422
2000-03-17,6.874972820281982
2000-03-20,6.895714282989502
2000-03-21,7.217165946960449
2000-03-22,7.061622142791748
2000-03-23,7.071993827819824
2000-03-24,7.123842239379883
2000-03-27,7.134213924407959
2000-03-28,7.154949188232422
2000-03-29,7.372708320617676
2000-03-30,7.569733142852783
2000-03-31,7.673423767089844
2000-04-03,7.71490478515625
2000-04-04,7.652688026428223
2000-04-05,7.569733142852783
2000-04-06,7.725275039672852
2000-04-07,7.6423139572143555
2000-04-10,7.580099582672119
2000-04-11,7.777120113372803
2000-04-12,7.953402042388916
2000-04-13,7.963764190673828
2000-04-14,8.119314193725586
2000-04-17,7.808228969573975
2000-04-18,7.787491798400879
2000-04-19,7.911922454833984
2000-04-20,7.891186714172363
2000-04-24,8.129682540893555
2000-04-25,8.212638854980469
2000-04-26,8.212638854980469
2000-04-27,8.175470352172852
2000-04-28,7.924880027770996
2000-05-01,8.091938972473145
2000-05-02,8.081500053405762
2000-05-03,8.0606107711792
2000-05-04,8.165026664733887
2000-05-05,8.217236518859863
2000-05-08,8.25899600982666
2000-05-09,8.248555183410645
2000-05-10,8.248555183410645
2000-05-11,8.426054954528809
2000-05-12,8.373852729797363
2000-05-15,8.46782112121582
2000-05-16,8.572240829467773
2000-05-17,8.718406677246094
2000-05-18,8.875031471252441
2000-05-19,8.885470390319824
2000-05-22,9.094292640686035
2000-05-23,9.04209041595459
2000-05-24,9.104734420776367
2000-05-25,9.115172386169434
2000-05-26,8.95855712890625
2000-05-30,9.209147453308105
2000-05-31,9.56414794921875
2000-06-01,9.522378921508789
2000-06-02,9.125617027282715
2000-06-05,9.052530288696289
2000-06-06,9.198709487915039
2000-06-07,9.177824020385742
2000-06-08,9.104734420776367
2000-06-09,9.094292640686035
2000-06-12,9.287458419799805
2000-06-13,9.376205444335938
2000-06-14,9.344882011413574
