Date,BBY
2000-01-03,13.958038330078125
2000-01-04,13.867399215698242
2000-01-05,13.776765823364258
2000-01-06,13.655915260314941
2000-01-07,14.078882217407227
2000-01-10,13.927824020385742
2000-01-11,13.504853248596191
2000-01-12,13.1574125289917
2000-01-13,12.809975624084473
2000-01-14,13.248054504394531
2000-01-18,13.187629699707031
2000-01-19,13.716341972351074
2000-01-20,13.263158798217773
2000-01-21,13.06300163269043
2000-01-24,12.477640151977539
2000-01-25,12.93082332611084
2000-01-26,12.522953033447266
2000-01-27,12.356791496276855
2000-01-28,12.084881782531738
2000-01-31,11.541060447692871
2000-02-01,12.00935173034668
2000-02-02,12.024463653564453
2000-02-03,12.58338451385498
2000-02-04,13.746554374694824
2000-02-07,13.29337215423584
2000-02-08,13.837186813354492
2000-02-09,13.248054504394531
2000-02-10,13.1574125289917
2000-02-11,12.97614574432373
2000-02-14,12.809975624084473
2000-02-15,12.825077056884766
2000-02-16,13.29337215423584
2000-02-17,13.1574125289917
2000-02-18,13.565274238586426
2000-02-22,12.991249084472656
2000-02-23,12.991249084472656
2000-02-24,12.507854461669922
2000-02-25,11.601485252380371
2000-02-28,12.492743492126465
2000-02-29,13.202733039855957
2000-03-01,13.29337215423584
2000-03-02,13.791871070861816
2000-03-03,14.622710227966309
2000-03-06,15.347800254821777
2000-03-07,14.184630393981934
2000-03-08,14.728447914123535
2000-03-09,15.468648910522461
2000-03-10,15.07589054107666
2000-03-13,14.849300384521484
2000-03-14,15.151421546936035
2000-03-15,15.982259750366211
2000-03-16,18.00647735595703
2000-03-17,18.00647735595703
2000-03-20,17.13031768798828
2000-03-21,17.7647762298584
2000-03-22,18.489871978759766
2000-03-23,19.517086029052734
2000-03-24,18.83730697631836
2000-03-27,18.27838706970215
2000-03-28,19.8192081451416
2000-03-29,20.060903549194336
2000-03-30,20.287498474121094
2000-03-31,20.785987854003906
2000-04-03,20.045795440673828
2000-04-04,18.731571197509766
2000-04-05,18.776891708374023
2000-04-06,19.350914001464844
2000-04-07,19.7587890625
2000-04-10,19.501976013183594
2000-04-11,19.230073928833008
2000-04-12,20.000492095947266
2000-04-13,20.468774795532227
2000-04-14,16.949050903320312
2000-04-17,17.613725662231445
