Date,MMM
2000-01-03,19.158323287963867
2000-01-04,18.397066116333008
2000-01-05,18.9299373626709
2000-01-06,20.45245933532715
2000-01-07,20.858461380004883
2000-01-10,20.756946563720703
2000-01-11,20.401708602905273
2000-01-12,20.45245933532715
2000-01-13,20.45245933532715
2000-01-14,20.160640716552734
2000-01-18,19.716569900512695
2000-01-19,20.05914306640625
2000-01-20,19.31056785583496
2000-01-21,19.272512435913086
2000-01-24,18.82843589782715
2000-01-25,18.54931640625
2000-01-26,19.551637649536133
2000-01-27,19.538942337036133
2000-01-28,18.726932525634766
2000-01-31,19.006059646606445
2000-02-01,19.107555389404297
2000-02-02,18.777690887451172
2000-02-03,18.612749099731445
2000-02-04,18.07987403869629
2000-02-07,17.788049697875977
2000-02-08,17.800743103027344
2000-02-09,17.788049697875977
2000-02-10,17.458173751831055
2000-02-11,16.836475372314453
2000-02-14,16.82379150390625
2000-02-15,18.092559814453125
2000-02-16,17.927608489990234
2000-02-17,18.19405174255371
2000-02-18,17.775362014770508
2000-02-22,18.295560836791992
2000-02-23,18.861000061035156
2000-02-24,18.592838287353516
2000-02-25,17.520174026489258
2000-02-28,17.660633087158203
2000-02-29,18.01819610595703
2000-03-01,17.59678840637207
2000-03-02,17.584014892578125
2000-03-03,18.286367416381836
2000-03-06,17.8266544342041
2000-03-07,16.907224655151367
2000-03-08,16.868915557861328
2000-03-09,16.536907196044922
2000-03-10,16.65182113647461
2000-03-13,16.141036987304688
2000-03-14,16.166574478149414
2000-03-15,16.856143951416016
2000-03-16,17.992652893066406
2000-03-17,17.54570770263672
2000-03-20,17.77556800842285
2000-03-21,18.47791290283203
2000-03-22,17.571256637573242
2000-03-23,17.77556800842285
2000-03-24,18.56730842590332
2000-03-27,18.107580184936523
2000-03-28,18.158666610717773
2000-03-29,17.90326690673828
2000-03-30,18.184202194213867
2000-03-31,18.094810485839844
2000-04-03,18.771621704101562
2000-04-04,18.988710403442383
2000-04-05,18.61838150024414
2000-04-06,19.07809066772461
2000-04-07,18.72053337097168
2000-04-10,18.950389862060547
2000-04-11,19.499500274658203
2000-04-12,19.333477020263672
2000-04-13,19.359024047851562
2000-04-14,18.554533004760742
2000-04-17,18.362987518310547
2000-04-18,18.362987518310547
2000-04-19,18.47791290283203
2000-04-20,18.84822654724121
2000-04-24,19.895357131958008
2000-04-25,19.167476654052734
2000-04-26,18.17142677307129
2000-04-27,17.864959716796875
2000-04-28,17.698951721191406
2000-05-01,17.76279067993164
2000-05-02,17.76279067993164
2000-05-03,17.532939910888672
2000-05-04,17.45632553100586
2000-05-05,17.711715698242188
2000-05-08,17.83941650390625
2000-05-09,17.571256637573242
2000-05-10,17.55847930908203
2000-05-11,17.55847930908203
2000-05-12,17.341394424438477
2000-05-15,17.55847930908203
2000-05-16,18.401288986206055
