Date,POOL
2000-01-03,3.734825611114502
2000-01-04,3.6638519763946533
2000-01-05,3.6638519763946533
2000-01-06,3.4952995777130127
2000-01-07,3.477555274963379
2000-01-10,3.5041704177856445
2000-01-11,3.459813356399536
2000-01-12,3.3533573150634766
2000-01-13,3.2469027042388916
2000-01-14,3.442070722579956
2000-01-18,3.424330234527588
2000-01-19,3.3533573150634766
2000-01-20,3.3356144428253174
2000-01-21,3.3356144428253174
2000-01-24,3.539656400680542
2000-01-25,3.5219149589538574
2000-01-26,3.6727263927459717
2000-01-27,3.7436962127685547
2000-01-28,3.6904656887054443
2000-01-31,3.6815977096557617
2000-02-01,3.6549816131591797
2000-02-02,3.6904656887054443
2000-02-03,3.646111011505127
2000-02-04,3.796924591064453
2000-02-07,3.7614381313323975
2000-02-08,3.903381586074829
2000-02-09,3.814668655395508
2000-02-10,3.8057949542999268
2000-02-11,3.788052558898926
2000-02-14,3.7614381313323975
2000-02-15,3.708211898803711
2000-02-16,3.477555274963379
2000-02-17,3.513042688369751
2000-02-18,3.4864275455474854
2000-02-22,3.468683958053589
2000-02-23,3.4952995777130127
2000-02-24,3.619497060775757
2000-02-25,3.619497060775757
2000-02-28,3.5618348121643066
2000-02-29,3.5219149589538574
2000-03-01,3.539656400680542
2000-03-02,3.6904656887054443
2000-03-03,3.8235392570495605
2000-03-06,3.8324081897735596
2000-03-07,4.080805778503418
2000-03-08,4.063065052032471
2000-03-09,4.15177583694458
2000-03-10,4.15177583694458
2000-03-13,4.178389549255371
2000-03-14,4.134033679962158
2000-03-15,4.114076614379883
2000-03-16,4.134033679962158
2000-03-17,4.129597187042236
2000-03-20,4.134033679962158
2000-03-21,4.169517993927002
2000-03-22,4.262668609619141
2000-03-23,4.329202175140381
2000-03-24,4.249361991882324
2000-03-27,4.222745418548584
2000-03-28,4.222745418548584
2000-03-29,4.240490436553955
2000-03-30,4.213875770568848
2000-03-31,4.346946716308594
2000-04-03,4.009834289550781
2000-04-04,4.249361991882324
2000-04-05,4.249361991882324
2000-04-06,4.116290092468262
2000-04-07,4.009834289550781
2000-04-10,3.9566073417663574
2000-04-11,4.116290092468262
2000-04-12,4.000962734222412
2000-04-13,4.275976181030273
2000-04-14,4.205002784729004
2000-04-17,4.142904281616211
2000-04-18,4.346946716308594
2000-04-19,4.311459541320801
2000-04-20,4.400173187255859
2000-04-24,4.648570537567139
2000-04-25,4.719542026519775
2000-04-26,4.808254718780518
2000-04-27,4.976805686950684
2000-04-28,5.225205421447754
2000-05-01,5.127621173858643
2000-05-02,5.06552267074585
2000-05-03,4.923582077026367
2000-05-04,4.976805686950684
2000-05-05,5.06552267074585
2000-05-08,5.06552267074585
2000-05-09,4.923582077026367
2000-05-10,4.8326497077941895
2000-05-11,5.003422260284424
2000-05-12,5.216333866119385
2000-05-15,5.411502838134766
2000-05-16,5.393760681152344
2000-05-17,5.2695631980896
2000-05-18,5.2518205642700195
2000-05-19,5.06552267074585
2000-05-22,4.950193881988525
2000-05-23,5.145364761352539
2000-05-24,4.967938423156738
2000-05-25,4.701798915863037
2000-05-26,4.6663126945495605
2000-05-30,4.681838512420654
2000-05-31,4.808254718780518
2000-06-01,4.843738079071045
2000-06-02,4.976805686950684
2000-06-05,4.861481666564941
2000-06-06,4.8526105880737305
2000-06-07,4.799383640289307
2000-06-08,4.719542026519775
2000-06-09,4.648570537567139
2000-06-12,4.604213237762451
2000-06-13,4.630829334259033
2000-06-14,4.657441139221191
2000-06-15,4.684054851531982
2000-06-16,4.6663126945495605
2000-06-19,4.613085746765137
2000-06-20,4.431221961975098
2000-06-21,4.511065483093262
2000-06-22,4.125163555145264
2000-06-23,4.284846305847168
2000-06-26,4.4179158210754395
2000-06-27,4.604213237762451
2000-06-28,4.763898849487305
2000-06-29,4.577600002288818
2000-06-30,5.003422260284424
2000-07-03,4.763898849487305
2000-07-05,4.790512561798096
2000-07-06,4.8703532218933105
2000-07-07,4.936886787414551
2000-07-10,4.817124366760254
2000-07-11,4.8570451736450195
2000-07-12,4.950193881988525
2000-07-13,4.8703532218933105
2000-07-14,4.830432891845703
2000-07-17,4.830432891845703
2000-07-18,4.8703532218933105
2000-07-19,4.910274982452393
2000-07-20,5.083263397216797
2000-07-21,5.01672887802124
2000-07-24,5.163105487823486
2000-07-25,5.429245948791504
2000-07-26,5.855070114135742
2000-07-27,5.615542411804199
2000-07-28,5.482472896575928
2000-07-31,5.605563640594482
2000-08-01,5.695385456085205
2000-08-02,5.695385456085205
2000-08-03,5.855070114135742
2000-08-04,5.9615254402160645
2000-08-07,5.988138198852539
2000-08-08,5.948217868804932
2000-08-09,5.775223731994629
2000-08-10,5.588929176330566
2000-08-11,5.748614311218262
2000-08-14,5.86837911605835
2000-08-15,5.562314510345459
2000-08-16,5.748614311218262
2000-08-17,5.72199821472168
2000-08-18,5.801840782165527
2000-08-21,5.695385456085205
2000-08-22,5.748614311218262
2000-08-23,5.775223731994629
2000-08-24,5.894990921020508
2000-08-25,6.161129951477051
2000-08-28,6.413960933685303
2000-08-29,6.280893325805664
2000-08-30,6.174435615539551
2000-08-31,6.240974426269531
2000-09-01,6.280893325805664
2000-09-05,6.387350559234619
2000-09-06,6.3607354164123535
2000-09-07,6.387350559234619
2000-09-08,6.3208136558532715
2000-09-11,6.094594955444336
2000-09-12,6.147822380065918
2000-09-13,6.121209144592285
