Date,PKG
2000-01-28,5.75766658782959
2000-01-31,5.787655830383301
2000-02-01,5.75766658782959
2000-02-02,5.787655830383301
2000-02-03,5.75766658782959
2000-02-04,5.457791328430176
2000-02-07,5.187897682189941
2000-02-08,4.738081455230713
2000-02-09,4.8580322265625
2000-02-10,5.097933769226074
2000-02-11,4.828042507171631
2000-02-14,4.708092212677002
2000-02-15,5.007970809936523
2000-02-16,5.0679473876953125
2000-02-17,4.977982997894287
2000-02-18,5.037959575653076
2000-02-22,4.947995185852051
2000-02-23,4.8580322265625
2000-02-24,4.768069744110107
2000-02-25,5.007970809936523
2000-02-28,4.8580322265625
2000-02-29,5.217886447906494
2000-03-01,5.277862548828125
2000-03-02,5.517764091491699
2000-03-03,5.2478742599487305
2000-03-06,5.1579084396362305
2000-03-07,4.918007850646973
2000-03-08,4.977982997894287
2000-03-09,5.037959575653076
2000-03-10,4.918007850646973
2000-03-13,4.678102970123291
2000-03-14,4.738081455230713
2000-03-15,4.618129253387451
2000-03-16,4.678102970123291
2000-03-17,4.588141441345215
2000-03-20,4.618129253387451
2000-03-21,4.618129253387451
2000-03-22,4.588141441345215
2000-03-23,4.648115634918213
2000-03-24,4.678102970123291
2000-03-27,4.738081455230713
2000-03-28,4.708092212677002
2000-03-29,4.708092212677002
2000-03-30,4.708092212677002
2000-03-31,5.037959575653076
2000-04-03,4.947995185852051
2000-04-04,4.828042507171631
2000-04-05,4.918007850646973
2000-04-06,5.187897682189941
2000-04-07,5.037959575653076
2000-04-10,4.947995185852051
2000-04-11,5.0679473876953125
2000-04-12,5.187897682189941
2000-04-13,5.097933769226074
2000-04-14,4.8580322265625
2000-04-17,4.977982997894287
2000-04-18,5.097933769226074
2000-04-19,5.2478742599487305
2000-04-20,5.097933769226074
2000-04-24,5.217886447906494
2000-04-25,5.397812843322754
2000-04-26,5.277862548828125
2000-04-27,5.187897682189941
2000-04-28,5.697690010070801
2000-05-01,5.5777387619018555
2000-05-02,5.637716770172119
2000-05-03,5.547750473022461
2000-05-04,5.637716770172119
2000-05-05,5.727678298950195
2000-05-08,5.697690010070801
2000-05-09,5.667705059051514
2000-05-10,5.75766658782959
2000-05-11,5.75766658782959
2000-05-12,5.75766658782959
2000-05-15,6.0575456619262695
2000-05-16,5.937595367431641
2000-05-17,5.937595367431641
2000-05-18,5.75766658782959
2000-05-19,5.817644119262695
2000-05-22,5.667705059051514
2000-05-23,5.5777387619018555
2000-05-24,5.457791328430176
2000-05-25,5.487776279449463
2000-05-26,5.697690010070801
2000-05-30,5.607728004455566
2000-05-31,5.517764091491699
2000-06-01,5.397812843322754
2000-06-02,5.307849407196045
2000-06-05,5.337839126586914
2000-06-06,5.427801609039307
2000-06-07,5.397812843322754
2000-06-08,5.307849407196045
2000-06-09,5.397812843322754
2000-06-12,5.457791328430176
2000-06-13,5.517764091491699
2000-06-14,5.547750473022461
2000-06-15,5.397812843322754
2000-06-16,5.127923011779785
2000-06-19,5.277862548828125
2000-06-20,5.037959575653076
2000-06-21,5.277862548828125
2000-06-22,5.127923011779785
2000-06-23,5.037959575653076
2000-06-26,5.097933769226074
2000-06-27,5.277862548828125
2000-06-28,5.5777387619018555
2000-06-29,5.817644119262695
2000-06-30,4.8580322265625
2000-07-03,5.427801609039307
2000-07-05,5.397812843322754
2000-07-06,5.397812843322754
2000-07-07,5.337839126586914
2000-07-10,5.277862548828125
2000-07-11,5.397812843322754
2000-07-12,5.517764091491699
2000-07-13,5.607728004455566
2000-07-14,5.697690010070801
2000-07-17,5.727678298950195
2000-07-18,5.75766658782959
2000-07-19,5.517764091491699
2000-07-20,5.5777387619018555
2000-07-21,5.5777387619018555
2000-07-24,5.337839126586914
2000-07-25,5.217886447906494
2000-07-26,5.187897682189941
2000-07-27,5.217886447906494
2000-07-28,5.1579084396362305
2000-07-31,5.457791328430176
2000-08-01,5.2478742599487305
2000-08-02,5.277862548828125
2000-08-03,5.1579084396362305
2000-08-04,5.2478742599487305
2000-08-07,5.337839126586914
2000-08-08,5.127923011779785
2000-08-09,5.5777387619018555
2000-08-10,5.277862548828125
2000-08-11,5.517764091491699
2000-08-14,5.487776279449463
2000-08-15,5.427801609039307
2000-08-16,5.5777387619018555
2000-08-17,5.547750473022461
2000-08-18,5.397812843322754
2000-08-21,5.1579084396362305
2000-08-22,5.5777387619018555
2000-08-23,5.427801609039307
2000-08-24,5.397812843322754
2000-08-25,5.637716770172119
2000-08-28,5.697690010070801
2000-08-29,5.637716770172119
2000-08-30,5.607728004455566
2000-08-31,5.607728004455566
2000-09-01,5.787655830383301
2000-09-05,6.117518424987793
2000-09-06,6.117518424987793
2000-09-07,6.0275559425354
2000-09-08,5.997572422027588
2000-09-11,5.937595367431641
2000-09-12,5.907608509063721
2000-09-13,6.0875325202941895
2000-09-14,5.997572422027588
2000-09-15,5.817644119262695
2000-09-18,5.787655830383301
2000-09-19,5.817644119262695
2000-09-20,5.697690010070801
2000-09-21,5.427801609039307
2000-09-22,5.187897682189941
2000-09-25,5.037959575653076
2000-09-26,5.007970809936523
2000-09-27,5.037959575653076
2000-09-28,5.427801609039307
2000-09-29,5.307849407196045
2000-10-02,5.397812843322754
2000-10-03,5.277862548828125
2000-10-04,5.457791328430176
2000-10-05,5.217886447906494
2000-10-06,5.817644119262695
2000-10-09,5.817644119262695
2000-10-10,5.817644119262695
2000-10-11,5.787655830383301
2000-10-12,5.697690010070801
2000-10-13,5.907608509063721
2000-10-16,5.907608509063721
2000-10-17,5.847630500793457
2000-10-18,6.117518424987793
2000-10-19,6.267459392547607
2000-10-20,6.207483291625977
2000-10-23,6.207483291625977
2000-10-24,6.237473011016846
2000-10-25,5.967582702636719
2000-10-26,6.297449111938477
2000-10-27,6.297449111938477
2000-10-30,6.8372297286987305
2000-10-31,7.047143936157227
2000-11-01,6.777253150939941
2000-11-02,6.957176685333252
2000-11-03,6.74726676940918
2000-11-06,6.867217063903809
2000-11-07,7.017154216766357
2000-11-08,6.927193641662598
2000-11-09,6.777253150939941
2000-11-10,5.997572422027588
2000-11-13,6.237473011016846
2000-11-14,7.047143936157227
2000-11-15,6.927193641662598
2000-11-16,6.717275142669678
2000-11-17,6.807240962982178
2000-11-20,6.867217063903809
2000-11-21,6.8372297286987305
