Date,PH
2000-01-03,21.183443069458008
2000-01-04,20.342605590820312
2000-01-05,20.342605590820312
2000-01-06,20.722332000732422
2000-01-07,22.620986938476562
2000-01-10,22.34975814819336
2000-01-11,21.7801513671875
2000-01-12,22.078510284423828
2000-01-13,21.807281494140625
2000-01-14,21.536035537719727
2000-01-18,20.261240005493164
2000-01-19,20.77658462524414
2000-01-20,20.640968322753906
2000-01-21,20.28835678100586
2000-01-24,19.23055648803711
2000-01-25,18.715200424194336
2000-01-26,19.122051239013672
2000-01-27,19.040685653686523
2000-01-28,18.3083553314209
2000-01-31,18.769451141357422
2000-02-01,19.149179458618164
2000-02-02,18.688085556030273
2000-02-03,18.471094131469727
2000-02-04,18.199846267700195
2000-02-07,17.765884399414062
2000-02-08,17.765884399414062
2000-02-09,16.78943634033203
2000-02-10,16.409709930419922
2000-02-11,15.406140327453613
2000-02-14,16.57244110107422
2000-02-15,18.091367721557617
2000-02-16,18.199846267700195
2000-02-17,17.576017379760742
2000-02-18,17.874372482299805
2000-02-22,18.002933502197266
2000-02-23,17.975690841674805
2000-02-24,16.314308166503906
2000-02-25,14.952508926391602
2000-02-28,15.22486686706543
2000-02-29,15.796828269958496
2000-03-01,16.150882720947266
2000-03-02,15.5516996383667
2000-03-03,15.660638809204102
2000-03-06,15.44275188446045
2000-03-07,14.843561172485352
2000-03-08,15.361042976379395
2000-03-09,15.68787956237793
2000-03-10,15.469987869262695
2000-03-13,15.25210189819336
2000-03-14,14.78908920288086
2000-03-15,15.905771255493164
2000-03-16,17.539907455444336
2000-03-17,16.559425354003906
2000-03-20,17.10413360595703
2000-03-21,16.804546356201172
2000-03-22,16.28706169128418
2000-03-23,16.804546356201172
2000-03-24,17.049665451049805
2000-03-27,16.559425354003906
2000-03-28,17.648862838745117
2000-03-29,17.975690841674805
2000-03-30,18.11186981201172
2000-03-31,18.002933502197266
2000-04-03,18.220815658569336
2000-04-04,18.738296508789062
2000-04-05,18.574888229370117
2000-04-06,19.037893295288086
2000-04-07,19.14683723449707
2000-04-10,19.446428298950195
2000-04-11,19.936674118041992
2000-04-12,20.50862693786621
2000-04-13,19.50090789794922
2000-04-14,17.921222686767578
2000-04-17,18.35698890686035
2000-04-18,18.493160247802734
2000-04-19,18.65658950805664
2000-04-20,19.283016204833984
2000-04-24,19.337478637695312
2000-04-25,20.50862693786621
2000-04-26,20.10009765625
2000-04-27,20.209035873413086
2000-04-28,20.26349639892578
2000-05-01,20.290742874145508
